school_name,state,application_deadline,criminal_background_check,application_deadline_date
Frederick P. Whiddon College of Medicine at the University of South Alabama,Alabama,"November 2, 2026",Yes,2026-11-02
University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Alabama,"November 2, 2026",Yes,2026-11-02
University of Arizona College of Medicine,Arizona,"December 15, 2026",No,2026-12-15
University of Arizona College of Medicine - Phoenix,Arizona,"November 16, 2026",Yes,2026-11-16
Alice L. Walton School of Medicine,Arkansas,"November 2, 2026",Yes,2026-11-02
University of Arkansas for Medical Sciences College of Medicine,Arkansas,"November 2, 2026",Yes,2026-11-02
California Northstate University College of Medicine,California,"December 15, 2026",Yes,2026-12-15
California University of Science and Medicine-School of Medicine,California,"December 1, 2026",Yes,2026-12-01
Charles R. Drew University of Medicine and Science College of Medicine,California,"November 2, 2026",Yes,2026-11-02
Kaiser Permanente Bernard J. Tyson School of Medicine,California,"October 1, 2026",Yes,2026-10-01
Keck School of Medicine of the University of Southern California,California,"November 2, 2026",Yes,2026-11-02
Loma Linda University School of Medicine,California,"November 2, 2026",No,2026-11-02
Stanford University School of Medicine,California,"October 1, 2026",Yes,2026-10-01
"University of California, Davis, School of Medicine",California,"October 1, 2026",Yes,2026-10-01
"University of California, Irvine, School of Medicine",California,"December 1, 2026",Yes,2026-12-01
"University of California, Los Angeles David Geffen School of Medicine",California,"October 1, 2026",Yes,2026-10-01
"University of California, Riverside School of Medicine",California,"October 15, 2026",Yes,2026-10-15
"University of California, San Diego School of Medicine",California,"October 15, 2026",Yes,2026-10-15
"University of California, San Francisco, School of Medicine",California,"October 15, 2026",Yes,2026-10-15
University of Colorado School of Medicine,Colorado,"October 15, 2026",Yes,2026-10-15
Frank H. Netter MD School of Medicine at Quinnipiac University,Connecticut,"December 1, 2026",Yes,2026-12-01
University of Connecticut School of Medicine,Connecticut,"November 16, 2026",Yes,2026-11-16
Yale School of Medicine,Connecticut,"October 15, 2026",Yes,2026-10-15
George Washington University School of Medicine & Health Sciences,District of Columbia,"November 2, 2026",Yes,2026-11-02
Georgetown University School of Medicine,District of Columbia,"November 2, 2026",Yes,2026-11-02
Howard University College of Medicine,District of Columbia,"December 15, 2026",Yes,2026-12-15
Charles E. Schmidt College of Medicine at Florida Atlantic University,Florida,"November 16, 2026",Yes,2026-11-16
Florida International University Herbert Wertheim College of Medicine,Florida,"December 1, 2026",Yes,2026-12-01
Florida State University College of Medicine,Florida,"November 15, 2026",No,2026-11-15
Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Florida,"November 30, 2026",Yes,2026-11-30
USF Health Morsani College of Medicine,Florida,"January 15, 2027",Yes,2027-01-15
University of Central Florida College of Medicine,Florida,"November 16, 2026",Yes,2026-11-16
University of Florida College of Medicine,Florida,"December 1, 2026",Yes,2026-12-01
