main_school_name,state,candidate_1,score_1,candidate_2,score_2,candidate_3,score_3
Frederick P. Whiddon College of Medicine at the University of South Alabama,AL,South Alabama-Whiddon,0.481,Alabama-Heersink,0.286,,
University of Alabama at Birmingham Marnix E. Heersink School of Medicine,AL,Alabama-Heersink,0.615,South Alabama-Whiddon,0.351,,
Alice L. Walton School of Medicine,AR,Walton,0.6,Arkansas,0.273,,
University of Arkansas for Medical Sciences College of Medicine,AR,Arkansas,0.552,Walton,0.148,,
California University of Science and Medicine-School of Medicine,CA,California,0.625,California Northstate,0.605,Kaiser Permanente-Tyson,0.4
Charles R. Drew University of Medicine and Science College of Medicine,CA,Kaiser Permanente-Tyson,0.408,UC San Francisco,0.333,UC San Diego,0.316
Kaiser Permanente Bernard J. Tyson School of Medicine,CA,Kaiser Permanente-Tyson,0.821,Southern Cal-Keck,0.28,Stanford,0.244
Keck School of Medicine of the University of Southern California,CA,California,0.588,Southern Cal-Keck,0.585,California Northstate,0.444
"University of California, Davis, School of Medicine",CA,California,0.769,California Northstate,0.649,UC Davis,0.583
"University of California, Irvine, School of Medicine",CA,California,0.741,California Northstate,0.684,UC Irvine,0.615
"University of California, Los Angeles David Geffen School of Medicine",CA,California Northstate,0.536,California,0.444,UCLA-Geffen,0.391
"University of California, Riverside School of Medicine",CA,UC Riverside,0.688,California,0.667,California Northstate,0.634
"University of California, San Diego School of Medicine",CA,UC San Diego,0.688,California Northstate,0.683,California,0.667
"University of California, San Francisco, School of Medicine",CA,UC San Francisco,0.75,California,0.588,California Northstate,0.578
Frank H. Netter MD School of Medicine at Quinnipiac University,CT,Quinnipiac-Netter,0.444,Connecticut,0.256,Yale,0.125
George Washington University School of Medicine & Health Sciences,DC,George Washington,0.68,Georgetown,0.419,Howard,0.154
Charles E. Schmidt College of Medicine at Florida Atlantic University,FL,Florida Atlantic-Schmidt,0.552,Florida State,0.426,USF-Morsani,0.356
Florida International University Herbert Wertheim College of Medicine,FL,FIU-Wertheim,0.44,Florida State,0.392,Florida Atlantic-Schmidt,0.355
Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,FL,Nova Southeastern-Patel,0.676,Florida State,0.276,Florida Atlantic-Schmidt,0.261
USF Health Morsani College of Medicine,FL,USF-Morsani,0.759,Florida,0.4,Florida State,0.387
University of Central Florida College of Medicine,FL,Florida,0.636,Florida State,0.5,Florida Atlantic-Schmidt,0.359
University of Miami Leonard M. Miller School of Medicine,FL,Miami-Miller,0.706,Nova Southeastern-Patel,0.267,FIU-Wertheim,0.235
Medical College of Georgia at Augusta University,GA,MC Georgia Augusta,0.909,Morehouse,0.333,Emory,0.3
University of Georgia School of Medicine,GA,MC Georgia Augusta,0.56,Emory,0.5,Mercer,0.308
"University of Hawaii, John A. Burns School of Medicine",HI,Hawaii-Burns,0.774,,,,
Chicago Medical School at Rosalind Franklin University of Medicine & Science,IL,Chicago Med Franklin,0.679,Chicago-Pritzker,0.449,Carle Illinois,0.34
Loyola University Chicago Stritch School of Medicine,IL,Loyola-Stritch,0.778,Chicago-Pritzker,0.579,Chicago Med Franklin,0.476
Rush Medical College of Rush University Medical Center,IL,Rush,0.4,Northwestern-Feinberg,0.27,Chicago-Pritzker,0.25
University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,IL,Chicago-Pritzker,0.525,Chicago Med Franklin,0.338,Loyola-Stritch,0.305
University of Iowa Roy J. and Lucille A. Carver College of Medicine,IA,Iowa-Carver,0.524,,,,
Louisiana State University School of Medicine in New Orleans,LA,LSU New Orleans,0.622,LSU Shreveport,0.364,Tulane,0.222
Louisiana State University School of Medicine in Shreveport,LA,LSU Shreveport,0.605,Tulane,0.229,LSU New Orleans,0.227
Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,MD,Uniformed Services-Hebert,0.667,Johns Hopkins,0.159,Maryland,0.138
Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,MA,BU-Chobanian Avedisian,0.677,Harvard,0.255,Massachusetts-Chan,0.241
University of Massachusetts T.H. Chan School of Medicine,MA,Massachusetts-Chan,0.9,BU-Chobanian Avedisian,0.273,Tufts,0.222
Covenant HealthCare College of Medicine at Central Michigan University,MI,Central Michigan,0.615,Western Michigan-Stryker,0.367,Michigan,0.364
Michigan State University College of Human Medicine,MI,Michigan State,0.824,Michigan,0.571,Western Michigan-Stryker,0.545
