school_name,school_state_code,aamc_a1_medical_school,match_status,applications_total,applications_in_state_pct,applications_out_of_state_pct,matriculants_total,matriculants_in_state_pct,matriculants_out_of_state_pct,academic_year
Frederick P. Whiddon College of Medicine at the University of South Alabama,AL,South Alabama-Whiddon,Matched,1906,25.6,74.4,79,93.7,6.3,2025-2026
University of Alabama at Birmingham Marnix E. Heersink School of Medicine,AL,Alabama-Heersink,Matched,4206,13.3,86.7,196,82.1,17.9,2025-2026
University of Arizona College of Medicine,AZ,Arizona,Matched,7342,10.6,89.4,118,71.2,28.8,2025-2026
University of Arizona College of Medicine - Phoenix,AZ,Arizona Phoenix,Matched,5831,13.1,86.9,130,66.9,33.1,2025-2026
Alice L. Walton School of Medicine,AR,Walton,Matched,2021,8.7,91.3,48,31.3,68.8,2025-2026
University of Arkansas for Medical Sciences College of Medicine,AR,Arkansas,Matched,3337,9.3,90.7,174,83.3,16.7,2025-2026
California Northstate University College of Medicine,CA,California Northstate,Matched,3412,69,31,118,93.2,6.8,2025-2026
California University of Science and Medicine-School of Medicine,CA,California,Matched,4630,78.7,21.3,130,97.7,2.3,2025-2026
Charles R. Drew University of Medicine and Science College of Medicine,CA,Drew,Matched,6639,37.3,62.7,60,71.7,28.3,2025-2026
Kaiser Permanente Bernard J. Tyson School of Medicine,CA,Kaiser Permanente-Tyson,Matched,6596,59.8,40.2,49,71.4,28.6,2025-2026
Keck School of Medicine of the University of Southern California,CA,Southern Cal-Keck,Matched,9612,50.4,49.6,120,80.8,19.2,2025-2026
Loma Linda University School of Medicine,CA,Loma Linda,Matched,5642,47.9,52.1,176,44.3,55.7,2025-2026
Stanford University School of Medicine,CA,Stanford,Matched,9793,33.7,66.3,90,40,60,2025-2026
"University of California, Davis, School of Medicine",CA,UC Davis,Matched,8294,65,35,139,97.1,2.9,2025-2026
"University of California, Irvine, School of Medicine",CA,UC Irvine,Matched,7440,71.9,28.1,114,88.6,11.4,2025-2026
"University of California, Los Angeles David Geffen School of Medicine",CA,UCLA-Geffen,Matched,12474,43,57,175,59.4,40.6,2025-2026
"University of California, Riverside School of Medicine",CA,UC Riverside,Matched,6508,75.9,24.1,90,96.7,3.3,2025-2026
"University of California, San Diego School of Medicine",CA,UC San Diego,Matched,10400,53.6,46.4,140,74.3,25.7,2025-2026
"University of California, San Francisco, School of Medicine",CA,UC San Francisco,Matched,10372,46.3,53.7,177,71.8,28.2,2025-2026
University of Colorado School of Medicine,CO,Colorado,Matched,10405,6,94,181,48.1,51.9,2025-2026
Frank H. Netter MD School of Medicine at Quinnipiac University,CT,Quinnipiac-Netter,Matched,9426,4.3,95.7,95,5.3,94.7,2025-2026
University of Connecticut School of Medicine,CT,Connecticut,Matched,5734,9,91,114,68.4,31.6,2025-2026
Yale School of Medicine,CT,Yale,Matched,7352,3.7,96.3,104,5.8,94.2,2025-2026
George Washington University School of Medicine & Health Sciences,DC,George Washington,Matched,17194,0.5,99.5,130,3.8,96.2,2025-2026
Georgetown University School of Medicine,DC,Georgetown,Matched,14542,0.6,99.4,203,3.4,96.6,2025-2026
Howard University College of Medicine,DC,Howard,Matched,8908,0.6,99.4,128,1.6,98.4,2025-2026
Charles E. Schmidt College of Medicine at Florida Atlantic University,FL,Florida Atlantic-Schmidt,Matched,4165,54.4,45.6,78,71.8,28.2,2025-2026
Florida International University Herbert Wertheim College of Medicine,FL,FIU-Wertheim,Matched,6013,43.3,56.7,121,90.9,9.1,2025-2026
Florida State University College of Medicine,FL,Florida State,Matched,6730,42.8,57.2,120,97.5,2.5,2025-2026
Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,FL,Nova Southeastern-Patel,Matched,5790,39,61,65,73.8,26.2,2025-2026
USF Health Morsani College of Medicine,FL,USF-Morsani,Matched,5677,43.2,56.8,131,51.1,48.9,2025-2026
University of Central Florida College of Medicine,FL,UCF,Matched,5395,46.2,53.8,120,69.2,30.8,2025-2026
University of Florida College of Medicine,FL,Florida,Matched,5612,46,54,136,86.8,13.2,2025-2026
University of Miami Leonard M. Miller School of Medicine,FL,Miami-Miller,Matched,9912,22.8,77.2,202,37.1,62.9,2025-2026
Emory University School of Medicine,GA,Emory,Matched,12671,7.5,92.5,136,25,75,2025-2026
Medical College of Georgia at Augusta University,GA,MC Georgia Augusta,Matched,3368,40.9,59.1,304,98.7,1.3,2025-2026
Mercer University School of Medicine,GA,Mercer,Matched,1246,99.8,0.2,176,100,0,2025-2026
Morehouse School of Medicine,GA,Morehouse,Matched,6873,12,88,110,56.4,43.6,2025-2026
University of Georgia School of Medicine,GA,,Not available in supplied A-1 table,,,,,,,
"University of Hawaii, John A. Burns School of Medicine",HI,Hawaii-Burns,Matched,2369,8.5,91.5,77,79.2,20.8,2025-2026
Carle Illinois College of Medicine,IL,Carle Illinois,Matched,2889,18.9,81.1,64,23.4,76.6,2025-2026
Chicago Medical School at Rosalind Franklin University of Medicine & Science,IL,Chicago Med Franklin,Matched,11973,11.6,88.4,203,43.8,56.2,2025-2026
Loyola University Chicago Stritch School of Medicine,IL,Loyola-Stritch,Matched,13289,11.5,88.5,175,39.4,60.6,2025-2026
Northwestern University The Feinberg School of Medicine,IL,Northwestern-Feinberg,Matched,8610,11.4,88.6,140,25.7,74.3,2025-2026
Rush Medical College of Rush University Medical Center,IL,Rush,Matched,13237,10.3,89.7,144,21.5,78.5,2025-2026
Southern Illinois University School of Medicine,IL,Southern Illinois,Matched,1218,93.1,6.9,80,100,0,2025-2026
University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,IL,Chicago-Pritzker,Matched,7738,11.1,88.9,91,18.7,81.3,2025-2026
University of Illinois College of Medicine,IL,Illinois,Matched,11273,15.7,84.3,302,61.3,38.7,2025-2026
Indiana University School of Medicine,IN,Indiana,Matched,7822,8.8,91.2,366,86.6,13.4,2025-2026
University of Iowa Roy J. and Lucille A. Carver College of Medicine,IA,Iowa-Carver,Matched,4527,6.5,93.5,153,64.1,35.9,2025-2026
University of Kansas School of Medicine,KS,Kansas,Matched,4978,8.6,91.4,211,81.5,18.5,2025-2026
University of Kentucky College of Medicine,KY,Kentucky,Matched,5766,9.8,90.2,208,75.5,24.5,2025-2026
University of Louisville School of Medicine,KY,Louisville,Matched,5317,9,91,168,75,25,2025-2026
Louisiana State University School of Medicine in New Orleans,LA,LSU New Orleans,Matched,3865,16.6,83.4,195,87.7,12.3,2025-2026
Louisiana State University School of Medicine in Shreveport,LA,LSU Shreveport,Matched,3201,18.8,81.2,150,81.3,18.7,2025-2026
Tulane University School of Medicine,LA,Tulane,Matched,13814,2.9,97.1,190,15.3,84.7,2025-2026
Johns Hopkins University School of Medicine,MD,Johns Hopkins,Matched,8057,6.4,93.6,118,7.6,92.4,2025-2026
Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,MD,Uniformed Services-Hebert,Matched,2238,8.5,91.5,177,10.7,89.3,2025-2026
