source_table,population,academic_year,major,metric,statistic,value
A-17,Applicants,2025-2026,Biological Sciences,MCAT CPBS,Mean,126.4
A-17,Applicants,2025-2026,Biological Sciences,MCAT CPBS,SD,2.9
A-17,Applicants,2025-2026,Biological Sciences,MCAT CARS,Mean,125.7
A-17,Applicants,2025-2026,Biological Sciences,MCAT CARS,SD,2.7
A-17,Applicants,2025-2026,Biological Sciences,MCAT BBLS,Mean,126.8
A-17,Applicants,2025-2026,Biological Sciences,MCAT BBLS,SD,2.9
A-17,Applicants,2025-2026,Biological Sciences,MCAT PSBB,Mean,127.4
A-17,Applicants,2025-2026,Biological Sciences,MCAT PSBB,SD,2.9
A-17,Applicants,2025-2026,Biological Sciences,Total MCAT,Mean,506.3
A-17,Applicants,2025-2026,Biological Sciences,Total MCAT,SD,9.9
A-17,Applicants,2025-2026,Biological Sciences,GPA Science,Mean,3.58
A-17,Applicants,2025-2026,Biological Sciences,GPA Science,SD,0.41
A-17,Applicants,2025-2026,Biological Sciences,GPA Non-Science,Mean,3.81
A-17,Applicants,2025-2026,Biological Sciences,GPA Non-Science,SD,0.25
A-17,Applicants,2025-2026,Biological Sciences,GPA Total,Mean,3.67
A-17,Applicants,2025-2026,Biological Sciences,GPA Total,SD,0.33
A-17,Applicants,2025-2026,Biological Sciences,Total Applicants,Count,32038.0
A-17,Applicants,2025-2026,Humanities,MCAT CPBS,Mean,126.7
A-17,Applicants,2025-2026,Humanities,MCAT CPBS,SD,2.8
A-17,Applicants,2025-2026,Humanities,MCAT CARS,Mean,126.9
A-17,Applicants,2025-2026,Humanities,MCAT CARS,SD,2.6
A-17,Applicants,2025-2026,Humanities,MCAT BBLS,Mean,127.0
A-17,Applicants,2025-2026,Humanities,MCAT BBLS,SD,2.7
A-17,Applicants,2025-2026,Humanities,MCAT PSBB,Mean,128.2
A-17,Applicants,2025-2026,Humanities,MCAT PSBB,SD,2.6
A-17,Applicants,2025-2026,Humanities,Total MCAT,Mean,508.8
A-17,Applicants,2025-2026,Humanities,Total MCAT,SD,9.1
A-17,Applicants,2025-2026,Humanities,GPA Science,Mean,3.55
A-17,Applicants,2025-2026,Humanities,GPA Science,SD,0.42
A-17,Applicants,2025-2026,Humanities,GPA Non-Science,Mean,3.79
A-17,Applicants,2025-2026,Humanities,GPA Non-Science,SD,0.28
A-17,Applicants,2025-2026,Humanities,GPA Total,Mean,3.68
A-17,Applicants,2025-2026,Humanities,GPA Total,SD,0.31
A-17,Applicants,2025-2026,Humanities,Total Applicants,Count,1453.0
A-17,Applicants,2025-2026,Math and Statistics,MCAT CPBS,Mean,128.2
A-17,Applicants,2025-2026,Math and Statistics,MCAT CPBS,SD,3.0
A-17,Applicants,2025-2026,Math and Statistics,MCAT CARS,Mean,127.0
A-17,Applicants,2025-2026,Math and Statistics,MCAT CARS,SD,2.9
A-17,Applicants,2025-2026,Math and Statistics,MCAT BBLS,Mean,127.9
A-17,Applicants,2025-2026,Math and Statistics,MCAT BBLS,SD,2.8
