source_table,population,academic_year,region,state,row_type,metric,statistic,value
A-19,Applicants,2025-2026,Northeast,Connecticut,state,MCAT CPBS,Mean,127.0
A-19,Applicants,2025-2026,Northeast,Connecticut,state,MCAT CPBS,SD,3.0
A-19,Applicants,2025-2026,Northeast,Connecticut,state,MCAT CARS,Mean,126.1
A-19,Applicants,2025-2026,Northeast,Connecticut,state,MCAT CARS,SD,2.7
A-19,Applicants,2025-2026,Northeast,Connecticut,state,MCAT BBLS,Mean,127.3
A-19,Applicants,2025-2026,Northeast,Connecticut,state,MCAT BBLS,SD,2.8
A-19,Applicants,2025-2026,Northeast,Connecticut,state,MCAT PSBB,Mean,128.2
A-19,Applicants,2025-2026,Northeast,Connecticut,state,MCAT PSBB,SD,2.7
A-19,Applicants,2025-2026,Northeast,Connecticut,state,Total MCAT,Mean,508.5
A-19,Applicants,2025-2026,Northeast,Connecticut,state,Total MCAT,SD,9.6
A-19,Applicants,2025-2026,Northeast,Connecticut,state,GPA Science,Mean,3.58
A-19,Applicants,2025-2026,Northeast,Connecticut,state,GPA Science,SD,0.42
A-19,Applicants,2025-2026,Northeast,Connecticut,state,GPA Non-Science,Mean,3.81
A-19,Applicants,2025-2026,Northeast,Connecticut,state,GPA Non-Science,SD,0.23
A-19,Applicants,2025-2026,Northeast,Connecticut,state,GPA Total,Mean,3.68
A-19,Applicants,2025-2026,Northeast,Connecticut,state,GPA Total,SD,0.31
A-19,Applicants,2025-2026,Northeast,Connecticut,state,Total Applicants,Count,585.0
A-19,Applicants,2025-2026,Northeast,Delaware,state,MCAT CPBS,Mean,126.1
A-19,Applicants,2025-2026,Northeast,Delaware,state,MCAT CPBS,SD,3.1
A-19,Applicants,2025-2026,Northeast,Delaware,state,MCAT CARS,Mean,125.6
A-19,Applicants,2025-2026,Northeast,Delaware,state,MCAT CARS,SD,2.8
A-19,Applicants,2025-2026,Northeast,Delaware,state,MCAT BBLS,Mean,126.4
A-19,Applicants,2025-2026,Northeast,Delaware,state,MCAT BBLS,SD,3.1
A-19,Applicants,2025-2026,Northeast,Delaware,state,MCAT PSBB,Mean,127.3
A-19,Applicants,2025-2026,Northeast,Delaware,state,MCAT PSBB,SD,3.1
A-19,Applicants,2025-2026,Northeast,Delaware,state,Total MCAT,Mean,505.4
A-19,Applicants,2025-2026,Northeast,Delaware,state,Total MCAT,SD,10.7
A-19,Applicants,2025-2026,Northeast,Delaware,state,GPA Science,Mean,3.57
A-19,Applicants,2025-2026,Northeast,Delaware,state,GPA Science,SD,0.39
A-19,Applicants,2025-2026,Northeast,Delaware,state,GPA Non-Science,Mean,3.79
A-19,Applicants,2025-2026,Northeast,Delaware,state,GPA Non-Science,SD,0.28
A-19,Applicants,2025-2026,Northeast,Delaware,state,GPA Total,Mean,3.66
A-19,Applicants,2025-2026,Northeast,Delaware,state,GPA Total,SD,0.34
A-19,Applicants,2025-2026,Northeast,Delaware,state,Total Applicants,Count,124.0
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,MCAT CPBS,Mean,126.1
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,MCAT CPBS,SD,3.0
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,MCAT CARS,Mean,125.9
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,MCAT CARS,SD,2.9
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,MCAT BBLS,Mean,126.6
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,MCAT BBLS,SD,3.0
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,MCAT PSBB,Mean,127.8
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,MCAT PSBB,SD,2.9
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,Total MCAT,Mean,506.4
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,Total MCAT,SD,10.5
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,GPA Science,Mean,3.4
A-19,Applicants,2025-2026,Northeast,District of Columbia,state,GPA Science,SD,0.46
