source_table,population,academic_year,gender,metric,statistic,value
A-22,Matriculants,2018-2019,Men,MCAT CPBS,Mean,128.2
A-22,Matriculants,2018-2019,Men,MCAT CPBS,SD,2.1
A-22,Matriculants,2018-2019,Men,MCAT CARS,Mean,127.1
A-22,Matriculants,2018-2019,Men,MCAT CARS,SD,2.3
A-22,Matriculants,2018-2019,Men,MCAT BBLS,Mean,128.4
A-22,Matriculants,2018-2019,Men,MCAT BBLS,SD,2.0
A-22,Matriculants,2018-2019,Men,MCAT PSBB,Mean,128.3
A-22,Matriculants,2018-2019,Men,MCAT PSBB,SD,2.1
A-22,Matriculants,2018-2019,Men,Total MCAT,Mean,511.9
A-22,Matriculants,2018-2019,Men,Total MCAT,SD,6.5
A-22,Matriculants,2018-2019,Men,GPA Science,Mean,3.66
A-22,Matriculants,2018-2019,Men,GPA Science,SD,0.3
A-22,Matriculants,2018-2019,Men,GPA Non-Science,Mean,3.77
A-22,Matriculants,2018-2019,Men,GPA Non-Science,SD,0.24
A-22,Matriculants,2018-2019,Men,GPA Total,Mean,3.71
A-22,Matriculants,2018-2019,Men,GPA Total,SD,0.25
A-22,Matriculants,2018-2019,Men,Total Matriculants,Count,10454.0
A-22,Matriculants,2018-2019,Women,MCAT CPBS,Mean,127.3
A-22,Matriculants,2018-2019,Women,MCAT CPBS,SD,2.1
A-22,Matriculants,2018-2019,Women,MCAT CARS,Mean,127.2
A-22,Matriculants,2018-2019,Women,MCAT CARS,SD,2.3
A-22,Matriculants,2018-2019,Women,MCAT BBLS,Mean,127.7
A-22,Matriculants,2018-2019,Women,MCAT BBLS,SD,2.1
A-22,Matriculants,2018-2019,Women,MCAT PSBB,Mean,128.3
A-22,Matriculants,2018-2019,Women,MCAT PSBB,SD,2.0
A-22,Matriculants,2018-2019,Women,Total MCAT,Mean,510.5
A-22,Matriculants,2018-2019,Women,Total MCAT,SD,6.5
A-22,Matriculants,2018-2019,Women,GPA Science,Mean,3.64
A-22,Matriculants,2018-2019,Women,GPA Science,SD,0.3
A-22,Matriculants,2018-2019,Women,GPA Non-Science,Mean,3.83
A-22,Matriculants,2018-2019,Women,GPA Non-Science,SD,0.19
A-22,Matriculants,2018-2019,Women,GPA Total,Mean,3.73
A-22,Matriculants,2018-2019,Women,GPA Total,SD,0.23
A-22,Matriculants,2018-2019,Women,Total Matriculants,Count,11160.0
A-22,Matriculants,2018-2019,All,MCAT CPBS,Mean,127.7
A-22,Matriculants,2018-2019,All,MCAT CPBS,SD,2.1
A-22,Matriculants,2018-2019,All,MCAT CARS,Mean,127.1
A-22,Matriculants,2018-2019,All,MCAT CARS,SD,2.3
A-22,Matriculants,2018-2019,All,MCAT BBLS,Mean,128.0
A-22,Matriculants,2018-2019,All,MCAT BBLS,SD,2.1
A-22,Matriculants,2018-2019,All,MCAT PSBB,Mean,128.3
A-22,Matriculants,2018-2019,All,MCAT PSBB,SD,2.1
A-22,Matriculants,2018-2019,All,Total MCAT,Mean,511.2
A-22,Matriculants,2018-2019,All,Total MCAT,SD,6.5
A-22,Matriculants,2018-2019,All,GPA Science,Mean,3.65
A-22,Matriculants,2018-2019,All,GPA Science,SD,0.3
A-22,Matriculants,2018-2019,All,GPA Non-Science,Mean,3.8
A-22,Matriculants,2018-2019,All,GPA Non-Science,SD,0.21
A-22,Matriculants,2018-2019,All,GPA Total,Mean,3.72
A-22,Matriculants,2018-2019,All,GPA Total,SD,0.24
A-22,Matriculants,2018-2019,All,Total Matriculants,Count,21614.0
A-22,Matriculants,2019-2020,Men,MCAT CPBS,Mean,128.3
A-22,Matriculants,2019-2020,Men,MCAT CPBS,SD,2.1
A-22,Matriculants,2019-2020,Men,MCAT CARS,Mean,127.1
A-22,Matriculants,2019-2020,Men,MCAT CARS,SD,2.3
A-22,Matriculants,2019-2020,Men,MCAT BBLS,Mean,128.4
A-22,Matriculants,2019-2020,Men,MCAT BBLS,SD,2.0
A-22,Matriculants,2019-2020,Men,MCAT PSBB,Mean,128.5
A-22,Matriculants,2019-2020,Men,MCAT PSBB,SD,2.0
A-22,Matriculants,2019-2020,Men,Total MCAT,Mean,512.3
A-22,Matriculants,2019-2020,Men,Total MCAT,SD,6.4
A-22,Matriculants,2019-2020,Men,GPA Science,Mean,3.67
A-22,Matriculants,2019-2020,Men,GPA Science,SD,0.3
A-22,Matriculants,2019-2020,Men,GPA Non-Science,Mean,3.78
A-22,Matriculants,2019-2020,Men,GPA Non-Science,SD,0.24
A-22,Matriculants,2019-2020,Men,GPA Total,Mean,3.72
A-22,Matriculants,2019-2020,Men,GPA Total,SD,0.25
A-22,Matriculants,2019-2020,Men,Total Matriculants,Count,10402.0
A-22,Matriculants,2019-2020,Women,MCAT CPBS,Mean,127.3
A-22,Matriculants,2019-2020,Women,MCAT CPBS,SD,2.1
A-22,Matriculants,2019-2020,Women,MCAT CARS,Mean,127.1
A-22,Matriculants,2019-2020,Women,MCAT CARS,SD,2.3
A-22,Matriculants,2019-2020,Women,MCAT BBLS,Mean,127.8
A-22,Matriculants,2019-2020,Women,MCAT BBLS,SD,2.0
A-22,Matriculants,2019-2020,Women,MCAT PSBB,Mean,128.6
A-22,Matriculants,2019-2020,Women,MCAT PSBB,SD,2.0
A-22,Matriculants,2019-2020,Women,Total MCAT,Mean,510.8
A-22,Matriculants,2019-2020,Women,Total MCAT,SD,6.5
A-22,Matriculants,2019-2020,Women,GPA Science,Mean,3.65
A-22,Matriculants,2019-2020,Women,GPA Science,SD,0.31
A-22,Matriculants,2019-2020,Women,GPA Non-Science,Mean,3.84
A-22,Matriculants,2019-2020,Women,GPA Non-Science,SD,0.19
A-22,Matriculants,2019-2020,Women,GPA Total,Mean,3.73
A-22,Matriculants,2019-2020,Women,GPA Total,SD,0.23
A-22,Matriculants,2019-2020,Women,Total Matriculants,Count,11461.0
A-22,Matriculants,2019-2020,All,MCAT CPBS,Mean,127.8
A-22,Matriculants,2019-2020,All,MCAT CPBS,SD,2.2
A-22,Matriculants,2019-2020,All,MCAT CARS,Mean,127.1
A-22,Matriculants,2019-2020,All,MCAT CARS,SD,2.3
A-22,Matriculants,2019-2020,All,MCAT BBLS,Mean,128.1
A-22,Matriculants,2019-2020,All,MCAT BBLS,SD,2.1
A-22,Matriculants,2019-2020,All,MCAT PSBB,Mean,128.5
A-22,Matriculants,2019-2020,All,MCAT PSBB,SD,2.0
A-22,Matriculants,2019-2020,All,Total MCAT,Mean,511.5
A-22,Matriculants,2019-2020,All,Total MCAT,SD,6.5
A-22,Matriculants,2019-2020,All,GPA Science,Mean,3.66
A-22,Matriculants,2019-2020,All,GPA Science,SD,0.3
A-22,Matriculants,2019-2020,All,GPA Non-Science,Mean,3.81
A-22,Matriculants,2019-2020,All,GPA Non-Science,SD,0.22
A-22,Matriculants,2019-2020,All,GPA Total,Mean,3.73
A-22,Matriculants,2019-2020,All,GPA Total,SD,0.24
A-22,Matriculants,2019-2020,All,Total Matriculants,Count,21863.0
A-22,Matriculants,2020-2021,Men,MCAT CPBS,Mean,128.3
A-22,Matriculants,2020-2021,Men,MCAT CPBS,SD,2.1
A-22,Matriculants,2020-2021,Men,MCAT CARS,Mean,127.0
A-22,Matriculants,2020-2021,Men,MCAT CARS,SD,2.3
A-22,Matriculants,2020-2021,Men,MCAT BBLS,Mean,128.4
A-22,Matriculants,2020-2021,Men,MCAT BBLS,SD,2.0
A-22,Matriculants,2020-2021,Men,MCAT PSBB,Mean,128.6
A-22,Matriculants,2020-2021,Men,MCAT PSBB,SD,2.0
A-22,Matriculants,2020-2021,Men,Total MCAT,Mean,512.3
A-22,Matriculants,2020-2021,Men,Total MCAT,SD,6.4
A-22,Matriculants,2020-2021,Men,GPA Science,Mean,3.68
A-22,Matriculants,2020-2021,Men,GPA Science,SD,0.31
A-22,Matriculants,2020-2021,Men,GPA Non-Science,Mean,3.79
A-22,Matriculants,2020-2021,Men,GPA Non-Science,SD,0.23
A-22,Matriculants,2020-2021,Men,GPA Total,Mean,3.72
A-22,Matriculants,2020-2021,Men,GPA Total,SD,0.25
A-22,Matriculants,2020-2021,Men,Total Matriculants,Count,10271.0
A-22,Matriculants,2020-2021,Women,MCAT CPBS,Mean,127.4
A-22,Matriculants,2020-2021,Women,MCAT CPBS,SD,2.1
A-22,Matriculants,2020-2021,Women,MCAT CARS,Mean,127.0
A-22,Matriculants,2020-2021,Women,MCAT CARS,SD,2.3
A-22,Matriculants,2020-2021,Women,MCAT BBLS,Mean,127.8
A-22,Matriculants,2020-2021,Women,MCAT BBLS,SD,2.0
A-22,Matriculants,2020-2021,Women,MCAT PSBB,Mean,128.6
A-22,Matriculants,2020-2021,Women,MCAT PSBB,SD,2.0
A-22,Matriculants,2020-2021,Women,Total MCAT,Mean,510.9
A-22,Matriculants,2020-2021,Women,Total MCAT,SD,6.4
A-22,Matriculants,2020-2021,Women,GPA Science,Mean,3.65
A-22,Matriculants,2020-2021,Women,GPA Science,SD,0.31
A-22,Matriculants,2020-2021,Women,GPA Non-Science,Mean,3.84
A-22,Matriculants,2020-2021,Women,GPA Non-Science,SD,0.18
