undergraduate_institution,institution_name,city,state_or_province,total_applicants,listed_in_overall_50_plus_table,black_or_african_american_applicants,black_or_african_american_share_of_institution_pct,black_or_african_american_pct_of_all_group_applicants_nationally,american_indian_or_alaska_native_applicants,american_indian_or_alaska_native_share_of_institution_pct,american_indian_or_alaska_native_pct_of_all_group_applicants_nationally,hispanic_or_latino_applicants,hispanic_or_latino_share_of_institution_pct,hispanic_or_latino_pct_of_all_group_applicants_nationally,asian_applicants,asian_share_of_institution_pct,asian_pct_of_all_group_applicants_nationally,white_applicants,white_share_of_institution_pct,white_pct_of_all_group_applicants_nationally,middle_eastern_or_north_african_applicants,middle_eastern_or_north_african_share_of_institution_pct,middle_eastern_or_north_african_pct_of_all_group_applicants_nationally,academic_year
"University of California-Los Angeles, Los Angeles, CA",University of California-Los Angeles,Los Angeles,CA,1272,True,45,3.54,0.7,9,0.71,1.4,172,13.52,2.5,657,51.65,3.9,304,23.9,1.3,163,12.81,4.4,2025-2026
"University of Texas at Austin, Austin, TX",University of Texas at Austin,Austin,TX,1072,True,94,8.77,1.6,9,0.84,1.4,159,14.83,2.3,520,48.51,3.1,385,35.91,1.6,30,2.8,0.8,2025-2026
"University of Florida, Gainesville, FL",University of Florida,Gainesville,FL,896,True,82,9.15,1.4,10,1.12,1.5,240,26.79,3.5,233,26.0,1.4,395,44.08,1.7,53,5.92,1.4,2025-2026
"University of Michigan-Ann Arbor, Ann Arbor, MI",University of Michigan-Ann Arbor,Ann Arbor,MI,864,True,39,4.51,0.6,6,0.69,0.9,33,3.82,0.5,335,38.77,2,373,43.17,1.6,114,13.19,3.1,2025-2026
"University of California-San Diego, La Jolla, CA",University of California-San Diego,La Jolla,CA,739,True,16,2.17,0.3,6,0.81,0.9,99,13.4,1.4,411,55.62,2.5,157,21.24,0.7,82,11.1,2.2,2025-2026
"University of California-Berkeley, Berkeley, CA",University of California-Berkeley,Berkeley,CA,689,True,,,,5,0.73,0.8,68,9.87,1,399,57.91,2.4,149,21.63,0.6,62,9.0,1.7,2025-2026
"Texas A & M University, College Station, TX",Texas A & M University,College Station,TX,672,True,30,4.46,0.5,5,0.74,0.8,126,18.75,1.8,206,30.65,1.2,379,56.4,1.6,15,2.23,0.4,2025-2026
"The Ohio State University Main Campus, Columbus, OH",The Ohio State University Main Campus,Columbus,OH,583,True,60,10.29,1,,,,20,3.43,0.3,190,32.59,1.1,273,46.83,1.1,58,9.95,1.6,2025-2026
"University of Wisconsin-Madison, Madison, WI",University of Wisconsin-Madison,Madison,WI,547,True,,,,5,0.91,0.8,33,6.03,0.5,132,24.13,0.8,376,68.74,1.6,18,3.29,0.5,2025-2026
"University of Georgia, Athens, GA",University of Georgia,Athens,GA,528,True,69,13.07,1.1,6,1.14,0.9,24,4.55,0.3,152,28.79,0.9,253,47.92,1.1,25,4.73,0.7,2025-2026
