undergraduate_institution,institution_name,city,state_or_province,demographic_group,group_applicants,total_applicants,group_share_of_institution_pct,pct_of_all_group_applicants_nationally,academic_year,source_table,source_file,source_excel_row
"Amherst College, Amherst, MA",Amherst College,Amherst,MA,Black or African American,16,60,26.67,0.3,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,104
"Arizona State University, Tempe, AZ",Arizona State University,Tempe,AZ,American Indian or Alaska Native,9,459,1.96,1.4,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,11
"Arizona State University, Tempe, AZ",Arizona State University,Tempe,AZ,Asian,124,459,27.02,0.7,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,43
"Arizona State University, Tempe, AZ",Arizona State University,Tempe,AZ,Black or African American,32,459,6.97,0.5,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,50
"Arizona State University, Tempe, AZ",Arizona State University,Tempe,AZ,Hispanic or Latino,88,459,19.17,1.3,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,17
"Arizona State University, Tempe, AZ",Arizona State University,Tempe,AZ,Middle Eastern or North African,48,459,10.46,1.3,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,18
"Arizona State University, Tempe, AZ",Arizona State University,Tempe,AZ,White,230,459,50.11,1,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,17
"Auburn University, Auburn, AL",Auburn University,Auburn,AL,Hispanic or Latino,11,161,6.83,0.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,137
"Auburn University, Auburn, AL",Auburn University,Auburn,AL,White,139,161,86.34,0.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,38
"Augusta University, Augusta, GA",Augusta University,Augusta,GA,Black or African American,23,68,33.82,0.4,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,74
"Baylor University, Waco, TX",Baylor University,Waco,TX,Asian,113,423,26.71,0.7,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,47
"Baylor University, Waco, TX",Baylor University,Waco,TX,Black or African American,46,423,10.87,0.8,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,25
"Baylor University, Waco, TX",Baylor University,Waco,TX,Hispanic or Latino,72,423,17.02,1,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,22
"Baylor University, Waco, TX",Baylor University,Waco,TX,White,224,423,52.96,0.9,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,19
"Boston College, Chestnut Hill, MA",Boston College,Chestnut Hill,MA,Black or African American,15,177,8.47,0.2,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,114
"Boston College, Chestnut Hill, MA",Boston College,Chestnut Hill,MA,Hispanic or Latino,28,177,15.82,0.4,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,59
"Boston College, Chestnut Hill, MA",Boston College,Chestnut Hill,MA,White,110,177,62.15,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,61
"Boston University, Boston, MA",Boston University,Boston,MA,Asian,141,331,42.6,0.8,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,38
"Boston University, Boston, MA",Boston University,Boston,MA,Black or African American,30,331,9.06,0.5,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,56
"Boston University, Boston, MA",Boston University,Boston,MA,Hispanic or Latino,40,331,12.08,0.6,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,37
"Boston University, Boston, MA",Boston University,Boston,MA,Middle Eastern or North African,19,331,5.74,0.5,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,48
"Boston University, Boston, MA",Boston University,Boston,MA,White,115,331,34.74,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,56
"Brigham Young University, Provo, UT",Brigham Young University,Provo,UT,Hispanic or Latino,25,334,7.49,0.4,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,65
"Brigham Young University, Provo, UT",Brigham Young University,Provo,UT,White,298,334,89.22,1.2,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,12
"Brown University, Providence, RI",Brown University,Providence,RI,Asian,125,320,39.06,0.8,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,42
"Brown University, Providence, RI",Brown University,Providence,RI,Black or African American,41,320,12.81,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,35
"Brown University, Providence, RI",Brown University,Providence,RI,Hispanic or Latino,35,320,10.94,0.5,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,42
"Brown University, Providence, RI",Brown University,Providence,RI,White,110,320,34.38,0.5,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,62
"California Baptist University, Riverside, CA",California Baptist University,Riverside,CA,Hispanic or Latino,10,27,37.04,0.1,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,145
"California State Polytechnic University-Pomona, Pomona, CA",California State Polytechnic University-Pomona,Pomona,CA,Hispanic or Latino,13,38,34.21,0.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,126
"California State University-Fresno, Fresno, CA",California State University-Fresno,Fresno,CA,Hispanic or Latino,17,50,34.0,0.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,95
"California State University-Fullerton, Fullerton, CA",California State University-Fullerton,Fullerton,CA,Hispanic or Latino,15,42,35.71,0.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,108
"California State University-Long Beach, Long Beach, CA",California State University-Long Beach,Long Beach,CA,Hispanic or Latino,22,67,32.84,0.3,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,77
"California State University-Los Angeles, Los Angeles, CA",California State University-Los Angeles,Los Angeles,CA,Hispanic or Latino,15,36,41.67,0.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,109
"California State University-Monterey Bay, Seaside, CA",California State University-Monterey Bay,Seaside,CA,Hispanic or Latino,10,16,62.5,0.1,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,146
"California State University-Northridge, Northridge, CA",California State University-Northridge,Northridge,CA,Hispanic or Latino,19,60,31.67,0.3,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,89
"California State University-Northridge, Northridge, CA",California State University-Northridge,Northridge,CA,Middle Eastern or North African,19,60,31.67,0.5,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,49
"California State University-San Bernardino, San Bernardino, CA",California State University-San Bernardino,San Bernardino,CA,Hispanic or Latino,15,22,68.18,0.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,110
"Case Western Reserve University, Cleveland, OH",Case Western Reserve University,Cleveland,OH,Asian,168,295,56.95,1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,28
"Case Western Reserve University, Cleveland, OH",Case Western Reserve University,Cleveland,OH,Black or African American,19,295,6.44,0.3,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,89
"Case Western Reserve University, Cleveland, OH",Case Western Reserve University,Cleveland,OH,Hispanic or Latino,16,295,5.42,0.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,102
"City University of New York Herbert H. Lehman College, Bronx, NY",City University of New York Herbert H. Lehman College,Bronx,NY,Black or African American,20,29,68.97,0.3,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,84
"City University of New York Hunter College, New York, NY",City University of New York Hunter College,New York,NY,Asian,66,167,39.52,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,70
"City University of New York Hunter College, New York, NY",City University of New York Hunter College,New York,NY,Black or African American,24,167,14.37,0.4,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,69
"City University of New York Hunter College, New York, NY",City University of New York Hunter College,New York,NY,Hispanic or Latino,25,167,14.97,0.4,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,66
"City University of New York Hunter College, New York, NY",City University of New York Hunter College,New York,NY,Middle Eastern or North African,24,167,14.37,0.7,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,38
"Clemson University, Clemson, SC",Clemson University,Clemson,SC,Hispanic or Latino,14,209,6.7,0.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,118
"Clemson University, Clemson, SC",Clemson University,Clemson,SC,White,161,209,77.03,0.7,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,32
"College of William & Mary, Williamsburg, VA",College of William & Mary,Williamsburg,VA,Asian,59,169,34.91,0.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,78
"College of William & Mary, Williamsburg, VA",College of William & Mary,Williamsburg,VA,Hispanic or Latino,14,169,8.28,0.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,119
"Colorado State University, Fort Collins, CO",Colorado State University,Fort Collins,CO,Hispanic or Latino,15,96,15.62,0.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,111
"Columbia University in the City of New York, New York, NY",Columbia University in the City of New York,New York,NY,American Indian or Alaska Native,5,204,2.45,0.8,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,24
"Columbia University in the City of New York, New York, NY",Columbia University in the City of New York,New York,NY,Asian,77,204,37.75,0.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,65
"Columbia University in the City of New York, New York, NY",Columbia University in the City of New York,New York,NY,Black or African American,33,204,16.18,0.5,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,48
"Columbia University in the City of New York, New York, NY",Columbia University in the City of New York,New York,NY,Hispanic or Latino,30,204,14.71,0.4,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,53
"Cornell University, Ithaca, NY",Cornell University,Ithaca,NY,Asian,162,385,42.08,1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,30
"Cornell University, Ithaca, NY",Cornell University,Ithaca,NY,Black or African American,43,385,11.17,0.7,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,29
"Cornell University, Ithaca, NY",Cornell University,Ithaca,NY,Hispanic or Latino,48,385,12.47,0.7,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,32
"Cornell University, Ithaca, NY",Cornell University,Ithaca,NY,Middle Eastern or North African,25,385,6.49,0.7,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,35
"Cornell University, Ithaca, NY",Cornell University,Ithaca,NY,White,137,385,35.58,0.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,40
"Dartmouth College, Hanover, NH",Dartmouth College,Hanover,NH,Black or African American,15,139,10.79,0.2,2025-2026,A-2.1,2025_FACTS_Table_A-2.1.xlsx,115
"Dartmouth College, Hanover, NH",Dartmouth College,Hanover,NH,Hispanic or Latino,11,139,7.91,0.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,138
"Drexel University, Philadelphia, PA",Drexel University,Philadelphia,PA,Asian,50,106,47.17,0.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,93
"Duke University, Durham, NC",Duke University,Durham,NC,American Indian or Alaska Native,6,314,1.91,0.9,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,17
"Duke University, Durham, NC",Duke University,Durham,NC,Asian,144,314,45.86,0.9,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,37
