state,medical_school,applications_total,applications_in_state_pct,applications_out_of_state_pct,applications_men_pct,applications_women_pct,matriculants_total,matriculants_in_state_pct,matriculants_out_of_state_pct,matriculants_men_pct,matriculants_women_pct,academic_year,source_table,source_file,source_excel_row
AL,Alabama-Heersink,4206,13.3,86.7,44.8,54.7,196,82.1,17.9,44.9,54.6,2025-2026,A-1,2025_FACTS_Table_A-1.xlsx,10
AL,South Alabama-Whiddon,1906,25.6,74.4,43.9,55.8,79,93.7,6.3,46.8,53.2,2025-2026,A-1,2025_FACTS_Table_A-1.xlsx,11
AR,Arkansas,3337,9.3,90.7,46,53.6,174,83.3,16.7,45.4,52.9,2025-2026,A-1,2025_FACTS_Table_A-1.xlsx,12
AR,Walton,2021,8.7,91.3,49.1,50.2,48,31.3,68.8,50,50,2025-2026,A-1,2025_FACTS_Table_A-1.xlsx,13
AZ,Arizona,7342,10.6,89.4,44.6,54.9,118,71.2,28.8,40.7,59.3,2025-2026,A-1,2025_FACTS_Table_A-1.xlsx,14
AZ,Arizona Phoenix,5831,13.1,86.9,46.2,53.2,130,66.9,33.1,52.3,47.7,2025-2026,A-1,2025_FACTS_Table_A-1.xlsx,15
CA,California,4630,78.7,21.3,43.8,55.6,130,97.7,2.3,48.5,51.5,2025-2026,A-1,2025_FACTS_Table_A-1.xlsx,16
CA,California Northstate,3412,69,31,43.6,55.6,118,93.2,6.8,46.6,53.4,2025-2026,A-1,2025_FACTS_Table_A-1.xlsx,17
CA,Drew,6639,37.3,62.7,35,64.3,60,71.7,28.3,45,55,2025-2026,A-1,2025_FACTS_Table_A-1.xlsx,18
CA,Kaiser Permanente-Tyson,6596,59.8,40.2,42.4,56.7,49,71.4,28.6,38.8,59.2,2025-2026,A-1,2025_FACTS_Table_A-1.xlsx,19
CA,Loma Linda,5642,47.9,52.1,45.4,54.2,176,44.3,55.7,48.3,51.1,2025-2026,A-1,2025_FACTS_Table_A-1.xlsx,20
CA,Southern Cal-Keck,9612,50.4,49.6,44.4,54.9,120,80.8,19.2,55.8,42.5,2025-2026,A-1,2025_FACTS_Table_A-1.xlsx,21
