undergraduate_institution,institution_name,city,state_or_province,demographic_group,group_applicants,total_applicants,group_share_of_institution_pct,pct_of_all_group_applicants_nationally,academic_year,source_table,source_file,source_excel_row
"University of Oklahoma Norman Campus, Norman, OK",University of Oklahoma Norman Campus,Norman,OK,American Indian or Alaska Native,21,224,9.38,3.2,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,6
"Oklahoma State University, Stillwater, OK",Oklahoma State University,Stillwater,OK,American Indian or Alaska Native,18,65,27.69,2.7,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,7
"Stanford University, Stanford, CA",Stanford University,Stanford,CA,American Indian or Alaska Native,11,228,4.82,1.7,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,8
"University of Arizona, Tucson, AZ",University of Arizona,Tucson,AZ,American Indian or Alaska Native,10,386,2.59,1.5,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,9
"University of Florida, Gainesville, FL",University of Florida,Gainesville,FL,American Indian or Alaska Native,10,896,1.12,1.5,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,10
"Arizona State University, Tempe, AZ",Arizona State University,Tempe,AZ,American Indian or Alaska Native,9,459,1.96,1.4,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,11
"University of Arkansas Main Campus, Fayetteville, AR",University of Arkansas Main Campus,Fayetteville,AR,American Indian or Alaska Native,9,157,5.73,1.4,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,12
"University of California-Los Angeles, Los Angeles, CA",University of California-Los Angeles,Los Angeles,CA,American Indian or Alaska Native,9,1272,0.71,1.4,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,13
"University of Texas at Austin, Austin, TX",University of Texas at Austin,Austin,TX,American Indian or Alaska Native,9,1072,0.84,1.4,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,14
"University of Washington, Seattle, WA",University of Washington,Seattle,WA,American Indian or Alaska Native,8,495,1.62,1.2,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,15
"Michigan State University, East Lansing, MI",Michigan State University,East Lansing,MI,American Indian or Alaska Native,7,370,1.89,1.1,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,16
"Duke University, Durham, NC",Duke University,Durham,NC,American Indian or Alaska Native,6,314,1.91,0.9,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,17
"University of Alabama at Birmingham, Birmingham, AL",University of Alabama at Birmingham,Birmingham,AL,American Indian or Alaska Native,6,245,2.45,0.9,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,18
"University of California-San Diego, La Jolla, CA",University of California-San Diego,La Jolla,CA,American Indian or Alaska Native,6,739,0.81,0.9,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,19
"University of California-Santa Barbara, Santa Barbara, CA",University of California-Santa Barbara,Santa Barbara,CA,American Indian or Alaska Native,6,258,2.33,0.9,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,20
"University of Georgia, Athens, GA",University of Georgia,Athens,GA,American Indian or Alaska Native,6,528,1.14,0.9,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,21
"University of Michigan-Ann Arbor, Ann Arbor, MI",University of Michigan-Ann Arbor,Ann Arbor,MI,American Indian or Alaska Native,6,864,0.69,0.9,2025-2026,A-2.2,2025_FACTS_Table_A-2.2.xlsx,22
