undergraduate_institution,institution_name,city,state_or_province,demographic_group,group_applicants,total_applicants,group_share_of_institution_pct,pct_of_all_group_applicants_nationally,academic_year,source_table,source_file,source_excel_row
"Florida International University, Miami, FL",Florida International University,Miami,FL,Hispanic or Latino,242,315,76.83,3.5,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,6
"University of Florida, Gainesville, FL",University of Florida,Gainesville,FL,Hispanic or Latino,240,896,26.79,3.5,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,7
"University of California-Los Angeles, Los Angeles, CA",University of California-Los Angeles,Los Angeles,CA,Hispanic or Latino,172,1272,13.52,2.5,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,8
"University of Texas at Austin, Austin, TX",University of Texas at Austin,Austin,TX,Hispanic or Latino,159,1072,14.83,2.3,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,9
"University of Puerto Rico-Rio Piedras Campus, San Juan, PR",University of Puerto Rico-Rio Piedras Campus,San Juan,PR,Hispanic or Latino,153,159,96.23,2.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,10
"University of Central Florida, Orlando, FL",University of Central Florida,Orlando,FL,Hispanic or Latino,130,430,30.23,1.9,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,11
"Texas A & M University, College Station, TX",Texas A & M University,College Station,TX,Hispanic or Latino,126,672,18.75,1.8,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,12
"University of Puerto Rico-Mayaguez Campus, Mayaguez, PR",University of Puerto Rico-Mayaguez Campus,Mayaguez,PR,Hispanic or Latino,119,123,96.75,1.7,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,13
"University of South Florida, Tampa, FL",University of South Florida,Tampa,FL,Hispanic or Latino,107,512,20.9,1.6,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,14
"Florida State University, Tallahassee, FL",Florida State University,Tallahassee,FL,Hispanic or Latino,102,357,28.57,1.5,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,15
"University of California-San Diego, La Jolla, CA",University of California-San Diego,La Jolla,CA,Hispanic or Latino,99,739,13.4,1.4,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,16
"Arizona State University, Tempe, AZ",Arizona State University,Tempe,AZ,Hispanic or Latino,88,459,19.17,1.3,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,17
"Johns Hopkins University, Baltimore, MD",Johns Hopkins University,Baltimore,MD,Hispanic or Latino,83,470,17.66,1.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,18
"University of Arizona, Tucson, AZ",University of Arizona,Tucson,AZ,Hispanic or Latino,80,386,20.73,1.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,19
"University of Miami, Coral Gables, FL",University of Miami,Coral Gables,FL,Hispanic or Latino,80,289,27.68,1.2,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,20
"The University of Texas Rio Grande Valley, Edinburg, TX",The University of Texas Rio Grande Valley,Edinburg,TX,Hispanic or Latino,79,96,82.29,1.1,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,21
"Baylor University, Waco, TX",Baylor University,Waco,TX,Hispanic or Latino,72,423,17.02,1,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,22
"University of California-Davis, Davis, CA",University of California-Davis,Davis,CA,Hispanic or Latino,70,495,14.14,1,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,23
"University of California-Berkeley, Berkeley, CA",University of California-Berkeley,Berkeley,CA,Hispanic or Latino,68,689,9.87,1,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,24
"University of California-Irvine, Irvine, CA",University of California-Irvine,Irvine,CA,Hispanic or Latino,64,461,13.88,0.9,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,25
"Texas Tech University-Lubbock, Lubbock, TX",Texas Tech University-Lubbock,Lubbock,TX,Hispanic or Latino,58,234,24.79,0.8,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,26
"University of New Mexico-Main Campus, Albuquerque, NM",University of New Mexico-Main Campus,Albuquerque,NM,Hispanic or Latino,54,129,41.86,0.8,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,27
"University of Texas at El Paso, El Paso, TX",University of Texas at El Paso,El Paso,TX,Hispanic or Latino,54,61,88.52,0.8,2025-2026,A-2.3,2025_FACTS_Table_A-2.3.xlsx,28
