undergraduate_institution,institution_name,city,state_or_province,demographic_group,group_applicants,total_applicants,group_share_of_institution_pct,pct_of_all_group_applicants_nationally,academic_year,source_table,source_file,source_excel_row
"University of California-Los Angeles, Los Angeles, CA",University of California-Los Angeles,Los Angeles,CA,Asian,657,1272,51.65,3.9,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,6
"University of Texas at Austin, Austin, TX",University of Texas at Austin,Austin,TX,Asian,520,1072,48.51,3.1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,7
"University of California-San Diego, La Jolla, CA",University of California-San Diego,La Jolla,CA,Asian,411,739,55.62,2.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,8
"University of California-Berkeley, Berkeley, CA",University of California-Berkeley,Berkeley,CA,Asian,399,689,57.91,2.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,9
"The University of Texas at Dallas, Richardson, TX",The University of Texas at Dallas,Richardson,TX,Asian,340,486,69.96,2,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,10
"University of Michigan-Ann Arbor, Ann Arbor, MI",University of Michigan-Ann Arbor,Ann Arbor,MI,Asian,335,864,38.77,2,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,11
"University of California-Davis, Davis, CA",University of California-Davis,Davis,CA,Asian,279,495,56.36,1.7,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,12
"University of California-Irvine, Irvine, CA",University of California-Irvine,Irvine,CA,Asian,252,461,54.66,1.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,13
"University of Washington, Seattle, WA",University of Washington,Seattle,WA,Asian,251,495,50.71,1.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,14
"Johns Hopkins University, Baltimore, MD",Johns Hopkins University,Baltimore,MD,Asian,249,470,52.98,1.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,15
"Rutgers University - New Brunswick, New Brunswick, NJ",Rutgers University - New Brunswick,New Brunswick,NJ,Asian,244,443,55.08,1.5,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,16
"University of Florida, Gainesville, FL",University of Florida,Gainesville,FL,Asian,233,896,26.0,1.4,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,17
"Emory University, Atlanta, GA",Emory University,Atlanta,GA,Asian,219,411,53.28,1.3,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,18
"Texas A & M University, College Station, TX",Texas A & M University,College Station,TX,Asian,206,672,30.65,1.2,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,19
"University of Southern California, Los Angeles, CA",University of Southern California,Los Angeles,CA,Asian,194,338,57.4,1.2,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,20
"The Ohio State University Main Campus, Columbus, OH",The Ohio State University Main Campus,Columbus,OH,Asian,190,583,32.59,1.1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,21
"Stony Brook University, Stony Brook, NY",Stony Brook University,Stony Brook,NY,Asian,180,325,55.38,1.1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,22
"University of Pennsylvania, Philadelphia, PA",University of Pennsylvania,Philadelphia,PA,Asian,179,368,48.64,1.1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,23
"University of Pittsburgh, Pittsburgh, PA",University of Pittsburgh,Pittsburgh,PA,Asian,179,415,43.13,1.1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,24
"Washington University in St. Louis, St. Louis, MO",Washington University in St. Louis,St. Louis,MO,Asian,178,389,45.76,1.1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,25
"University of Maryland-College Park, College Park, MD",University of Maryland-College Park,College Park,MD,Asian,176,403,43.67,1.1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,26
"University of North Carolina at Chapel Hill, Chapel Hill, NC",University of North Carolina at Chapel Hill,Chapel Hill,NC,Asian,173,504,34.33,1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,27
"Case Western Reserve University, Cleveland, OH",Case Western Reserve University,Cleveland,OH,Asian,168,295,56.95,1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,28
"University of Houston, Houston, TX",University of Houston,Houston,TX,Asian,164,306,53.59,1,2025-2026,A-2.4,2025_FACTS_Table_A-2.4.xlsx,29
