undergraduate_institution,institution_name,city,state_or_province,demographic_group,group_applicants,total_applicants,group_share_of_institution_pct,pct_of_all_group_applicants_nationally,academic_year,source_table,source_file,source_excel_row
"University of Florida, Gainesville, FL",University of Florida,Gainesville,FL,White,395,896,44.08,1.7,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,6
"University of Texas at Austin, Austin, TX",University of Texas at Austin,Austin,TX,White,385,1072,35.91,1.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,7
"Texas A & M University, College Station, TX",Texas A & M University,College Station,TX,White,379,672,56.4,1.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,8
"University of Wisconsin-Madison, Madison, WI",University of Wisconsin-Madison,Madison,WI,White,376,547,68.74,1.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,9
"University of Michigan-Ann Arbor, Ann Arbor, MI",University of Michigan-Ann Arbor,Ann Arbor,MI,White,373,864,43.17,1.6,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,10
"University of California-Los Angeles, Los Angeles, CA",University of California-Los Angeles,Los Angeles,CA,White,304,1272,23.9,1.3,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,11
"Brigham Young University, Provo, UT",Brigham Young University,Provo,UT,White,298,334,89.22,1.2,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,12
"The Ohio State University Main Campus, Columbus, OH",The Ohio State University Main Campus,Columbus,OH,White,273,583,46.83,1.1,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,13
"University of Georgia, Athens, GA",University of Georgia,Athens,GA,White,253,528,47.92,1.1,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,14
"Louisiana St University and Agricultural and Mechanical Col, Baton Rouge, LA",Louisiana St University and Agricultural and Mechanical Col,Baton Rouge,LA,White,244,351,69.52,1,2025-2026,A-2.5,2025_FACTS_Table_A-2.5.xlsx,15
