undergraduate_institution,institution_name,city,state_or_province,demographic_group,group_applicants,total_applicants,group_share_of_institution_pct,pct_of_all_group_applicants_nationally,academic_year,source_table,source_file,source_excel_row
"University of California-Los Angeles, Los Angeles, CA",University of California-Los Angeles,Los Angeles,CA,Middle Eastern or North African,163,1272,12.81,4.4,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,6
"University of Michigan-Ann Arbor, Ann Arbor, MI",University of Michigan-Ann Arbor,Ann Arbor,MI,Middle Eastern or North African,114,864,13.19,3.1,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,7
"Wayne State University, Detroit, MI",Wayne State University,Detroit,MI,Middle Eastern or North African,105,238,44.12,2.9,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,8
"University of California-Irvine, Irvine, CA",University of California-Irvine,Irvine,CA,Middle Eastern or North African,84,461,18.22,2.3,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,9
"University of California-San Diego, La Jolla, CA",University of California-San Diego,La Jolla,CA,Middle Eastern or North African,82,739,11.1,2.2,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,10
"University of California-Berkeley, Berkeley, CA",University of California-Berkeley,Berkeley,CA,Middle Eastern or North African,62,689,9.0,1.7,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,11
"The Ohio State University Main Campus, Columbus, OH",The Ohio State University Main Campus,Columbus,OH,Middle Eastern or North African,58,583,9.95,1.6,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,12
"University of California-Riverside, Riverside, CA",University of California-Riverside,Riverside,CA,Middle Eastern or North African,57,301,18.94,1.6,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,13
"Rutgers University - New Brunswick, New Brunswick, NJ",Rutgers University - New Brunswick,New Brunswick,NJ,Middle Eastern or North African,55,443,12.42,1.5,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,14
"University of Florida, Gainesville, FL",University of Florida,Gainesville,FL,Middle Eastern or North African,53,896,5.92,1.4,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,15
"University of California-Davis, Davis, CA",University of California-Davis,Davis,CA,Middle Eastern or North African,49,495,9.9,1.3,2025-2026,A-2.6,2025_FACTS_Table_A-2.6.xlsx,16
