application_stage,gender,measure,academic_year,value,source_table
Applicants,Men,number,2006-2007,19815,A-7.1
Applicants,Men,number,2007-2008,21580,A-7.1
Applicants,Men,number,2008-2009,21870,A-7.1
Applicants,Men,number,2009-2010,22013,A-7.1
Applicants,Men,number,2010-2011,22533,A-7.1
Applicants,Men,number,2011-2012,23135,A-7.1
Applicants,Men,number,2012-2013,24338,A-7.1
Applicants,Men,number,2013-2014,25760,A-7.1
Applicants,Men,number,2014-2015,26455,A-7.1
Applicants,Men,number,2015-2016,27927,A-7.1
Applicants,Men,percent,2006-2007,50.7,A-7.1
Applicants,Men,percent,2007-2008,51,A-7.1
Applicants,Men,percent,2008-2009,51.8,A-7.1
Applicants,Men,percent,2009-2010,52.1,A-7.1
Applicants,Men,percent,2010-2011,52.7,A-7.1
Applicants,Men,percent,2011-2012,52.7,A-7.1
Applicants,Men,percent,2012-2013,53.8,A-7.1
Applicants,Men,percent,2013-2014,53.7,A-7.1
Applicants,Men,percent,2014-2015,53.5,A-7.1
Applicants,Men,percent,2015-2016,53.1,A-7.1
Applicants,Women,number,2006-2007,19293,A-7.1
Applicants,Women,number,2007-2008,20735,A-7.1
Applicants,Women,number,2008-2009,20360,A-7.1
Applicants,Women,number,2009-2010,20252,A-7.1
Applicants,Women,number,2010-2011,20207,A-7.1
Applicants,Women,number,2011-2012,20780,A-7.1
Applicants,Women,number,2012-2013,20922,A-7.1
Applicants,Women,number,2013-2014,22250,A-7.1
Applicants,Women,number,2014-2015,23019,A-7.1
Applicants,Women,number,2015-2016,24608,A-7.1
Applicants,Women,percent,2006-2007,49.3,A-7.1
Applicants,Women,percent,2007-2008,49,A-7.1
Applicants,Women,percent,2008-2009,48.2,A-7.1
Applicants,Women,percent,2009-2010,47.9,A-7.1
Applicants,Women,percent,2010-2011,47.3,A-7.1
Applicants,Women,percent,2011-2012,47.3,A-7.1
Applicants,Women,percent,2012-2013,46.2,A-7.1
Applicants,Women,percent,2013-2014,46.3,A-7.1
Applicants,Women,percent,2014-2015,46.5,A-7.1
Applicants,Women,percent,2015-2016,46.8,A-7.1
Applicants,Total,number,2006-2007,39108,A-7.1
Applicants,Total,number,2007-2008,42315,A-7.1
Applicants,Total,number,2008-2009,42231,A-7.1
Applicants,Total,number,2009-2010,42268,A-7.1
Applicants,Total,number,2010-2011,42741,A-7.1
Applicants,Total,number,2011-2012,43919,A-7.1
Applicants,Total,number,2012-2013,45266,A-7.1
Applicants,Total,number,2013-2014,48014,A-7.1
Applicants,Total,number,2014-2015,49480,A-7.1
Applicants,Total,number,2015-2016,52549,A-7.1
First-Time Applicants,Men,number,2006-2007,14624,A-7.1
First-Time Applicants,Men,number,2007-2008,15925,A-7.1
First-Time Applicants,Men,number,2008-2009,15662,A-7.1
First-Time Applicants,Men,number,2009-2010,15815,A-7.1
First-Time Applicants,Men,number,2010-2011,16352,A-7.1
First-Time Applicants,Men,number,2011-2012,16671,A-7.1
First-Time Applicants,Men,number,2012-2013,17776,A-7.1
First-Time Applicants,Men,number,2013-2014,18643,A-7.1
First-Time Applicants,Men,number,2014-2015,19031,A-7.1
First-Time Applicants,Men,number,2015-2016,19687,A-7.1
First-Time Applicants,Men,percent,2006-2007,49.6,A-7.1
First-Time Applicants,Men,percent,2007-2008,49.9,A-7.1
First-Time Applicants,Men,percent,2008-2009,50.6,A-7.1
First-Time Applicants,Men,percent,2009-2010,51,A-7.1
