region,entity_name,entity_type,academic_year,applicants,matriculants,matriculation_rate_percent
,United States Total,overall_total,2016-2017,53042,21030,39.65
,United States Total,overall_total,2017-2018,51680,21338,41.29
,United States Total,overall_total,2018-2019,52777,21622,40.97
,United States Total,overall_total,2019-2020,53368,21869,40.98
,United States Total,overall_total,2020-2021,53030,22239,41.94
,United States Total,overall_total,2021-2022,62443,22666,36.3
,United States Total,overall_total,2022-2023,55189,22710,41.15
,United States Total,overall_total,2023-2024,52577,22980,43.71
,United States Total,overall_total,2024-2025,51946,23156,44.58
,United States Total,overall_total,2025-2026,54699,23440,42.85
Central,Total for the Region,region_total,2016-2017,10866,4595,42.29
Central,Total for the Region,region_total,2017-2018,10678,4617,43.24
Central,Total for the Region,region_total,2018-2019,10912,4607,42.22
Central,Total for the Region,region_total,2019-2020,10889,4700,43.16
Central,Total for the Region,region_total,2020-2021,10615,4669,43.98
Central,Total for the Region,region_total,2021-2022,12189,4711,38.65
Central,Total for the Region,region_total,2022-2023,10841,4739,43.71
Central,Total for the Region,region_total,2023-2024,10107,4675,46.26
Central,Total for the Region,region_total,2024-2025,9929,4826,48.61
Central,Total for the Region,region_total,2025-2026,10319,4869,47.18
Northeast,Total for the Region,region_total,2016-2017,11008,4895,44.47
Northeast,Total for the Region,region_total,2017-2018,10541,5007,47.5
Northeast,Total for the Region,region_total,2018-2019,10675,4942,46.3
Northeast,Total for the Region,region_total,2019-2020,10833,5043,46.55
Northeast,Total for the Region,region_total,2020-2021,10676,5142,48.16
Northeast,Total for the Region,region_total,2021-2022,12728,5199,40.85
Northeast,Total for the Region,region_total,2022-2023,11286,5219,46.24
Northeast,Total for the Region,region_total,2023-2024,10762,5166,48.0
Northeast,Total for the Region,region_total,2024-2025,10670,5193,48.67
Northeast,Total for the Region,region_total,2025-2026,11278,5296,46.96
South,Total for the Region,region_total,2016-2017,17854,6909,38.7
South,Total for the Region,region_total,2017-2018,17572,7061,40.18
South,Total for the Region,region_total,2018-2019,18104,7368,40.7
South,Total for the Region,region_total,2019-2020,18532,7333,39.57
South,Total for the Region,region_total,2020-2021,18444,7552,40.95
South,Total for the Region,region_total,2021-2022,21797,7812,35.84
South,Total for the Region,region_total,2022-2023,19467,7848,40.31
South,Total for the Region,region_total,2023-2024,18662,8047,43.12
South,Total for the Region,region_total,2024-2025,18513,8109,43.8
South,Total for the Region,region_total,2025-2026,19373,8172,42.18
West,Total for the Region,region_total,2016-2017,11643,4441,38.14
West,Total for the Region,region_total,2017-2018,11360,4453,39.2
West,Total for the Region,region_total,2018-2019,11570,4515,39.02
West,Total for the Region,region_total,2019-2020,11691,4636,39.65
West,Total for the Region,region_total,2020-2021,11973,4724,39.46
West,Total for the Region,region_total,2021-2022,14163,4784,33.78
West,Total for the Region,region_total,2022-2023,12279,4737,38.58
West,Total for the Region,region_total,2023-2024,11714,4940,42.17
West,Total for the Region,region_total,2024-2025,11537,4883,42.32
West,Total for the Region,region_total,2025-2026,12289,4979,40.52
,Legal Residence is Not in the U.S.,special_category,2016-2017,1324,112,8.46
,Legal Residence is Not in the U.S.,special_category,2017-2018,1182,106,8.97
,Legal Residence is Not in the U.S.,special_category,2018-2019,1195,97,8.12
,Legal Residence is Not in the U.S.,special_category,2019-2020,1325,124,9.36
,Legal Residence is Not in the U.S.,special_category,2020-2021,1264,131,10.36
,Legal Residence is Not in the U.S.,special_category,2021-2022,1450,136,9.38
,Legal Residence is Not in the U.S.,special_category,2022-2023,1268,153,12.07
,Legal Residence is Not in the U.S.,special_category,2023-2024,1297,143,11.03
,Legal Residence is Not in the U.S.,special_category,2024-2025,1255,130,10.36
,Legal Residence is Not in the U.S.,special_category,2025-2026,1390,105,7.55
,Legal Residence is Unknown,special_category,2016-2017,328,73,22.26
,Legal Residence is Unknown,special_category,2017-2018,330,85,25.76
,Legal Residence is Unknown,special_category,2018-2019,301,86,28.57
,Legal Residence is Unknown,special_category,2019-2020,81,27,33.33
,Legal Residence is Unknown,special_category,2020-2021,39,13,33.33
,Legal Residence is Unknown,special_category,2021-2022,94,17,18.09
,Legal Residence is Unknown,special_category,2022-2023,26,8,30.77
,Legal Residence is Unknown,special_category,2023-2024,21,6,28.57
,Legal Residence is Unknown,special_category,2024-2025,29,9,31.03
,Legal Residence is Unknown,special_category,2025-2026,28,9,32.14
,U.S. Territories and Possessions,special_category,2016-2017,19,5,26.32
,U.S. Territories and Possessions,special_category,2017-2018,17,9,52.94
,U.S. Territories and Possessions,special_category,2018-2019,20,7,35.0
,U.S. Territories and Possessions,special_category,2019-2020,17,6,35.29
,U.S. Territories and Possessions,special_category,2020-2021,19,8,42.11
,U.S. Territories and Possessions,special_category,2021-2022,22,7,31.82
,U.S. Territories and Possessions,special_category,2022-2023,22,6,27.27
,U.S. Territories and Possessions,special_category,2023-2024,14,3,21.43
,U.S. Territories and Possessions,special_category,2024-2025,13,6,46.15
,U.S. Territories and Possessions,special_category,2025-2026,22,10,45.45
Central,Illinois,state_or_territory,2016-2017,2285,949,41.53
Central,Illinois,state_or_territory,2017-2018,2224,912,41.01
Central,Illinois,state_or_territory,2018-2019,2261,977,43.21
Central,Illinois,state_or_territory,2019-2020,2241,934,41.68
Central,Illinois,state_or_territory,2020-2021,2132,954,44.75
Central,Illinois,state_or_territory,2021-2022,2476,895,36.15
Central,Illinois,state_or_territory,2022-2023,2197,921,41.92
Central,Illinois,state_or_territory,2023-2024,2030,936,46.11
Central,Illinois,state_or_territory,2024-2025,2041,960,47.04
Central,Illinois,state_or_territory,2025-2026,2163,990,45.77
Central,Indiana,state_or_territory,2016-2017,775,358,46.19
Central,Indiana,state_or_territory,2017-2018,772,372,48.19
Central,Indiana,state_or_territory,2018-2019,826,388,46.97
Central,Indiana,state_or_territory,2019-2020,765,379,49.54
Central,Indiana,state_or_territory,2020-2021,743,366,49.26
