region,entity_name,entity_type,applicants,matriculants,overall_matriculation_rate_percent,matriculated_in_state_number,matriculated_in_state_percent,matriculated_out_of_state_number,matriculated_out_of_state_percent,did_not_matriculate_number,did_not_matriculate_percent,a4_matriculants_equals_a5_in_plus_out
,United States Total,overall_total,54699,23440,42.85,13897,25.4,9543,17.4,31259,57.1,True
Central,Total for the Region,region_total,10319,4869,47.18,3344,32.4,1525,14.8,5450,52.8,True
Northeast,Total for the Region,region_total,11278,5296,46.96,2580,22.9,2716,24.1,5982,53,True
South,Total for the Region,region_total,19373,8172,42.18,5852,30.2,2320,12,11201,57.8,True
West,Total for the Region,region_total,12289,4979,40.52,2121,17.3,2858,23.3,7310,59.5,True
,Legal Residence is Not in the U.S.,special_category,1390,105,7.55,0,0,105,7.6,1285,92.4,True
,Legal Residence is Unknown,special_category,28,9,32.14,0,0,9,32.1,19,67.9,True
,U.S. Territories and Possessions,special_category,22,10,45.45,0,0,10,45.5,12,54.5,True
Central,Illinois,state_or_territory,2163,990,45.77,522,24.1,468,21.6,1173,54.2,True
Central,Indiana,state_or_territory,730,393,53.84,317,43.4,76,10.4,337,46.2,True
Central,Iowa,state_or_territory,327,144,44.04,98,30,46,14.1,183,56,True
Central,Kansas,state_or_territory,459,224,48.8,172,37.5,52,11.3,235,51.2,True
Central,Michigan,state_or_territory,1918,830,43.27,612,31.9,218,11.4,1088,56.7,True
Central,Minnesota,state_or_territory,954,418,43.82,233,24.4,185,19.4,536,56.2,True
Central,Missouri,state_or_territory,757,370,48.88,259,34.2,111,14.7,387,51.1,True
Central,Nebraska,state_or_territory,323,163,50.46,130,40.2,33,10.2,160,49.5,True
Central,North Dakota,state_or_territory,113,56,49.56,48,42.5,8,7.1,57,50.4,True
Central,Ohio,state_or_territory,1643,826,50.27,628,38.2,198,12.1,817,49.7,True
Central,South Dakota,state_or_territory,135,67,49.63,56,41.5,11,8.1,68,50.4,True
Central,Wisconsin,state_or_territory,797,388,48.68,269,33.8,119,14.9,409,51.3,True
Northeast,Connecticut,state_or_territory,585,264,45.13,89,15.2,175,29.9,321,54.9,True
Northeast,Delaware,state_or_territory,124,57,45.97,0,0,57,46,67,54,True
Northeast,District of Columbia,state_or_territory,118,51,43.22,14,11.9,37,31.4,67,56.8,True
Northeast,Maine,state_or_territory,85,40,47.06,0,0,40,47.1,45,52.9,True
Northeast,Maryland,state_or_territory,1359,594,43.71,146,10.7,448,33,765,56.3,True
Northeast,Massachusetts,state_or_territory,1465,744,50.78,266,18.2,478,32.6,721,49.2,True
Northeast,New Hampshire,state_or_territory,129,61,47.29,4,3.1,57,44.2,68,52.7,True
Northeast,New Jersey,state_or_territory,2009,936,46.59,446,22.2,490,24.4,1073,53.4,True
Northeast,New York,state_or_territory,3595,1680,46.73,1120,31.2,560,15.6,1915,53.3,True
Northeast,Pennsylvania,state_or_territory,1626,773,47.54,448,27.6,325,20,853,52.5,True
Northeast,Rhode Island,state_or_territory,107,52,48.6,15,14,37,34.6,55,51.4,True
Northeast,Vermont,state_or_territory,76,44,57.89,32,42.1,12,15.8,32,42.1,True
South,Alabama,state_or_territory,617,276,44.73,235,38.1,41,6.6,341,55.3,True
South,Arkansas,state_or_territory,339,179,52.8,160,47.2,19,5.6,160,47.2,True
South,Florida,state_or_territory,3712,1283,34.56,674,18.2,609,16.4,2429,65.4,True
South,Georgia,state_or_territory,1838,852,46.35,572,31.1,280,15.2,986,53.6,True
South,Kentucky,state_or_territory,619,332,53.63,283,45.7,49,7.9,287,46.4,True
South,Louisiana,state_or_territory,759,367,48.35,322,42.4,45,5.9,392,51.6,True
South,Mississippi,state_or_territory,355,199,56.06,170,47.9,29,8.2,156,43.9,True
South,North Carolina,state_or_territory,1409,621,44.07,350,24.8,271,19.2,788,55.9,True
South,Oklahoma,state_or_territory,368,129,35.05,111,30.2,18,4.9,239,64.9,True
South,Puerto Rico,state_or_territory,643,338,52.57,327,50.9,11,1.7,305,47.4,True
South,South Carolina,state_or_territory,663,350,52.79,311,46.9,39,5.9,313,47.2,True
South,Tennessee,state_or_territory,847,373,44.04,250,29.5,123,14.5,474,56,True
South,Texas,state_or_territory,5446,2102,38.6,1700,31.2,402,7.4,3344,61.4,True
South,Virginia,state_or_territory,1574,663,42.12,285,18.1,378,24,911,57.9,True
South,West Virginia,state_or_territory,184,108,58.7,102,55.4,6,3.3,76,41.3,True
West,Alaska,state_or_territory,77,45,58.44,0,0,45,58.4,32,41.6,True
West,Arizona,state_or_territory,957,344,35.95,171,17.9,173,18.1,613,64.1,True
West,California,state_or_territory,7216,2933,40.65,1184,16.4,1749,24.2,4283,59.4,True
West,Colorado,state_or_territory,709,262,36.95,87,12.3,175,24.7,447,63,True
West,Hawaii,state_or_territory,230,91,39.57,61,26.5,30,13,139,60.4,True
West,Idaho,state_or_territory,165,79,47.88,0,0,79,47.9,86,52.1,True
West,Montana,state_or_territory,137,60,43.8,0,0,60,43.8,77,56.2,True
West,Nevada,state_or_territory,346,147,42.49,108,31.2,39,11.3,199,57.5,True
West,New Mexico,state_or_territory,214,104,48.6,81,37.9,23,10.7,110,51.4,True
West,Oregon,state_or_territory,506,207,40.91,114,22.5,93,18.4,299,59.1,True
West,Utah,state_or_territory,637,230,36.11,91,14.3,139,21.8,407,63.9,True
West,Washington,state_or_territory,1051,447,42.53,224,21.3,223,21.2,604,57.5,True
West,Wyoming,state_or_territory,44,30,68.18,0,0,30,68.2,14,31.8,True
