region,entity_name,entity_type,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026,percent_change_2024_2025_to_2025_2026,source_table
Northeast,Connecticut,state_or_territory,592,589,533,615,574,710,540,542,527,585,11.0,A-3
Northeast,Delaware,state_or_territory,109,108,100,101,115,123,117,105,110,124,12.7,A-3
Northeast,District of Columbia,state_or_territory,86,116,105,103,118,122,96,96,102,118,15.7,A-3
Northeast,Maine,state_or_territory,129,115,119,99,103,101,107,75,81,85,4.9,A-3
Northeast,Maryland,state_or_territory,1176,1157,1160,1173,1169,1449,1231,1270,1223,1359,11.1,A-3
Northeast,Massachusetts,state_or_territory,1411,1250,1269,1298,1311,1550,1479,1380,1373,1465,6.7,A-3
Northeast,New Hampshire,state_or_territory,131,120,118,117,119,162,135,109,100,129,29.0,A-3
Northeast,New Jersey,state_or_territory,1806,1846,1957,1934,1892,2228,2021,1911,1885,2009,6.6,A-3
Northeast,New York,state_or_territory,3621,3371,3471,3530,3459,4142,3662,3521,3521,3595,2.1,A-3
Northeast,Pennsylvania,state_or_territory,1744,1665,1646,1642,1643,1912,1672,1566,1554,1626,4.6,A-3
Northeast,Rhode Island,state_or_territory,107,102,93,117,91,136,125,102,110,107,-2.7,A-3
Northeast,Vermont,state_or_territory,96,102,104,104,82,93,101,85,84,76,-9.5,A-3
Northeast,Total for the Region,region_total,11008,10541,10675,10833,10676,12728,11286,10762,10670,11278,5.7,A-3
Central,Illinois,state_or_territory,2285,2224,2261,2241,2132,2476,2197,2030,2041,2163,6.0,A-3
Central,Indiana,state_or_territory,775,772,826,765,743,938,868,792,697,730,4.7,A-3
Central,Iowa,state_or_territory,413,363,386,368,352,368,334,328,327,327,0.0,A-3
Central,Kansas,state_or_territory,571,560,577,524,545,595,497,465,468,459,-1.9,A-3
Central,Michigan,state_or_territory,1912,1888,2066,1974,2003,2280,2037,1888,1867,1918,2.7,A-3
Central,Minnesota,state_or_territory,969,971,1006,997,1002,1198,1015,975,879,954,8.5,A-3
Central,Missouri,state_or_territory,751,729,724,771,733,921,825,740,713,757,6.2,A-3
Central,Nebraska,state_or_territory,321,310,303,309,324,321,268,270,288,323,12.2,A-3
Central,North Dakota,state_or_territory,122,118,157,155,117,123,100,116,102,113,10.8,A-3
Central,Ohio,state_or_territory,1758,1720,1630,1794,1676,1891,1721,1581,1627,1643,1.0,A-3
Central,South Dakota,state_or_territory,151,162,163,164,152,154,148,135,138,135,-2.2,A-3
Central,Wisconsin,state_or_territory,838,861,813,827,836,924,831,787,782,797,1.9,A-3
Central,Total for the Region,region_total,10866,10678,10912,10889,10615,12189,10841,10107,9929,10319,3.9,A-3
South,Alabama,state_or_territory,576,569,619,579,602,701,647,634,583,617,5.8,A-3
South,Arkansas,state_or_territory,407,355,352,374,374,399,367,337,311,339,9.0,A-3
