region,entity_name,entity_type,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026,percent_change_2024_2025_to_2025_2026,source_table
Northeast,Connecticut,state_or_territory,281,293,245,282,297,291,251,250,255,264,3.5,A-4
Northeast,Delaware,state_or_territory,49,49,44,38,56,48,52,44,46,57,23.9,A-4
Northeast,District of Columbia,state_or_territory,41,51,54,47,65,50,43,51,47,51,8.5,A-4
Northeast,Maine,state_or_territory,53,40,46,41,46,35,43,34,31,40,29.0,A-4
Northeast,Maryland,state_or_territory,510,546,531,528,540,577,539,581,592,594,0.3,A-4
Northeast,Massachusetts,state_or_territory,659,646,612,624,648,658,728,683,729,744,2.1,A-4
Northeast,New Hampshire,state_or_territory,52,53,45,55,48,52,51,54,50,61,22.0,A-4
Northeast,New Jersey,state_or_territory,785,822,864,873,916,931,920,936,942,936,-0.6,A-4
Northeast,New York,state_or_territory,1603,1641,1608,1674,1618,1646,1706,1680,1654,1680,1.6,A-4
Northeast,Pennsylvania,state_or_territory,751,757,789,767,805,805,751,745,736,773,5.0,A-4
Northeast,Rhode Island,state_or_territory,52,54,47,58,52,63,78,53,59,52,-11.9,A-4
Northeast,Vermont,state_or_territory,59,55,57,56,51,43,57,55,52,44,-15.4,A-4
Northeast,Total for the Region,region_total,4895,5007,4942,5043,5142,5199,5219,5166,5193,5296,2.0,A-4
Central,Illinois,state_or_territory,949,912,977,934,954,895,921,936,960,990,3.1,A-4
Central,Indiana,state_or_territory,358,372,388,379,366,410,392,360,411,393,-4.4,A-4
Central,Iowa,state_or_territory,141,151,141,128,141,136,151,148,145,144,-0.7,A-4
Central,Kansas,state_or_territory,234,235,245,222,236,231,211,215,231,224,-3.0,A-4
Central,Michigan,state_or_territory,808,792,794,811,842,817,836,842,835,830,-0.6,A-4
Central,Minnesota,state_or_territory,405,410,385,418,412,403,408,412,385,418,8.6,A-4
Central,Missouri,state_or_territory,312,302,310,332,326,356,387,374,346,370,6.9,A-4
Central,Nebraska,state_or_territory,141,149,138,145,152,142,125,136,147,163,10.9,A-4
Central,North Dakota,state_or_territory,58,47,53,53,55,46,36,48,50,56,12.0,A-4
Central,Ohio,state_or_territory,767,796,737,825,735,825,822,781,855,826,-3.4,A-4
Central,South Dakota,state_or_territory,69,68,67,80,75,66,69,64,70,67,-4.3,A-4
Central,Wisconsin,state_or_territory,353,383,372,373,375,384,381,359,391,388,-0.8,A-4
Central,Total for the Region,region_total,4595,4617,4607,4700,4669,4711,4739,4675,4826,4869,0.9,A-4
South,Alabama,state_or_territory,271,262,280,265,267,280,269,300,274,276,0.7,A-4
South,Arkansas,state_or_territory,174,169,172,178,199,184,188,193,172,179,4.1,A-4
South,Florida,state_or_territory,1075,1131,1237,1189,1189,1244,1190,1296,1321,1283,-2.9,A-4
South,Georgia,state_or_territory,669,647,644,654,672,744,790,808,831,852,2.5,A-4
South,Kentucky,state_or_territory,233,282,298,360,331,327,341,323,325,332,2.2,A-4
South,Louisiana,state_or_territory,359,362,386,391,402,382,393,409,385,367,-4.7,A-4
South,Mississippi,state_or_territory,168,172,194,185,189,193,185,185,190,199,4.7,A-4
South,North Carolina,state_or_territory,468,497,538,537,533,541,549,611,613,621,1.3,A-4
South,Oklahoma,state_or_territory,180,174,180,187,194,193,181,185,169,129,-23.7,A-4
South,Puerto Rico,state_or_territory,294,283,297,304,349,345,353,334,337,338,0.3,A-4
South,South Carolina,state_or_territory,319,328,329,326,318,349,315,347,347,350,0.9,A-4
South,Tennessee,state_or_territory,343,357,360,355,347,369,366,331,381,373,-2.1,A-4
South,Texas,state_or_territory,1697,1726,1713,1721,1852,1931,1977,1993,2010,2102,4.6,A-4
South,Virginia,state_or_territory,524,554,587,541,563,591,630,597,645,663,2.8,A-4
South,West Virginia,state_or_territory,135,117,153,140,147,139,121,135,109,108,-0.9,A-4
South,Total for the Region,region_total,6909,7061,7368,7333,7552,7812,7848,8047,8109,8172,0.8,A-4
West,Alaska,state_or_territory,38,37,28,41,32,33,35,39,39,45,15.4,A-4
West,Arizona,state_or_territory,286,282,291,300,310,318,322,301,321,344,7.2,A-4
West,California,state_or_territory,2606,2441,2585,2602,2706,2742,2740,2899,2825,2933,3.8,A-4
West,Colorado,state_or_territory,284,324,286,300,274,291,273,285,277,262,-5.4,A-4
West,Hawaii,state_or_territory,92,90,82,101,106,87,94,94,91,91,0.0,A-4
West,Idaho,state_or_territory,67,65,68,75,84,82,76,75,84,79,-6.0,A-4
West,Montana,state_or_territory,55,52,56,57,61,56,62,55,49,60,22.4,A-4
West,Nevada,state_or_territory,72,141,149,140,148,149,155,150,136,147,8.1,A-4
West,New Mexico,state_or_territory,129,126,131,126,113,117,121,115,107,104,-2.8,A-4
West,Oregon,state_or_territory,199,225,193,205,194,221,209,201,213,207,-2.8,A-4
West,Utah,state_or_territory,197,204,207,212,239,219,216,242,261,230,-11.9,A-4
West,Washington,state_or_territory,385,433,408,448,425,442,403,456,451,447,-0.9,A-4
West,Wyoming,state_or_territory,31,33,31,29,32,27,31,28,29,30,3.4,A-4
West,Total for the Region,region_total,4441,4453,4515,4636,4724,4784,4737,4940,4883,4979,2.0,A-4
,U.S. Territories and Possessions,special_category,5,9,7,6,8,7,6,3,6,10,66.7,A-4
,Legal Residence is Not in the U.S.,special_category,112,106,97,124,131,136,153,143,130,105,-19.2,A-4
,Legal Residence is Unknown,special_category,73,85,86,27,13,17,8,6,9,9,0.0,A-4
,Total Matriculants,overall_total,21030,21338,21622,21869,22239,22666,22710,22980,23156,23440,1.2,A-4
