application_stage,gender,measure,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,percent_change_latest_year,source_table
Applicants,Men,number,19815,21580,21870,22013,22533,23135,24338,25760,26455,27927,5.6,A-7.1
Applicants,Men,percent,50.7,51,51.8,52.1,52.7,52.7,53.8,53.7,53.5,53.1,-0.2,A-7.1
Applicants,Women,number,19293,20735,20360,20252,20207,20780,20922,22250,23019,24608,6.9,A-7.1
Applicants,Women,percent,49.3,49,48.2,47.9,47.3,47.3,46.2,46.3,46.5,46.8,0.2,A-7.1
Applicants,Total,number,39108,42315,42231,42268,42741,43919,45266,48014,49480,52549,6.2,A-7.1
First-Time Applicants,Men,number,14624,15925,15662,15815,16352,16671,17776,18643,19031,19687,3.4,A-7.1
First-Time Applicants,Men,percent,49.6,49.9,50.6,51,51.5,51.2,52.7,52.3,52,51.3,-0.3,A-7.1
First-Time Applicants,Women,number,14867,15966,15284,15183,15413,15913,15929,17022,17588,18696,6.3,A-7.1
First-Time Applicants,Women,percent,50.4,50.1,49.4,49,48.5,48.8,47.3,47.7,48,48.7,0.3,A-7.1
First-Time Applicants,Total,number,29491,31891,30947,31001,31766,32587,33711,35668,36625,38394,4.8,A-7.1
Acceptees,Men,number,9475,9751,9954,10067,10404,10681,10964,11093,11161,11271,1,A-7.1
Acceptees,Men,percent,51.4,51.7,52,52.1,53,52.9,53.5,52.6,52.3,52.1,-0.3,A-7.1
Acceptees,Women,number,8943,9107,9181,9264,9237,9495,9514,9977,10194,10372,1.7,A-7.1
Acceptees,Women,percent,48.6,48.3,48,47.9,47,47.1,46.5,47.4,47.7,47.9,0.3,A-7.1
Acceptees,Total,number,18418,18858,19135,19331,19641,20176,20479,21070,21355,21647,1.4,A-7.1
Matriculants,Men,number,8923,9177,9422,9573,9909,10193,10453,10588,10625,10766,1.3,A-7.1
Matriculants,Men,percent,51.4,51.7,52.2,52.1,53.1,53,53.6,52.8,52.2,52.2,-0.6,A-7.1
Matriculants,Women,number,8438,8582,8614,8817,8756,9037,9064,9467,9718,9861,1.5,A-7.1
Matriculants,Women,percent,48.6,48.3,47.8,47.9,46.9,47,46.4,47.2,47.8,47.8,0.6,A-7.1
Matriculants,Total,number,17361,17759,18036,18390,18665,19230,19517,20055,20343,20631,1.4,A-7.1
