indicator_group,indicator_name,indicator_short_name,indicator_structure,application_stage,academic_year,count,percent_of_total,total_people,source_table
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Applicants,2018-2019,12839,24.3,52777,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Applicants,2018-2019,31617,59.9,52777,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Applicants,2018-2019,8321,15.8,52777,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Applicants,2019-2020,12526,23.5,53368,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Applicants,2019-2020,32444,60.8,53368,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Applicants,2019-2020,8398,15.7,53368,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Applicants,2020-2021,12457,23.5,53030,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Applicants,2020-2021,32267,60.8,53030,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Applicants,2020-2021,8306,15.7,53030,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Applicants,2021-2022,15304,24.5,62443,A-24
Socioeconomic Status Distribution,EO3/4/5: Bachelor's or higher parental education with executive/managerial/professional occupation,EO3/4/5,mutually_exclusive_distribution,Applicants,2021-2022,36874,59.1,62443,A-24
Socioeconomic Status Distribution,Not Applicable or Unknown SES,Not Applicable/Unknown,mutually_exclusive_distribution,Applicants,2021-2022,10265,16.4,62443,A-24
Socioeconomic Status Distribution,EO1/2: Lower parental education or service/clerical/skilled/unskilled occupation,EO1/2,mutually_exclusive_distribution,Applicants,2022-2023,13379,24.2,55189,A-24
