application_stage,academic_year,indicator_name,indicator_count,indicator_percent_of_total,total_people,source_table
Applicants,2020-2021,First Generation College Student,7421,14,53030,A-26
Applicants,2021-2022,First Generation College Student,9616,15.4,62443,A-26
Applicants,2022-2023,First Generation College Student,7712,14,55189,A-26
Applicants,2023-2024,First Generation College Student,7260,13.8,52577,A-26
Applicants,2024-2025,First Generation College Student,7146,13.8,51946,A-26
Applicants,2025-2026,First Generation College Student,7530,13.8,54699,A-26
Acceptees,2020-2021,First Generation College Student,2647,11.5,23105,A-26
Acceptees,2021-2022,First Generation College Student,2928,12.3,23711,A-26
Acceptees,2022-2023,First Generation College Student,2667,11.2,23810,A-26
Acceptees,2023-2024,First Generation College Student,2720,11.3,24014,A-26
Acceptees,2024-2025,First Generation College Student,2669,11,24172,A-26
Acceptees,2025-2026,First Generation College Student,2615,10.8,24300,A-26
Matriculants,2020-2021,First Generation College Student,2545,11.4,22239,A-26
Matriculants,2021-2022,First Generation College Student,2804,12.4,22666,A-26
Matriculants,2022-2023,First Generation College Student,2543,11.2,22710,A-26
Matriculants,2023-2024,First Generation College Student,2606,11.3,22980,A-26
Matriculants,2024-2025,First Generation College Student,2545,11,23156,A-26
Matriculants,2025-2026,First Generation College Student,2498,10.7,23440,A-26
