application_stage,race_ethnicity_category,response_type,row_type,academic_year,count,percent,source_table
Applicants,American Indian or Alaska Native,Alone,race_ethnicity,2021-2022,107,15.4,A-14.1
Applicants,American Indian or Alaska Native,Alone,race_ethnicity,2022-2023,94,16.6,A-14.1
Applicants,American Indian or Alaska Native,Alone,race_ethnicity,2023-2024,91,15.5,A-14.1
Applicants,American Indian or Alaska Native,Alone,race_ethnicity,2024-2025,72,14.5,A-14.1
Applicants,American Indian or Alaska Native,Alone,race_ethnicity,2025-2026,81,12.1,A-14.1
Applicants,American Indian or Alaska Native,In Combination,race_ethnicity,2021-2022,588,84.6,A-14.1
Applicants,American Indian or Alaska Native,In Combination,race_ethnicity,2022-2023,473,83.4,A-14.1
Applicants,American Indian or Alaska Native,In Combination,race_ethnicity,2023-2024,495,84.5,A-14.1
Applicants,American Indian or Alaska Native,In Combination,race_ethnicity,2024-2025,425,85.5,A-14.1
Applicants,American Indian or Alaska Native,In Combination,race_ethnicity,2025-2026,586,87.9,A-14.1
Applicants,American Indian or Alaska Native,Alone or In Combination,race_ethnicity,2021-2022,695,1.1,A-14.1
Applicants,American Indian or Alaska Native,Alone or In Combination,race_ethnicity,2022-2023,567,1,A-14.1
Applicants,American Indian or Alaska Native,Alone or In Combination,race_ethnicity,2023-2024,586,1.1,A-14.1
Applicants,American Indian or Alaska Native,Alone or In Combination,race_ethnicity,2024-2025,497,1,A-14.1
Applicants,American Indian or Alaska Native,Alone or In Combination,race_ethnicity,2025-2026,667,1.2,A-14.1
Applicants,Asian,Alone,race_ethnicity,2021-2022,14393,86.8,A-14.1
Applicants,Asian,Alone,race_ethnicity,2022-2023,13604,86.9,A-14.1
Applicants,Asian,Alone,race_ethnicity,2023-2024,13427,87,A-14.1
Applicants,Asian,Alone,race_ethnicity,2024-2025,13928,87,A-14.1
Applicants,Asian,Alone,race_ethnicity,2025-2026,14585,86.6,A-14.1
Applicants,Asian,In Combination,race_ethnicity,2021-2022,2198,13.2,A-14.1
Applicants,Asian,In Combination,race_ethnicity,2022-2023,2057,13.1,A-14.1
Applicants,Asian,In Combination,race_ethnicity,2023-2024,2010,13,A-14.1
Applicants,Asian,In Combination,race_ethnicity,2024-2025,2090,13,A-14.1
Applicants,Asian,In Combination,race_ethnicity,2025-2026,2252,13.4,A-14.1
Applicants,Asian,Alone or In Combination,race_ethnicity,2021-2022,16591,26.6,A-14.1
Applicants,Asian,Alone or In Combination,race_ethnicity,2022-2023,15661,28.4,A-14.1
Applicants,Asian,Alone or In Combination,race_ethnicity,2023-2024,15437,29.4,A-14.1
Applicants,Asian,Alone or In Combination,race_ethnicity,2024-2025,16018,30.8,A-14.1
Applicants,Asian,Alone or In Combination,race_ethnicity,2025-2026,16837,30.8,A-14.1
Applicants,Black or African American,Alone,race_ethnicity,2021-2022,6527,84.7,A-14.1
Applicants,Black or African American,Alone,race_ethnicity,2022-2023,5215,83.6,A-14.1
Applicants,Black or African American,Alone,race_ethnicity,2023-2024,4936,82.9,A-14.1
Applicants,Black or African American,Alone,race_ethnicity,2024-2025,4970,82.1,A-14.1
Applicants,Black or African American,Alone,race_ethnicity,2025-2026,5022,81.4,A-14.1
Applicants,Black or African American,In Combination,race_ethnicity,2021-2022,1181,15.3,A-14.1
Applicants,Black or African American,In Combination,race_ethnicity,2022-2023,1024,16.4,A-14.1
Applicants,Black or African American,In Combination,race_ethnicity,2023-2024,1021,17.1,A-14.1
Applicants,Black or African American,In Combination,race_ethnicity,2024-2025,1087,17.9,A-14.1
Applicants,Black or African American,In Combination,race_ethnicity,2025-2026,1145,18.6,A-14.1
Applicants,Black or African American,Alone or In Combination,race_ethnicity,2021-2022,7708,12.3,A-14.1
Applicants,Black or African American,Alone or In Combination,race_ethnicity,2022-2023,6239,11.3,A-14.1
Applicants,Black or African American,Alone or In Combination,race_ethnicity,2023-2024,5957,11.3,A-14.1
Applicants,Black or African American,Alone or In Combination,race_ethnicity,2024-2025,6057,11.7,A-14.1
Applicants,Black or African American,Alone or In Combination,race_ethnicity,2025-2026,6167,11.3,A-14.1
Applicants,Hispanic or Latino,Alone,race_ethnicity,2021-2022,4205,56.1,A-14.1
Applicants,Hispanic or Latino,Alone,race_ethnicity,2022-2023,3382,52.7,A-14.1
Applicants,Hispanic or Latino,Alone,race_ethnicity,2023-2024,3303,52.7,A-14.1
Applicants,Hispanic or Latino,Alone,race_ethnicity,2024-2025,3356,52.5,A-14.1
Applicants,Hispanic or Latino,Alone,race_ethnicity,2025-2026,3752,54.2,A-14.1
Applicants,Hispanic or Latino,In Combination,race_ethnicity,2021-2022,3284,43.9,A-14.1
Applicants,Hispanic or Latino,In Combination,race_ethnicity,2022-2023,3038,47.3,A-14.1
Applicants,Hispanic or Latino,In Combination,race_ethnicity,2023-2024,2959,47.3,A-14.1
Applicants,Hispanic or Latino,In Combination,race_ethnicity,2024-2025,3034,47.5,A-14.1
Applicants,Hispanic or Latino,In Combination,race_ethnicity,2025-2026,3169,45.8,A-14.1
Applicants,Hispanic or Latino,Alone or In Combination,race_ethnicity,2021-2022,7489,12,A-14.1
Applicants,Hispanic or Latino,Alone or In Combination,race_ethnicity,2022-2023,6420,11.6,A-14.1
