gender_group,race_ethnicity_category,race_ethnicity_subcategory,row_level,application_stage,count,academic_year,source_table
Men,American Indian or Alaska Native,,main_category,Applicants,37,2025-2026,A-12
Men,American Indian or Alaska Native,,main_category,First-Time Applicants,28,2025-2026,A-12
Men,American Indian or Alaska Native,,main_category,Acceptees,17,2025-2026,A-12
Men,American Indian or Alaska Native,,main_category,Matriculants,15,2025-2026,A-12
Men,Asian,,main_category,Applicants,6097,2025-2026,A-12
Men,Asian,,main_category,First-Time Applicants,4740,2025-2026,A-12
Men,Asian,,main_category,Acceptees,2889,2025-2026,A-12
Men,Asian,,main_category,Matriculants,2802,2025-2026,A-12
Men,Asian,Bangladeshi,subcategory,Applicants,138,2025-2026,A-12
Men,Asian,Bangladeshi,subcategory,First-Time Applicants,109,2025-2026,A-12
Men,Asian,Bangladeshi,subcategory,Acceptees,59,2025-2026,A-12
Men,Asian,Bangladeshi,subcategory,Matriculants,56,2025-2026,A-12
Men,Asian,Cambodian,subcategory,Applicants,23,2025-2026,A-12
Men,Asian,Cambodian,subcategory,First-Time Applicants,13,2025-2026,A-12
Men,Asian,Cambodian,subcategory,Acceptees,6,2025-2026,A-12
Men,Asian,Cambodian,subcategory,Matriculants,6,2025-2026,A-12
Men,Asian,Chinese,subcategory,Applicants,820,2025-2026,A-12
Men,Asian,Chinese,subcategory,First-Time Applicants,627,2025-2026,A-12
Men,Asian,Chinese,subcategory,Acceptees,407,2025-2026,A-12
Men,Asian,Chinese,subcategory,Matriculants,395,2025-2026,A-12
Men,Asian,Filipino,subcategory,Applicants,244,2025-2026,A-12
Men,Asian,Filipino,subcategory,First-Time Applicants,187,2025-2026,A-12
Men,Asian,Filipino,subcategory,Acceptees,75,2025-2026,A-12
Men,Asian,Filipino,subcategory,Matriculants,75,2025-2026,A-12
Men,Asian,Indian,subcategory,Applicants,2181,2025-2026,A-12
Men,Asian,Indian,subcategory,First-Time Applicants,1775,2025-2026,A-12
Men,Asian,Indian,subcategory,Acceptees,1130,2025-2026,A-12
Men,Asian,Indian,subcategory,Matriculants,1096,2025-2026,A-12
Men,Asian,Indonesian,subcategory,Applicants,16,2025-2026,A-12
Men,Asian,Indonesian,subcategory,First-Time Applicants,12,2025-2026,A-12
Men,Asian,Indonesian,subcategory,Acceptees,5,2025-2026,A-12
Men,Asian,Indonesian,subcategory,Matriculants,5,2025-2026,A-12
Men,Asian,Japanese,subcategory,Applicants,36,2025-2026,A-12
Men,Asian,Japanese,subcategory,First-Time Applicants,27,2025-2026,A-12
Men,Asian,Japanese,subcategory,Acceptees,13,2025-2026,A-12
Men,Asian,Japanese,subcategory,Matriculants,13,2025-2026,A-12
Men,Asian,Korean,subcategory,Applicants,526,2025-2026,A-12
Men,Asian,Korean,subcategory,First-Time Applicants,394,2025-2026,A-12
Men,Asian,Korean,subcategory,Acceptees,280,2025-2026,A-12
Men,Asian,Korean,subcategory,Matriculants,268,2025-2026,A-12
Men,Asian,Laotian,subcategory,Applicants,3,2025-2026,A-12
Men,Asian,Laotian,subcategory,First-Time Applicants,2,2025-2026,A-12
Men,Asian,Laotian,subcategory,Acceptees,2,2025-2026,A-12
Men,Asian,Laotian,subcategory,Matriculants,2,2025-2026,A-12
Men,Asian,Pakistani,subcategory,Applicants,499,2025-2026,A-12
Men,Asian,Pakistani,subcategory,First-Time Applicants,371,2025-2026,A-12
Men,Asian,Pakistani,subcategory,Acceptees,186,2025-2026,A-12
Men,Asian,Pakistani,subcategory,Matriculants,182,2025-2026,A-12
Men,Asian,Taiwanese,subcategory,Applicants,137,2025-2026,A-12
Men,Asian,Taiwanese,subcategory,First-Time Applicants,110,2025-2026,A-12
