region,entity_name,entity_type,race_or_total_category,category_type,applicant_count,matriculant_count,applicant_to_matriculant_ratio_percent,academic_year
,United States Total,overall_total,American Indian or Alaska Native,race_ethnicity,81,33,40.74,2025-2026
,United States Total,overall_total,Asian,race_ethnicity,14585,6484,44.46,2025-2026
,United States Total,overall_total,Black or African American,race_ethnicity,5022,1558,31.02,2025-2026
,United States Total,overall_total,Hispanic or Latino,race_ethnicity,3752,1459,38.89,2025-2026
,United States Total,overall_total,Middle Eastern or North African,race_ethnicity,2539,976,38.44,2025-2026
,United States Total,overall_total,Native Hawaiian or Pacific Islander,race_ethnicity,51,13,25.49,2025-2026
,United States Total,overall_total,White,race_ethnicity,18597,8773,47.17,2025-2026
,United States Total,overall_total,Some Other Race or Ethnicity,race_ethnicity,253,80,31.62,2025-2026
,United States Total,overall_total,Multiple Race or Ethnicity,race_ethnicity,6847,2837,41.43,2025-2026
,United States Total,overall_total,Unknown Race or Ethnicity,race_ethnicity,2972,1227,41.29,2025-2026
,United States Total,overall_total,Total U.S. Citizen and Permanent Resident,citizenship_total,52679,23212,44.06,2025-2026
,United States Total,overall_total,Total Non-U.S. Citizen and Non-Permanent Resident,citizenship_total,2020,228,11.29,2025-2026
,United States Total,overall_total,Total People,overall_total,54699,23440,42.85,2025-2026
Central,Total for the Region,region_total,American Indian or Alaska Native,race_ethnicity,9,2,22.22,2025-2026
Central,Total for the Region,region_total,Asian,race_ethnicity,2212,1123,50.77,2025-2026
Central,Total for the Region,region_total,Black or African American,race_ethnicity,729,249,34.16,2025-2026
Central,Total for the Region,region_total,Hispanic or Latino,race_ethnicity,296,94,31.76,2025-2026
Central,Total for the Region,region_total,Middle Eastern or North African,race_ethnicity,627,272,43.38,2025-2026
Central,Total for the Region,region_total,Native Hawaiian or Pacific Islander,race_ethnicity,1,0,0.0,2025-2026
Central,Total for the Region,region_total,White,race_ethnicity,4861,2395,49.27,2025-2026
Central,Total for the Region,region_total,Some Other Race or Ethnicity,race_ethnicity,26,11,42.31,2025-2026
Central,Total for the Region,region_total,Multiple Race or Ethnicity,race_ethnicity,978,435,44.48,2025-2026
Central,Total for the Region,region_total,Unknown Race or Ethnicity,race_ethnicity,580,288,49.66,2025-2026
Central,Total for the Region,region_total,Total U.S. Citizen and Permanent Resident,citizenship_total,10184,4843,47.55,2025-2026
Central,Total for the Region,region_total,Total Non-U.S. Citizen and Non-Permanent Resident,citizenship_total,135,26,19.26,2025-2026
Central,Total for the Region,region_total,Total People,overall_total,10319,4869,47.18,2025-2026
Northeast,Total for the Region,region_total,American Indian or Alaska Native,race_ethnicity,2,2,100.0,2025-2026
Northeast,Total for the Region,region_total,Asian,race_ethnicity,3214,1538,47.85,2025-2026
Northeast,Total for the Region,region_total,Black or African American,race_ethnicity,1278,420,32.86,2025-2026
Northeast,Total for the Region,region_total,Hispanic or Latino,race_ethnicity,459,204,44.44,2025-2026
Northeast,Total for the Region,region_total,Middle Eastern or North African,race_ethnicity,405,179,44.2,2025-2026
Northeast,Total for the Region,region_total,Native Hawaiian or Pacific Islander,race_ethnicity,0,0,,2025-2026
Northeast,Total for the Region,region_total,White,race_ethnicity,3815,1975,51.77,2025-2026
Northeast,Total for the Region,region_total,Some Other Race or Ethnicity,race_ethnicity,79,27,34.18,2025-2026
Northeast,Total for the Region,region_total,Multiple Race or Ethnicity,race_ethnicity,1303,629,48.27,2025-2026
Northeast,Total for the Region,region_total,Unknown Race or Ethnicity,race_ethnicity,723,322,44.54,2025-2026
Northeast,Total for the Region,region_total,Total U.S. Citizen and Permanent Resident,citizenship_total,11043,5242,47.47,2025-2026
Northeast,Total for the Region,region_total,Total Non-U.S. Citizen and Non-Permanent Resident,citizenship_total,235,54,22.98,2025-2026
Northeast,Total for the Region,region_total,Total People,overall_total,11278,5296,46.96,2025-2026
South,Total for the Region,region_total,American Indian or Alaska Native,race_ethnicity,30,14,46.67,2025-2026
South,Total for the Region,region_total,Asian,race_ethnicity,4433,2051,46.27,2025-2026
South,Total for the Region,region_total,Black or African American,race_ethnicity,2477,708,28.58,2025-2026
South,Total for the Region,region_total,Hispanic or Latino,race_ethnicity,1947,787,40.42,2025-2026
South,Total for the Region,region_total,Middle Eastern or North African,race_ethnicity,608,244,40.13,2025-2026
South,Total for the Region,region_total,Native Hawaiian or Pacific Islander,race_ethnicity,8,2,25.0,2025-2026
South,Total for the Region,region_total,White,race_ethnicity,6334,2982,47.08,2025-2026
South,Total for the Region,region_total,Some Other Race or Ethnicity,race_ethnicity,54,14,25.93,2025-2026
South,Total for the Region,region_total,Multiple Race or Ethnicity,race_ethnicity,2616,1007,38.49,2025-2026
South,Total for the Region,region_total,Unknown Race or Ethnicity,race_ethnicity,866,363,41.92,2025-2026
South,Total for the Region,region_total,Total U.S. Citizen and Permanent Resident,citizenship_total,19171,8140,42.46,2025-2026
South,Total for the Region,region_total,Total Non-U.S. Citizen and Non-Permanent Resident,citizenship_total,202,32,15.84,2025-2026
South,Total for the Region,region_total,Total People,overall_total,19373,8172,42.18,2025-2026
