region,entity_name,entity_type,academic_year,american_indian_or_alaska_native_applicants,american_indian_or_alaska_native_matriculants,american_indian_or_alaska_native_ratio_percent,asian_applicants,asian_matriculants,asian_ratio_percent,black_or_african_american_applicants,black_or_african_american_matriculants,black_or_african_american_ratio_percent,hispanic_or_latino_applicants,hispanic_or_latino_matriculants,hispanic_or_latino_ratio_percent,middle_eastern_or_north_african_applicants,middle_eastern_or_north_african_matriculants,middle_eastern_or_north_african_ratio_percent,native_hawaiian_or_pacific_islander_applicants,native_hawaiian_or_pacific_islander_matriculants,native_hawaiian_or_pacific_islander_ratio_percent,white_applicants,white_matriculants,white_ratio_percent,some_other_race_or_ethnicity_applicants,some_other_race_or_ethnicity_matriculants,some_other_race_or_ethnicity_ratio_percent,multiple_race_or_ethnicity_applicants,multiple_race_or_ethnicity_matriculants,multiple_race_or_ethnicity_ratio_percent,unknown_race_or_ethnicity_applicants,unknown_race_or_ethnicity_matriculants,unknown_race_or_ethnicity_ratio_percent,total_applicants,total_matriculants,overall_applicant_to_matriculant_ratio_percent,applicant_us_citizen_and_permanent_resident,applicant_non_us_citizen_and_non_permanent_resident,matriculant_us_citizen_and_permanent_resident,matriculant_non_us_citizen_and_non_permanent_resident
,United States Total,overall_total,2025-2026,81,33,40.74,14585,6484,44.46,5022,1558,31.02,3752,1459,38.89,2539,976,38.44,51,13,25.49,18597,8773,47.17,253,80,31.62,6847,2837,41.43,2972,1227,41.29,54699,23440,42.85,52679,2020,23212,228
Central,Total for the Region,region_total,2025-2026,9,2,22.22,2212,1123,50.77,729,249,34.16,296,94,31.76,627,272,43.38,1,0,0.0,4861,2395,49.27,26,11,42.31,978,435,44.48,580,288,49.66,10319,4869,47.18,10184,135,4843,26
Northeast,Total for the Region,region_total,2025-2026,2,2,100.0,3214,1538,47.85,1278,420,32.86,459,204,44.44,405,179,44.2,0,0,,3815,1975,51.77,79,27,34.18,1303,629,48.27,723,322,44.54,11278,5296,46.96,11043,235,5242,54
South,Total for the Region,region_total,2025-2026,30,14,46.67,4433,2051,46.27,2477,708,28.58,1947,787,40.42,608,244,40.13,8,2,25.0,6334,2982,47.08,54,14,25.93,2616,1007,38.49,866,363,41.92,19373,8172,42.18,19171,202,8140,32
West,Total for the Region,region_total,2025-2026,39,15,38.46,4077,1725,42.31,429,164,38.23,1024,369,36.04,717,267,37.24,37,9,24.32,3366,1405,41.74,81,27,33.33,1851,752,40.63,668,246,36.83,12289,4979,40.52,12135,154,4951,28
,Legal Residence is Not in the U.S.,special_category,2025-2026,1,0,0.0,637,41,6.44,100,15,15.0,25,5,20.0,179,13,7.26,2,0,0.0,213,15,7.04,13,1,7.69,87,9,10.34,133,6,4.51,1390,105,7.55,119,1271,23,82
,Legal Residence is Unknown,special_category,2025-2026,0,0,,9,5,55.56,6,1,16.67,1,0,0.0,3,1,33.33,0,0,,7,0,0.0,0,0,,1,1,100.0,1,1,100.0,28,9,32.14,5,23,3,6
,U.S. Territories and Possessions,special_category,2025-2026,0,0,,3,1,33.33,3,1,33.33,0,0,,0,0,,3,2,66.67,1,1,100.0,0,0,,11,4,36.36,1,1,100.0,22,10,45.45,22,0,10,0
Central,Illinois,state_or_district,2025-2026,1,0,0.0,616,288,46.75,177,56,31.64,126,37,29.37,124,60,48.39,0,0,,779,392,50.32,10,5,50.0,203,86,42.36,127,66,51.97,2163,990,45.77,2128,35,981,9
Central,Indiana,state_or_district,2025-2026,0,0,,132,74,56.06,56,18,32.14,19,4,21.05,22,9,40.91,0,0,,381,224,58.79,2,0,0.0,77,41,53.25,41,23,56.1,730,393,53.84,723,7,393,0
Central,Iowa,state_or_district,2025-2026,0,0,,44,22,50.0,12,2,16.67,10,4,40.0,9,5,55.56,0,0,,200,87,43.5,0,0,,36,17,47.22,16,7,43.75,327,144,44.04,326,1,144,0
Central,Kansas,state_or_district,2025-2026,0,0,,107,56,52.34,20,6,30.0,24,6,25.0,13,4,30.77,0,0,,237,130,54.85,1,0,0.0,40,15,37.5,17,7,41.18,459,224,48.8,454,5,223,1
Central,Michigan,state_or_district,2025-2026,4,2,50.0,429,196,45.69,123,54,43.9,28,10,35.71,299,119,39.8,0,0,,718,307,42.76,6,3,50.0,191,79,41.36,120,60,50.0,1918,830,43.27,1894,24,826,4
Central,Minnesota,state_or_district,2025-2026,0,0,,153,68,44.44,86,24,27.91,15,5,33.33,15,6,40.0,1,0,0.0,551,251,45.55,1,0,0.0,89,42,47.19,43,22,51.16,954,418,43.82,943,11,415,3
Central,Missouri,state_or_district,2025-2026,1,0,0.0,168,99,58.93,59,22,37.29,17,8,47.06,21,11,52.38,0,0,,388,188,48.45,0,0,,64,22,34.38,39,20,51.28,757,370,48.88,738,19,365,5
Central,Nebraska,state_or_district,2025-2026,2,0,0.0,42,23,54.76,11,4,36.36,14,6,42.86,6,1,16.67,0,0,,204,107,52.45,1,0,0.0,22,13,59.09,21,9,42.86,323,163,50.46,320,3,163,0
Central,North Dakota,state_or_district,2025-2026,0,0,,12,7,58.33,4,1,25.0,0,0,,0,0,,0,0,,73,33,45.21,0,0,,8,6,75.0,16,9,56.25,113,56,49.56,112,1,56,0
Central,Ohio,state_or_district,2025-2026,0,0,,371,213,57.41,154,54,35.06,26,9,34.62,96,44,45.83,0,0,,745,380,51.01,4,2,50.0,160,75,46.88,87,49,56.32,1643,826,50.27,1623,20,824,2
Central,South Dakota,state_or_district,2025-2026,1,0,0.0,7,6,85.71,3,0,0.0,2,0,0.0,3,1,33.33,0,0,,105,55,52.38,0,0,,9,4,44.44,5,1,20.0,135,67,49.63,135,0,67,0
