region,entity_name,entity_type,application_stage,american_indian_or_alaska_native,asian,black_or_african_american,hispanic_or_latino,middle_eastern_or_north_african,native_hawaiian_or_pacific_islander,white,some_other_race_or_ethnicity,multiple_race_or_ethnicity,unknown_race_or_ethnicity,total_us_citizen_and_permanent_resident,total_non_us_citizen_and_non_permanent_resident,total_people,source_table
Northeast,Connecticut,state_or_district,Matriculants,0,66,14,9,7,0,116,1,37,14,262,2,264,A-11
Northeast,Delaware,state_or_district,Matriculants,0,20,9,1,2,0,18,0,5,2,57,0,57,A-11
Northeast,District of Columbia,state_or_district,Matriculants,0,4,10,0,2,0,27,0,7,1,51,0,51,A-11
Northeast,Maine,state_or_district,Matriculants,0,1,0,0,1,0,30,1,6,1,40,0,40,A-11
Northeast,Maryland,state_or_district,Matriculants,0,172,106,16,21,0,168,1,67,43,579,15,594,A-11
Northeast,Massachusetts,state_or_district,Matriculants,0,208,37,21,19,0,327,3,95,34,732,12,744,A-11
Northeast,New Hampshire,state_or_district,Matriculants,0,18,0,1,0,0,33,0,5,4,60,1,61,A-11
Northeast,New Jersey,state_or_district,Matriculants,0,380,54,40,44,0,236,2,109,71,930,6,936,A-11
Northeast,New York,state_or_district,Matriculants,2,456,144,97,61,0,607,17,196,100,1672,8,1680,A-11
Northeast,Pennsylvania,state_or_district,Matriculants,0,199,42,17,21,0,361,2,83,48,764,9,773,A-11
Northeast,Rhode Island,state_or_district,Matriculants,0,12,2,2,1,0,22,0,10,3,51,1,52,A-11
Northeast,Vermont,state_or_district,Matriculants,0,2,2,0,0,0,30,0,9,1,44,0,44,A-11
Northeast,Total for the Region,region_total,Matriculants,2,1538,420,204,179,0,1975,27,629,322,5242,54,5296,A-11
Central,Illinois,state_or_district,Matriculants,0,288,56,37,60,0,392,5,86,66,981,9,990,A-11
Central,Indiana,state_or_district,Matriculants,0,74,18,4,9,0,224,0,41,23,393,0,393,A-11
Central,Iowa,state_or_district,Matriculants,0,22,2,4,5,0,87,0,17,7,144,0,144,A-11
Central,Kansas,state_or_district,Matriculants,0,56,6,6,4,0,130,0,15,7,223,1,224,A-11
Central,Michigan,state_or_district,Matriculants,2,196,54,10,119,0,307,3,79,60,826,4,830,A-11
Central,Minnesota,state_or_district,Matriculants,0,68,24,5,6,0,251,0,42,22,415,3,418,A-11
Central,Missouri,state_or_district,Matriculants,0,99,22,8,11,0,188,0,22,20,365,5,370,A-11
Central,Nebraska,state_or_district,Matriculants,0,23,4,6,1,0,107,0,13,9,163,0,163,A-11
Central,North Dakota,state_or_district,Matriculants,0,7,1,0,0,0,33,0,6,9,56,0,56,A-11
Central,Ohio,state_or_district,Matriculants,0,213,54,9,44,0,380,2,75,49,824,2,826,A-11
Central,South Dakota,state_or_district,Matriculants,0,6,0,0,1,0,55,0,4,1,67,0,67,A-11
Central,Wisconsin,state_or_district,Matriculants,0,71,8,5,12,0,241,1,35,15,386,2,388,A-11
Central,Total for the Region,region_total,Matriculants,2,1123,249,94,272,0,2395,11,435,288,4843,26,4869,A-11
South,Alabama,state_or_district,Matriculants,1,54,28,11,6,0,141,0,17,18,275,1,276,A-11
South,Arkansas,state_or_district,Matriculants,0,28,2,7,5,0,106,0,21,10,179,0,179,A-11
South,Florida,state_or_district,Matriculants,1,239,122,259,41,0,340,3,233,45,1280,3,1283,A-11
South,Georgia,state_or_district,Matriculants,1,241,156,21,21,0,286,2,72,52,844,8,852,A-11
South,Kentucky,state_or_district,Matriculants,0,65,10,5,14,0,190,0,31,17,331,1,332,A-11
South,Louisiana,state_or_district,Matriculants,2,49,37,5,8,0,202,0,51,13,365,2,367,A-11
South,Mississippi,state_or_district,Matriculants,0,17,28,1,6,0,126,0,13,8,198,1,199,A-11
South,North Carolina,state_or_district,Matriculants,0,155,61,21,15,1,280,1,54,33,617,4,621,A-11
South,Oklahoma,state_or_district,Matriculants,5,21,5,5,3,0,63,0,23,4,129,0,129,A-11
South,Puerto Rico,state_or_district,Matriculants,0,0,0,296,0,0,0,0,38,4,337,1,338,A-11
South,South Carolina,state_or_district,Matriculants,0,47,22,10,7,0,217,0,30,17,350,0,350,A-11
South,Tennessee,state_or_district,Matriculants,0,89,22,10,31,0,170,1,28,22,368,5,373,A-11
South,Texas,state_or_district,Matriculants,3,820,165,119,44,1,566,2,311,71,2098,4,2102,A-11
South,Virginia,state_or_district,Matriculants,1,219,47,16,35,0,220,5,77,43,662,1,663,A-11
South,West Virginia,state_or_district,Matriculants,0,7,3,1,8,0,75,0,8,6,107,1,108,A-11
South,Total for the Region,region_total,Matriculants,14,2051,708,787,244,2,2982,14,1007,363,8140,32,8172,A-11
West,Alaska,state_or_district,Matriculants,0,7,0,0,0,0,27,0,10,1,45,0,45,A-11
West,Arizona,state_or_district,Matriculants,2,87,9,35,29,1,116,1,55,9,342,2,344,A-11
West,California,state_or_district,Matriculants,3,1265,106,248,208,2,491,16,433,161,2914,19,2933,A-11
West,Colorado,state_or_district,Matriculants,1,45,6,8,5,0,140,0,41,16,261,1,262,A-11
West,Hawaii,state_or_district,Matriculants,1,46,0,1,0,1,6,1,29,6,91,0,91,A-11
West,Idaho,state_or_district,Matriculants,0,4,1,3,2,0,63,0,4,2,79,0,79,A-11
West,Montana,state_or_district,Matriculants,2,0,0,1,0,0,49,0,7,1,60,0,60,A-11
West,Nevada,state_or_district,Matriculants,0,53,7,13,4,0,42,2,23,3,147,0,147,A-11
West,New Mexico,state_or_district,Matriculants,1,13,2,19,4,0,28,2,29,6,102,2,104,A-11
West,Oregon,state_or_district,Matriculants,3,53,11,10,2,0,91,0,33,4,205,2,207,A-11
West,Utah,state_or_district,Matriculants,1,12,2,14,2,2,170,1,14,12,229,1,230,A-11
West,Washington,state_or_district,Matriculants,1,140,20,16,11,3,158,4,71,23,446,1,447,A-11
West,Wyoming,state_or_district,Matriculants,0,0,0,1,0,0,24,0,3,2,30,0,30,A-11
West,Total for the Region,region_total,Matriculants,15,1725,164,369,267,9,1405,27,752,246,4951,28,4979,A-11
,U.S. Territories and Possessions,special_category,Matriculants,0,1,1,0,0,2,1,0,4,1,10,0,10,A-11
,Legal Residence is Not in the U.S.,special_category,Matriculants,0,41,15,5,13,0,15,1,9,6,23,82,105,A-11
,Legal Residence is Unknown,special_category,Matriculants,0,5,1,0,1,0,0,0,1,1,3,6,9,A-11
,United States Total,overall_total,Matriculants,33,6484,1558,1459,976,13,8773,80,2837,1227,23212,228,23440,A-11
