gender_group,race_ethnicity_category,race_ethnicity_subcategory,row_level,applicants,first_time_applicants,acceptees,matriculants,academic_year,source_table
Men,American Indian or Alaska Native,,main_category,37,28,17,15,2025-2026,A-12
Men,Asian,,main_category,6097,4740,2889,2802,2025-2026,A-12
Men,Asian,Bangladeshi,subcategory,138,109,59,56,2025-2026,A-12
Men,Asian,Cambodian,subcategory,23,13,6,6,2025-2026,A-12
Men,Asian,Chinese,subcategory,820,627,407,395,2025-2026,A-12
Men,Asian,Filipino,subcategory,244,187,75,75,2025-2026,A-12
Men,Asian,Indian,subcategory,2181,1775,1130,1096,2025-2026,A-12
Men,Asian,Indonesian,subcategory,16,12,5,5,2025-2026,A-12
Men,Asian,Japanese,subcategory,36,27,13,13,2025-2026,A-12
Men,Asian,Korean,subcategory,526,394,280,268,2025-2026,A-12
Men,Asian,Laotian,subcategory,3,2,2,2,2025-2026,A-12
Men,Asian,Pakistani,subcategory,499,371,186,182,2025-2026,A-12
Men,Asian,Taiwanese,subcategory,137,110,83,80,2025-2026,A-12
Men,Asian,Vietnamese,subcategory,462,335,182,179,2025-2026,A-12
Men,Asian,Some Other Asian,subcategory,192,142,65,63,2025-2026,A-12
Men,Asian,More Than One Asian Response,subcategory,395,308,201,189,2025-2026,A-12
Men,Black or African American,,main_category,1459,1001,584,552,2025-2026,A-12
Men,Black or African American,African,subcategory,163,105,53,45,2025-2026,A-12
Men,Black or African American,African American,subcategory,465,310,181,172,2025-2026,A-12
Men,Black or African American,Afro-Caribbean,subcategory,30,20,17,15,2025-2026,A-12
Men,Black or African American,Ethiopian,subcategory,21,14,11,10,2025-2026,A-12
Men,Black or African American,Haitian,subcategory,42,26,11,11,2025-2026,A-12
Men,Black or African American,Jamaican,subcategory,31,24,13,13,2025-2026,A-12
Men,Black or African American,Nigerian,subcategory,71,58,34,32,2025-2026,A-12
Men,Black or African American,Somali,subcategory,14,12,4,4,2025-2026,A-12
Men,Black or African American,Some Other Black or African American,subcategory,27,19,10,10,2025-2026,A-12
Men,Black or African American,More Than One Black or African American Response,subcategory,405,294,186,177,2025-2026,A-12
Men,Hispanic or Latino,,main_category,1583,1207,707,673,2025-2026,A-12
Men,Hispanic or Latino,Argentinean,subcategory,10,9,5,5,2025-2026,A-12
