application_stage,measure,race_ethnicity_category,response_type,row_type,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026,source_table
Acceptees,count,American Indian or Alaska Native,Alone,race_ethnicity,47,49,41,36,35,A-14.2
Acceptees,count,American Indian or Alaska Native,In Combination,race_ethnicity,199,201,236,175,192,A-14.2
Acceptees,count,American Indian or Alaska Native,Alone or In Combination,race_ethnicity,246,250,277,211,227,A-14.2
Acceptees,count,Asian,Alone,race_ethnicity,5478,5943,6197,6732,6664,A-14.2
Acceptees,count,Asian,In Combination,race_ethnicity,895,980,906,978,1050,A-14.2
Acceptees,count,Asian,Alone or In Combination,race_ethnicity,6373,6923,7103,7710,7714,A-14.2
Acceptees,count,Black or African American,Alone,race_ethnicity,2303,2022,2003,1774,1643,A-14.2
Acceptees,count,Black or African American,In Combination,race_ethnicity,465,475,486,433,434,A-14.2
Acceptees,count,Black or African American,Alone or In Combination,race_ethnicity,2768,2497,2489,2207,2077,A-14.2
Acceptees,count,Hispanic or Latino,Alone,race_ethnicity,1700,1560,1608,1445,1530,A-14.2
Acceptees,count,Hispanic or Latino,In Combination,race_ethnicity,1367,1428,1478,1305,1280,A-14.2
Acceptees,count,Hispanic or Latino,Alone or In Combination,race_ethnicity,3067,2988,3086,2750,2810,A-14.2
Acceptees,count,Middle Eastern or North African,Alone,race_ethnicity,,,,,1006,A-14.2
Acceptees,count,Middle Eastern or North African,In Combination,race_ethnicity,,,,,526,A-14.2
Acceptees,count,Middle Eastern or North African,Alone or In Combination,race_ethnicity,,,,,1532,A-14.2
Acceptees,count,Native Hawaiian or Pacific Islander,Alone,race_ethnicity,14,25,21,16,14,A-14.2
Acceptees,count,Native Hawaiian or Pacific Islander,In Combination,race_ethnicity,77,84,80,80,91,A-14.2
Acceptees,count,Native Hawaiian or Pacific Islander,Alone or In Combination,race_ethnicity,91,109,101,96,105,A-14.2
Acceptees,count,White,Alone,race_ethnicity,10064,10118,10032,9996,9100,A-14.2
Acceptees,count,White,In Combination,race_ethnicity,2228,2341,2356,2348,2389,A-14.2
Acceptees,count,White,Alone or In Combination,race_ethnicity,12292,12459,12388,12344,11489,A-14.2
