academic_year,application_stage,gender_group,count,percent_of_stage_total,source_table
1980-1981,Applicants,All,36083,100.0,FACTS Chart 2
1980-1981,Applicants,Men,25426,70.47,FACTS Chart 2
1980-1981,Applicants,Women,10657,29.53,FACTS Chart 2
1980-1981,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
1981-1982,Applicants,All,36717,100.0,FACTS Chart 2
1981-1982,Applicants,Men,25046,68.21,FACTS Chart 2
1981-1982,Applicants,Women,11671,31.79,FACTS Chart 2
1981-1982,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
1982-1983,Applicants,All,35719,100.0,FACTS Chart 2
1982-1983,Applicants,Men,24038,67.3,FACTS Chart 2
1982-1983,Applicants,Women,11681,32.7,FACTS Chart 2
1982-1983,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
1983-1984,Applicants,All,35187,100.0,FACTS Chart 2
1983-1984,Applicants,Men,23230,66.02,FACTS Chart 2
1983-1984,Applicants,Women,11957,33.98,FACTS Chart 2
1983-1984,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
1984-1985,Applicants,All,35917,100.0,FACTS Chart 2
1984-1985,Applicants,Men,23451,65.29,FACTS Chart 2
1984-1985,Applicants,Women,12466,34.71,FACTS Chart 2
1984-1985,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
1985-1986,Applicants,All,32885,100.0,FACTS Chart 2
1985-1986,Applicants,Men,21327,64.85,FACTS Chart 2
1985-1986,Applicants,Women,11558,35.15,FACTS Chart 2
1985-1986,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
1986-1987,Applicants,All,31313,100.0,FACTS Chart 2
1986-1987,Applicants,Men,20050,64.03,FACTS Chart 2
1986-1987,Applicants,Women,11263,35.97,FACTS Chart 2
1986-1987,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
1987-1988,Applicants,All,28118,100.0,FACTS Chart 2
1987-1988,Applicants,Men,17709,62.98,FACTS Chart 2
1987-1988,Applicants,Women,10409,37.02,FACTS Chart 2
1987-1988,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
1988-1989,Applicants,All,26702,100.0,FACTS Chart 2
1988-1989,Applicants,Men,16446,61.59,FACTS Chart 2
1988-1989,Applicants,Women,10256,38.41,FACTS Chart 2
1988-1989,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
1989-1990,Applicants,All,26909,100.0,FACTS Chart 2
1989-1990,Applicants,Men,16365,60.82,FACTS Chart 2
1989-1990,Applicants,Women,10544,39.18,FACTS Chart 2
1989-1990,Applicants,Another Gender Identity or Not Reported,0,0.0,FACTS Chart 2
1990-1991,Applicants,All,29241,100.0,FACTS Chart 2
1990-1991,Applicants,Men,17456,59.7,FACTS Chart 2
1990-1991,Applicants,Women,11785,40.3,FACTS Chart 2
