academic_year,metric_group,metric_name,count,source_table
1980-1981,Applicant Status,All Applicants,36083,FACTS Chart 1
1980-1981,Applicant Status,First-Time Applicants,24801,FACTS Chart 1
1980-1981,Applicant Status,Re-Applicants,11282,FACTS Chart 1
1981-1982,Applicant Status,All Applicants,36717,FACTS Chart 1
1981-1982,Applicant Status,First-Time Applicants,25715,FACTS Chart 1
1981-1982,Applicant Status,Re-Applicants,11002,FACTS Chart 1
1982-1983,Applicant Status,All Applicants,35719,FACTS Chart 1
1982-1983,Applicant Status,First-Time Applicants,24771,FACTS Chart 1
1982-1983,Applicant Status,Re-Applicants,10948,FACTS Chart 1
1983-1984,Applicant Status,All Applicants,35187,FACTS Chart 1
1983-1984,Applicant Status,First-Time Applicants,24597,FACTS Chart 1
1983-1984,Applicant Status,Re-Applicants,10590,FACTS Chart 1
1984-1985,Applicant Status,All Applicants,35917,FACTS Chart 1
1984-1985,Applicant Status,First-Time Applicants,25276,FACTS Chart 1
1984-1985,Applicant Status,Re-Applicants,10641,FACTS Chart 1
1985-1986,Applicant Status,All Applicants,32885,FACTS Chart 1
1985-1986,Applicant Status,First-Time Applicants,22871,FACTS Chart 1
1985-1986,Applicant Status,Re-Applicants,10014,FACTS Chart 1
1986-1987,Applicant Status,All Applicants,31313,FACTS Chart 1
1986-1987,Applicant Status,First-Time Applicants,22491,FACTS Chart 1
1986-1987,Applicant Status,Re-Applicants,8822,FACTS Chart 1
1987-1988,Applicant Status,All Applicants,28118,FACTS Chart 1
1987-1988,Applicant Status,First-Time Applicants,20377,FACTS Chart 1
1987-1988,Applicant Status,Re-Applicants,7741,FACTS Chart 1
1988-1989,Applicant Status,All Applicants,26702,FACTS Chart 1
1988-1989,Applicant Status,First-Time Applicants,20185,FACTS Chart 1
1988-1989,Applicant Status,Re-Applicants,6517,FACTS Chart 1
1989-1990,Applicant Status,All Applicants,26909,FACTS Chart 1
1989-1990,Applicant Status,First-Time Applicants,20850,FACTS Chart 1
1989-1990,Applicant Status,Re-Applicants,6059,FACTS Chart 1
1990-1991,Applicant Status,All Applicants,29241,FACTS Chart 1
1990-1991,Applicant Status,First-Time Applicants,22895,FACTS Chart 1
1990-1991,Applicant Status,Re-Applicants,6346,FACTS Chart 1
1991-1992,Applicant Status,All Applicants,33296,FACTS Chart 1
1991-1992,Applicant Status,First-Time Applicants,26051,FACTS Chart 1
1991-1992,Applicant Status,Re-Applicants,7245,FACTS Chart 1
1992-1993,Applicant Status,All Applicants,37402,FACTS Chart 1
1992-1993,Applicant Status,First-Time Applicants,28618,FACTS Chart 1
1992-1993,Applicant Status,Re-Applicants,8784,FACTS Chart 1
1993-1994,Applicant Status,All Applicants,42806,FACTS Chart 1
1993-1994,Applicant Status,First-Time Applicants,31258,FACTS Chart 1
1993-1994,Applicant Status,Re-Applicants,11548,FACTS Chart 1
1994-1995,Applicant Status,All Applicants,45360,FACTS Chart 1
1994-1995,Applicant Status,First-Time Applicants,31778,FACTS Chart 1
1994-1995,Applicant Status,Re-Applicants,13582,FACTS Chart 1
1995-1996,Applicant Status,All Applicants,46586,FACTS Chart 1
1995-1996,Applicant Status,First-Time Applicants,31575,FACTS Chart 1
1995-1996,Applicant Status,Re-Applicants,15011,FACTS Chart 1
1996-1997,Applicant Status,All Applicants,46965,FACTS Chart 1
1996-1997,Applicant Status,First-Time Applicants,31259,FACTS Chart 1
1996-1997,Applicant Status,Re-Applicants,15706,FACTS Chart 1
1997-1998,Applicant Status,All Applicants,43016,FACTS Chart 1
1997-1998,Applicant Status,First-Time Applicants,28546,FACTS Chart 1
1997-1998,Applicant Status,Re-Applicants,14470,FACTS Chart 1
1998-1999,Applicant Status,All Applicants,40995,FACTS Chart 1
1998-1999,Applicant Status,First-Time Applicants,27477,FACTS Chart 1
1998-1999,Applicant Status,Re-Applicants,13518,FACTS Chart 1
1999-2000,Applicant Status,All Applicants,38442,FACTS Chart 1
1999-2000,Applicant Status,First-Time Applicants,26081,FACTS Chart 1
1999-2000,Applicant Status,Re-Applicants,12361,FACTS Chart 1
2000-2001,Applicant Status,All Applicants,37088,FACTS Chart 1
2000-2001,Applicant Status,First-Time Applicants,25697,FACTS Chart 1
2000-2001,Applicant Status,Re-Applicants,11391,FACTS Chart 1
2001-2002,Applicant Status,All Applicants,34860,FACTS Chart 1
2001-2002,Applicant Status,First-Time Applicants,24866,FACTS Chart 1
2001-2002,Applicant Status,Re-Applicants,9994,FACTS Chart 1
2002-2003,Applicant Status,All Applicants,33623,FACTS Chart 1
2002-2003,Applicant Status,First-Time Applicants,24831,FACTS Chart 1
2002-2003,Applicant Status,Re-Applicants,8792,FACTS Chart 1
2003-2004,Applicant Status,All Applicants,34791,FACTS Chart 1
2003-2004,Applicant Status,First-Time Applicants,26106,FACTS Chart 1
2003-2004,Applicant Status,Re-Applicants,8685,FACTS Chart 1
2004-2005,Applicant Status,All Applicants,35735,FACTS Chart 1
2004-2005,Applicant Status,First-Time Applicants,27122,FACTS Chart 1
2004-2005,Applicant Status,Re-Applicants,8613,FACTS Chart 1
2005-2006,Applicant Status,All Applicants,37371,FACTS Chart 1
2005-2006,Applicant Status,First-Time Applicants,28216,FACTS Chart 1
2005-2006,Applicant Status,Re-Applicants,9155,FACTS Chart 1
2006-2007,Applicant Status,All Applicants,39108,FACTS Chart 1
2006-2007,Applicant Status,First-Time Applicants,29491,FACTS Chart 1
2006-2007,Applicant Status,Re-Applicants,9617,FACTS Chart 1
2007-2008,Applicant Status,All Applicants,42315,FACTS Chart 1
2007-2008,Applicant Status,First-Time Applicants,31891,FACTS Chart 1
2007-2008,Applicant Status,Re-Applicants,10424,FACTS Chart 1
2008-2009,Applicant Status,All Applicants,42231,FACTS Chart 1
2008-2009,Applicant Status,First-Time Applicants,30947,FACTS Chart 1
2008-2009,Applicant Status,Re-Applicants,11284,FACTS Chart 1
2009-2010,Applicant Status,All Applicants,42268,FACTS Chart 1
2009-2010,Applicant Status,First-Time Applicants,31001,FACTS Chart 1
2009-2010,Applicant Status,Re-Applicants,11267,FACTS Chart 1
2010-2011,Applicant Status,All Applicants,42741,FACTS Chart 1
2010-2011,Applicant Status,First-Time Applicants,31766,FACTS Chart 1
2010-2011,Applicant Status,Re-Applicants,10975,FACTS Chart 1
2011-2012,Applicant Status,All Applicants,43919,FACTS Chart 1
2011-2012,Applicant Status,First-Time Applicants,32587,FACTS Chart 1
2011-2012,Applicant Status,Re-Applicants,11332,FACTS Chart 1
2012-2013,Applicant Status,All Applicants,45266,FACTS Chart 1
2012-2013,Applicant Status,First-Time Applicants,33711,FACTS Chart 1
2012-2013,Applicant Status,Re-Applicants,11555,FACTS Chart 1
2013-2014,Applicant Status,All Applicants,48014,FACTS Chart 1
2013-2014,Applicant Status,First-Time Applicants,35668,FACTS Chart 1
2013-2014,Applicant Status,Re-Applicants,12346,FACTS Chart 1
2014-2015,Applicant Status,All Applicants,49480,FACTS Chart 1
2014-2015,Applicant Status,First-Time Applicants,36625,FACTS Chart 1
2014-2015,Applicant Status,Re-Applicants,12855,FACTS Chart 1
