academic_year,chart_all_applicants,first_time_applicants,re_applicants,first_time_percent,re_applicant_percent,men_applicants,women_applicants,another_gender_or_not_reported_applicants,chart_all_matriculants,men_matriculants,women_matriculants,another_gender_or_not_reported_matriculants,table1_applicants,table1_matriculants,enrollment,graduates,chart_applicant_to_matriculant_ratio_percent,table1_applicant_to_matriculant_ratio_percent
1980-1981,36083,24801,11282,68.73,31.27,25426,10657,0,16587,11830,4757,0,,,,,45.97,
1981-1982,36717,25715,11002,70.04,29.96,25046,11671,0,16660,11547,5113,0,,,,,45.37,
1982-1983,35719,24771,10948,69.35,30.65,24038,11681,0,16567,11366,5201,0,,,,,46.38,
1983-1984,35187,24597,10590,69.9,30.1,23230,11957,0,16480,11114,5366,0,,,,,46.84,
1984-1985,35917,25276,10641,70.37,29.63,23451,12466,0,16395,10926,5469,0,,,,,45.65,
1985-1986,32885,22871,10014,69.55,30.45,21327,11558,0,16268,10748,5520,0,,,,,49.47,
1986-1987,31313,22491,8822,71.83,28.17,20050,11263,0,16103,10529,5574,0,,,,,51.43,
1987-1988,28118,20377,7741,72.47,27.53,17709,10409,0,15927,10160,5767,0,,,,,56.64,
1988-1989,26702,20185,6517,75.59,24.41,16446,10256,0,15969,10091,5878,0,,,,,59.8,
1989-1990,26909,20850,6059,77.48,22.52,16365,10544,0,15867,9842,6025,0,,,,,58.97,
1990-1991,29241,22895,6346,78.3,21.7,17456,11785,0,15998,9845,6153,0,,,,,54.71,
1991-1992,33296,26051,7245,78.24,21.76,19597,13699,0,16211,9778,6433,0,,,,,48.69,
1992-1993,37402,28618,8784,76.51,23.49,21784,15618,0,16289,9517,6772,0,,,,,43.55,
1993-1994,42806,31258,11548,73.02,26.98,24849,17957,0,16307,9456,6851,0,,,,,38.1,
1994-1995,45360,31778,13582,70.06,29.94,26393,18967,0,16287,9468,6819,0,,,,,35.91,
1995-1996,46586,31575,15011,67.78,32.22,26810,19776,0,16252,9311,6941,0,,,,,34.89,
1996-1997,46965,31259,15706,66.56,33.44,26937,20028,0,16201,9283,6918,0,,,,,34.5,
1997-1998,43016,28546,14470,66.36,33.64,24745,18271,0,16164,9170,6994,0,,,,,37.58,
1998-1999,40995,27477,13518,67.03,32.97,23211,17784,0,16170,9008,7162,0,,,,,39.44,
1999-2000,38442,26081,12361,67.85,32.15,21048,17394,0,16221,8809,7412,0,,,,,42.2,
2000-2001,37088,25697,11391,69.29,30.71,19815,17273,0,16301,8829,7472,0,,,,,43.95,
2001-2002,34860,24866,9994,71.33,28.67,18142,16718,0,16365,8581,7784,0,,,,,46.94,
2002-2003,33623,24831,8792,73.85,26.15,17067,16556,0,16488,8375,8113,0,,,,,49.04,
2003-2004,34791,26106,8685,75.04,24.96,17119,17672,0,16541,8329,8212,0,,,,,47.54,
2004-2005,35735,27122,8613,75.9,24.1,17717,18018,0,16648,8413,8235,0,,,,,46.59,
2005-2006,37371,28216,9155,75.5,24.5,18747,18624,0,17003,8764,8239,0,,,,,45.5,
2006-2007,39108,29491,9617,75.41,24.59,19815,19293,0,17361,8923,8438,0,,,,,44.39,
2007-2008,42315,31891,10424,75.37,24.63,21580,20735,0,17759,9177,8582,0,,,,,41.97,
2008-2009,42231,30947,11284,73.28,26.72,21870,20360,1,18036,9422,8614,0,,,,,42.71,
2009-2010,42268,31001,11267,73.34,26.66,22013,20252,3,18390,9573,8817,0,,,,,43.51,
2010-2011,42741,31766,10975,74.32,25.68,22533,20207,1,18665,9909,8756,0,,,,,43.67,
2011-2012,43919,32587,11332,74.2,25.8,23135,20780,4,19230,10193,9037,0,,,,,43.79,
2012-2013,45266,33711,11555,74.47,25.53,24338,20922,6,19517,10453,9064,0,,,,,43.12,
2013-2014,48014,35668,12346,74.29,25.71,25760,22250,4,20055,10588,9467,0,,,,,41.77,
2014-2015,49480,36625,12855,74.02,25.98,26455,23019,6,20343,10625,9718,0,,,,,41.11,
2015-2016,52549,38395,14154,73.07,26.93,27927,24608,14,20631,10766,9861,4,,,,,39.26,
2016-2017,53042,38781,14261,73.11,26.89,27250,25779,13,21030,10551,10474,5,53042,21030,88181,19262,39.65,39.65
2017-2018,51680,37364,14316,72.3,27.7,26058,25600,22,21338,10516,10810,12,51680,21338,89729,19562,41.29,41.29
2018-2019,52777,38483,14294,72.92,27.08,25875,26882,20,21622,10454,11160,8,52777,21622,91218,19935,40.97,40.97
2019-2020,53369,39235,14134,73.52,26.48,25493,27847,29,21869,10402,11461,6,53368,21869,92621,20390,40.98,40.98
2020-2021,53030,38580,14450,72.75,27.25,24620,28343,67,22239,10271,11926,42,53030,22239,94064,20926,41.94,41.94
2021-2022,62443,46756,15687,74.88,25.12,26948,35438,57,22666,10057,12590,19,62443,22666,95334,21057,36.3,36.3
2022-2023,55189,38721,16468,70.16,29.84,23924,31191,74,22710,10060,12630,20,55189,22710,96376,20927,41.15,41.15
2023-2024,52577,37725,14852,71.75,28.25,22574,29763,240,22980,10160,12723,97,52577,22980,97772,20872,43.71,43.71
2024-2025,51946,38599,13347,74.31,25.69,22088,29528,330,23156,10261,12749,146,51946,23156,99454,21599,44.58,44.58
2025-2026,54699,41830,12869,76.47,23.53,23072,31291,336,23441,10410,12900,131,54699,23440,100723,,42.85,42.85
