academic_year,applicants,matriculants,enrollment,graduates,applicant_to_matriculant_ratio_percent,graduates_as_percent_of_enrollment,source_table,chart_all_applicants,chart_all_matriculants,table1_minus_chart_applicants,table1_minus_chart_matriculants
2016-2017,53042,21030,88181,19262,39.65,21.84,FACTS Table 1,53042,21030,0,0
2017-2018,51680,21338,89729,19562,41.29,21.8,FACTS Table 1,51680,21338,0,0
2018-2019,52777,21622,91218,19935,40.97,21.85,FACTS Table 1,52777,21622,0,0
2019-2020,53368,21869,92621,20390,40.98,22.01,FACTS Table 1,53369,21869,-1,0
2020-2021,53030,22239,94064,20926,41.94,22.25,FACTS Table 1,53030,22239,0,0
2021-2022,62443,22666,95334,21057,36.3,22.09,FACTS Table 1,62443,22666,0,0
2022-2023,55189,22710,96376,20927,41.15,21.71,FACTS Table 1,55189,22710,0,0
2023-2024,52577,22980,97772,20872,43.71,21.35,FACTS Table 1,52577,22980,0,0
2024-2025,51946,23156,99454,21599,44.58,21.72,FACTS Table 1,51946,23156,0,0
2025-2026,54699,23440,100723,,42.85,,FACTS Table 1,54699,23441,0,-1
