academic_year,all_applicants,first_time_applicants,re_applicants,first_time_percent,re_applicant_percent,source_table
1980-1981,36083,24801,11282,68.73,31.27,FACTS Chart 1
1981-1982,36717,25715,11002,70.04,29.96,FACTS Chart 1
1982-1983,35719,24771,10948,69.35,30.65,FACTS Chart 1
1983-1984,35187,24597,10590,69.9,30.1,FACTS Chart 1
1984-1985,35917,25276,10641,70.37,29.63,FACTS Chart 1
1985-1986,32885,22871,10014,69.55,30.45,FACTS Chart 1
1986-1987,31313,22491,8822,71.83,28.17,FACTS Chart 1
1987-1988,28118,20377,7741,72.47,27.53,FACTS Chart 1
1988-1989,26702,20185,6517,75.59,24.41,FACTS Chart 1
1989-1990,26909,20850,6059,77.48,22.52,FACTS Chart 1
1990-1991,29241,22895,6346,78.3,21.7,FACTS Chart 1
1991-1992,33296,26051,7245,78.24,21.76,FACTS Chart 1
1992-1993,37402,28618,8784,76.51,23.49,FACTS Chart 1
1993-1994,42806,31258,11548,73.02,26.98,FACTS Chart 1
1994-1995,45360,31778,13582,70.06,29.94,FACTS Chart 1
1995-1996,46586,31575,15011,67.78,32.22,FACTS Chart 1
1996-1997,46965,31259,15706,66.56,33.44,FACTS Chart 1
1997-1998,43016,28546,14470,66.36,33.64,FACTS Chart 1
1998-1999,40995,27477,13518,67.03,32.97,FACTS Chart 1
1999-2000,38442,26081,12361,67.85,32.15,FACTS Chart 1
2000-2001,37088,25697,11391,69.29,30.71,FACTS Chart 1
2001-2002,34860,24866,9994,71.33,28.67,FACTS Chart 1
2002-2003,33623,24831,8792,73.85,26.15,FACTS Chart 1
2003-2004,34791,26106,8685,75.04,24.96,FACTS Chart 1
2004-2005,35735,27122,8613,75.9,24.1,FACTS Chart 1
2005-2006,37371,28216,9155,75.5,24.5,FACTS Chart 1
2006-2007,39108,29491,9617,75.41,24.59,FACTS Chart 1
2007-2008,42315,31891,10424,75.37,24.63,FACTS Chart 1
2008-2009,42231,30947,11284,73.28,26.72,FACTS Chart 1
2009-2010,42268,31001,11267,73.34,26.66,FACTS Chart 1
2010-2011,42741,31766,10975,74.32,25.68,FACTS Chart 1
2011-2012,43919,32587,11332,74.2,25.8,FACTS Chart 1
2012-2013,45266,33711,11555,74.47,25.53,FACTS Chart 1
2013-2014,48014,35668,12346,74.29,25.71,FACTS Chart 1
2014-2015,49480,36625,12855,74.02,25.98,FACTS Chart 1
2015-2016,52549,38395,14154,73.07,26.93,FACTS Chart 1
2016-2017,53042,38781,14261,73.11,26.89,FACTS Chart 1
2017-2018,51680,37364,14316,72.3,27.7,FACTS Chart 1
2018-2019,52777,38483,14294,72.92,27.08,FACTS Chart 1
2019-2020,53369,39235,14134,73.52,26.48,FACTS Chart 1
2020-2021,53030,38580,14450,72.75,27.25,FACTS Chart 1
2021-2022,62443,46756,15687,74.88,25.12,FACTS Chart 1
2022-2023,55189,38721,16468,70.16,29.84,FACTS Chart 1
2023-2024,52577,37725,14852,71.75,28.25,FACTS Chart 1
2024-2025,51946,38599,13347,74.31,25.69,FACTS Chart 1
2025-2026,54699,41830,12869,76.47,23.53,FACTS Chart 1
