academic_year,all_matriculants,men_matriculants,women_matriculants,another_gender_or_not_reported_matriculants,men_percent,women_percent,another_gender_or_not_reported_percent,source_table
1980-1981,16587,11830,4757,0,71.32,28.68,0.0,FACTS Chart 3
1981-1982,16660,11547,5113,0,69.31,30.69,0.0,FACTS Chart 3
1982-1983,16567,11366,5201,0,68.61,31.39,0.0,FACTS Chart 3
1983-1984,16480,11114,5366,0,67.44,32.56,0.0,FACTS Chart 3
1984-1985,16395,10926,5469,0,66.64,33.36,0.0,FACTS Chart 3
1985-1986,16268,10748,5520,0,66.07,33.93,0.0,FACTS Chart 3
1986-1987,16103,10529,5574,0,65.39,34.61,0.0,FACTS Chart 3
1987-1988,15927,10160,5767,0,63.79,36.21,0.0,FACTS Chart 3
1988-1989,15969,10091,5878,0,63.19,36.81,0.0,FACTS Chart 3
1989-1990,15867,9842,6025,0,62.03,37.97,0.0,FACTS Chart 3
1990-1991,15998,9845,6153,0,61.54,38.46,0.0,FACTS Chart 3
1991-1992,16211,9778,6433,0,60.32,39.68,0.0,FACTS Chart 3
1992-1993,16289,9517,6772,0,58.43,41.57,0.0,FACTS Chart 3
1993-1994,16307,9456,6851,0,57.99,42.01,0.0,FACTS Chart 3
1994-1995,16287,9468,6819,0,58.13,41.87,0.0,FACTS Chart 3
1995-1996,16252,9311,6941,0,57.29,42.71,0.0,FACTS Chart 3
1996-1997,16201,9283,6918,0,57.3,42.7,0.0,FACTS Chart 3
1997-1998,16164,9170,6994,0,56.73,43.27,0.0,FACTS Chart 3
1998-1999,16170,9008,7162,0,55.71,44.29,0.0,FACTS Chart 3
1999-2000,16221,8809,7412,0,54.31,45.69,0.0,FACTS Chart 3
2000-2001,16301,8829,7472,0,54.16,45.84,0.0,FACTS Chart 3
2001-2002,16365,8581,7784,0,52.44,47.56,0.0,FACTS Chart 3
2002-2003,16488,8375,8113,0,50.79,49.21,0.0,FACTS Chart 3
2003-2004,16541,8329,8212,0,50.35,49.65,0.0,FACTS Chart 3
2004-2005,16648,8413,8235,0,50.53,49.47,0.0,FACTS Chart 3
2005-2006,17003,8764,8239,0,51.54,48.46,0.0,FACTS Chart 3
2006-2007,17361,8923,8438,0,51.4,48.6,0.0,FACTS Chart 3
2007-2008,17759,9177,8582,0,51.68,48.32,0.0,FACTS Chart 3
2008-2009,18036,9422,8614,0,52.24,47.76,0.0,FACTS Chart 3
2009-2010,18390,9573,8817,0,52.06,47.94,0.0,FACTS Chart 3
2010-2011,18665,9909,8756,0,53.09,46.91,0.0,FACTS Chart 3
2011-2012,19230,10193,9037,0,53.01,46.99,0.0,FACTS Chart 3
2012-2013,19517,10453,9064,0,53.56,46.44,0.0,FACTS Chart 3
2013-2014,20055,10588,9467,0,52.79,47.21,0.0,FACTS Chart 3
2014-2015,20343,10625,9718,0,52.23,47.77,0.0,FACTS Chart 3
2015-2016,20631,10766,9861,4,52.18,47.8,0.02,FACTS Chart 3
2016-2017,21030,10551,10474,5,50.17,49.81,0.02,FACTS Chart 3
2017-2018,21338,10516,10810,12,49.28,50.66,0.06,FACTS Chart 3
2018-2019,21622,10454,11160,8,48.35,51.61,0.04,FACTS Chart 3
2019-2020,21869,10402,11461,6,47.57,52.41,0.03,FACTS Chart 3
2020-2021,22239,10271,11926,42,46.18,53.63,0.19,FACTS Chart 3
2021-2022,22666,10057,12590,19,44.37,55.55,0.08,FACTS Chart 3
2022-2023,22710,10060,12630,20,44.3,55.61,0.09,FACTS Chart 3
2023-2024,22980,10160,12723,97,44.21,55.37,0.42,FACTS Chart 3
2024-2025,23156,10261,12749,146,44.31,55.06,0.63,FACTS Chart 3
2025-2026,23441,10410,12900,131,44.41,55.03,0.56,FACTS Chart 3
