school_name,state_aamc,application_deadline,criminal_background_check,application_deadline_date,shemmassian_school_name,medical_school,state_shemmassian,degree_type,average_gpa,average_mcat,minimum_mcat,is_public,campus_city,region,setting
Frederick P. Whiddon College of Medicine at the University of South Alabama,Alabama,"November 2, 2026",Yes,2026-11-02,University of  South Alabama College of Medicine,University of  South Alabama College of Medicine,AL,MD,3.85,508,For out-of-state applicants only: 70th percentile (~507.5),True,Mobile,Southeast,Urban
University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Alabama,"November 2, 2026",Yes,2026-11-02,University of  Alabama School of Medicine,University of  Alabama School of Medicine,AL,MD,3.87,509.4,494,True,Birmingham,Southeast,Urban
University of Arizona College of Medicine,Arizona,"December 15, 2026",No,2026-12-15,University of  Arizona College of Medicine - Tucson,University of  Arizona College of Medicine - Tucson,AZ,MD,3.74,508,498,True,Tucson,Southwest,Urban
University of Arizona College of Medicine - Phoenix,Arizona,"November 16, 2026",Yes,2026-11-16,University of  Arizona School of Medicine - Phoenix,University of  Arizona School of Medicine - Phoenix,AZ,MD,3.82,514,495,True,Phoenix,Southwest,Urban
Alice L. Walton School of Medicine,Arkansas,"November 2, 2026",Yes,2026-11-02,,,,,,,,,Bentonville,Southeast,Town
University of Arkansas for Medical Sciences College of Medicine,Arkansas,"November 2, 2026",Yes,2026-11-02,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,AR,MD,3.85,507,NR,True,Little Rock,Southeast,Urban
California Northstate University College of Medicine,California,"December 15, 2026",Yes,2026-12-15,California Northstate University College of Medicine,California Northstate University College of Medicine,CA,MD,3.83,513.3,497,False,Elk Grove,West,Suburban
California University of Science and Medicine-School of Medicine,California,"December 1, 2026",Yes,2026-12-01,California University of Science and Medicine,California University of Science and Medicine,CA,MD,3.61,511,NR,False,Colton,West,Suburban
Charles R. Drew University of Medicine and Science College of Medicine,California,"November 2, 2026",Yes,2026-11-02,,,,,,,,,Los Angeles,West,Urban
Kaiser Permanente Bernard J. Tyson School of Medicine,California,"October 1, 2026",Yes,2026-10-01,Kaiser Permanente School of  Medicine,Kaiser Permanente School of  Medicine,CA,MD,3.78,514,NR,False,Pasadena,West,Suburban
Keck School of Medicine of the University of Southern California,California,"November 2, 2026",Yes,2026-11-02,University of Southern California Keck School of Medicine,University of Southern California Keck School of Medicine,CA,MD,3.85,517,NR,False,Los Angeles,West,Urban
Loma Linda University School of Medicine,California,"November 2, 2026",No,2026-11-02,Loma Linda University School of Medicine,Loma Linda University School of Medicine,CA,MD,3.85,509,NR,False,Loma Linda,West,Suburban
Stanford University School of Medicine,California,"October 1, 2026",Yes,2026-10-01,Stanford University  School of Medicine,Stanford University  School of Medicine,CA,MD,3.94,518,NR,False,Stanford,West,Suburban
"University of California, Davis, School of Medicine",California,"October 1, 2026",Yes,2026-10-01,University of California – Davis School of Medicine,University of California – Davis School of Medicine,CA,MD,3.72,509,NR,True,Sacramento,West,Urban
"University of California, Irvine, School of Medicine",California,"December 1, 2026",Yes,2026-12-01,University  of California – Irvine School of Medicine,University  of California – Irvine School of Medicine,CA,MD,3.83,516,NR,True,Irvine,West,Suburban
"University of California, Los Angeles David Geffen School of Medicine",California,"October 1, 2026",Yes,2026-10-01,University of California –  Los Angeles David Geffen School of Medicine,University of California –  Los Angeles David Geffen School of Medicine,CA,MD,3.81,516,NR,True,Los Angeles,West,Urban
"University of California, Riverside School of Medicine",California,"October 15, 2026",Yes,2026-10-15,University of California – Riverside School of Medicine,University of California – Riverside School of Medicine,CA,MD,3.60,508,NR,True,Riverside,West,Urban
"University of California, San Diego School of Medicine",California,"October 15, 2026",Yes,2026-10-15,University of California – San Diego School of Medicine,University of California – San Diego School of Medicine,CA,MD,3.83,514.4,NR,True,La Jolla,West,Suburban
"University of California, San Francisco, School of Medicine",California,"October 15, 2026",Yes,2026-10-15,University of  California – San Francisco School of Medicine,University of  California – San Francisco School of Medicine,CA,MD,3.87,517,NR,True,San Francisco,West,Urban
University of Colorado School of Medicine,Colorado,"October 15, 2026",Yes,2026-10-15,University of Colorado School of Medicine,University of Colorado School of Medicine,CO,MD,3.7,517,NR,True,Aurora,West,Suburban
Frank H. Netter MD School of Medicine at Quinnipiac University,Connecticut,"December 1, 2026",Yes,2026-12-01,Quinnipiac  University Frank H. Netter MD School of Medicine,Quinnipiac  University Frank H. Netter MD School of Medicine,CT,MD,3.70,511,NR,False,North Haven,Northeast,Suburban
University of Connecticut School of Medicine,Connecticut,"November 16, 2026",Yes,2026-11-16,University of  Connecticut School of Medicine,University of  Connecticut School of Medicine,CT,MD,3.76,513,NR,True,Farmington,Northeast,Suburban
Yale School of Medicine,Connecticut,"October 15, 2026",Yes,2026-10-15,Yale School of  Medicine,Yale School of  Medicine,CT,MD,3.94,521,NR,False,New Haven,Northeast,Urban
George Washington University School of Medicine & Health Sciences,District of Columbia,"November 2, 2026",Yes,2026-11-02,George Washington University School of Medicine and Health Sciences,George Washington University School of Medicine and Health Sciences,DC,MD,3.88,515,NR,False,Washington,Mid-Atlantic,Urban
Georgetown University School of Medicine,District of Columbia,"November 2, 2026",Yes,2026-11-02,Georgetown University School of Medicine,Georgetown University School of Medicine,DC,MD,3.76,513,NR,False,Washington,Mid-Atlantic,Urban
Howard University College of Medicine,District of Columbia,"December 15, 2026",Yes,2026-12-15,Howard University College of Medicine,Howard University College of Medicine,DC,MD,3.61,507,494,False,Washington,Mid-Atlantic,Urban
Charles E. Schmidt College of Medicine at Florida Atlantic University,Florida,"November 16, 2026",Yes,2026-11-16,Florida Atlantic  University Charles E. Schmidt College of Medicine,Florida Atlantic  University Charles E. Schmidt College of Medicine,FL,MD,3.83,513,NR,True,Boca Raton,Southeast,Suburban
Florida International University Herbert Wertheim College of Medicine,Florida,"December 1, 2026",Yes,2026-12-01,Florida International University Herbert Wertheim College of  Medicine,Florida International University Herbert Wertheim College of  Medicine,FL,MD,3.82,510,NR,True,Miami,Southeast,Urban
Florida State University College of Medicine,Florida,"November 15, 2026",No,2026-11-15,Florida State University College  of Medicine,Florida State University College  of Medicine,FL,MD,3.68,507,498,True,Tallahassee,Southeast,Urban
Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Florida,"November 30, 2026",Yes,2026-11-30,Nova  Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Nova  Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,FL,MD,3.75,512,NR,False,Davie,Southeast,Suburban
USF Health Morsani College of Medicine,Florida,"January 15, 2027",Yes,2027-01-15,University of South Florida Health Morsani College of Medicine,University of South Florida Health Morsani College of Medicine,FL,MD,3.96,520,NR,True,Tampa,Southeast,Urban
University of Central Florida College of Medicine,Florida,"November 16, 2026",Yes,2026-11-16,University of Central Florida College of Medicine,University of Central Florida College of Medicine,FL,MD,3.89,514,500,True,Orlando,Southeast,Suburban
University of Florida College of Medicine,Florida,"December 1, 2026",Yes,2026-12-01,University of Florida College of  Medicine,University of Florida College of  Medicine,FL,MD,3.86,515,500,True,Gainesville,Southeast,Urban
University of Miami Leonard M. Miller School of Medicine,Florida,"December 1, 2026",Yes,2026-12-01,University of Miami Miller School of Medicine,University of Miami Miller School of Medicine,FL,MD,3.86,516,NR - (510 for 3-year accelerated path),False,Miami,Southeast,Urban
Emory University School of Medicine,Georgia,"October 15, 2026",No,2026-10-15,Emory  University School of Medicine,Emory  University School of Medicine,GA,MD,3.70,514,NR,False,Atlanta,Southeast,Urban
Medical College of Georgia at Augusta University,Georgia,"November 2, 2026",Yes,2026-11-02,Medical College of Georgia at Augusta University,Medical College of Georgia at Augusta University,GA,MD,3.80,512,NR,True,Augusta,Southeast,Urban
Mercer University School of Medicine,Georgia,"November 2, 2026",Yes,2026-11-02,Mercer  University School of Medicine,Mercer  University School of Medicine,GA,MD,3.69,503,493–494,False,Macon,Southeast,Urban
Morehouse School of Medicine,Georgia,"December 1, 2026",Yes,2026-12-01,Morehouse  School of Medicine,Morehouse  School of Medicine,GA,MD,3.64,504.1,NR,False,Atlanta,Southeast,Urban
University of Georgia School of Medicine,Georgia,"October 15, 2026",Yes,2026-10-15,,,,,,,,,Athens,Southeast,Urban
"University of Hawaii, John A. Burns School of Medicine",Hawaii,"November 2, 2026",Yes,2026-11-02,University of Hawaii John A. Burns School of Medicine,University of Hawaii John A. Burns School of Medicine,HI,MD,3.79,512,NR,True,Honolulu,West,Urban
Carle Illinois College of Medicine,Illinois,"October 31, 2026",Yes,2026-10-31,Carle Illinois College of  Medicine,Carle Illinois College of  Medicine,IL,MD,3.73,513,498,True,Urbana,Midwest,Urban
Chicago Medical School at Rosalind Franklin University of Medicine & Science,Illinois,"November 2, 2026",Yes,2026-11-02,Chicago Medical School at Rosalind Franklin University of Medicine and  Science,Chicago Medical School at Rosalind Franklin University of Medicine and  Science,IL,MD,3.69,508,510 The school notes most successful applicants have a 510 or above.,False,North Chicago,Midwest,Suburban
Loyola University Chicago Stritch School of Medicine,Illinois,"December 11, 2026",Yes,2026-12-11,Loyola  University of Chicago Stritch School of Medicine,Loyola  University of Chicago Stritch School of Medicine,IL,MD,3.8,512,NR,False,Maywood,Midwest,Suburban
Northwestern University The Feinberg School of Medicine,Illinois,"November 2, 2026",Yes,2026-11-02,Northwestern  University The Feinberg School of Medicine,Northwestern  University The Feinberg School of Medicine,IL,MD,3.93,521,NR,False,Chicago,Midwest,Urban
Rush Medical College of Rush University Medical Center,Illinois,"October 1, 2026",Yes,2026-10-01,Rush Medical College of Rush University,Rush Medical College of Rush University,IL,MD,3.72,510,NR,False,Chicago,Midwest,Urban
Southern Illinois University School of Medicine,Illinois,"November 16, 2026",No,2026-11-16,Southern  Illinois University School of Medicine,Southern  Illinois University School of Medicine,IL,MD,3.7,508,498,True,Springfield,Midwest,Urban
University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,Illinois,"November 16, 2026",Yes,2026-11-16,University of  Chicago Pritzker School of Medicine,University of  Chicago Pritzker School of Medicine,IL,MD,3.91,521,NR,False,Chicago,Midwest,Urban
University of Illinois College of Medicine,Illinois,"November 2, 2026",Yes,2026-11-02,University of  Illinois College of Medicine,University of  Illinois College of Medicine,IL,MD,3.82,511,NR,True,Chicago,Midwest,Urban
Indiana University School of Medicine,Indiana,"November 16, 2026",Yes,2026-11-16,Indiana University  School of Medicine,Indiana University  School of Medicine,IN,MD,3.85,512,NR,True,Indianapolis,Midwest,Urban
University of Iowa Roy J. and Lucille A. Carver College of Medicine,Iowa,"November 2, 2026",Yes,2026-11-02,University of Iowa Carver College of Medicine,University of Iowa Carver College of Medicine,IA,MD,3.81,514,NR,True,Iowa City,Midwest,Urban
University of Kansas School of Medicine,Kansas,"October 15, 2026",No,2026-10-15,University of Kansas School of Medicine,University of Kansas School of Medicine,KS,MD,3.84,509,NR,True,Kansas City,Midwest,Urban
University of Kentucky College of Medicine,Kentucky,"November 2, 2026",Yes,2026-11-02,University  of Kentucky College of Medicine,University  of Kentucky College of Medicine,KY,MD,3.84,508,495,True,Lexington,Southeast,Urban
University of Louisville School of Medicine,Kentucky,"November 2, 2026",Yes,2026-11-02,University of Louisville School of Medicine,University of Louisville School of Medicine,KY,MD,3.78,507,NR,True,Louisville,Southeast,Urban
Louisiana State University School of Medicine in New Orleans,Louisiana,"November 2, 2026",Yes,2026-11-02,Louisiana  State University – New Orleans School of Medicine,Louisiana  State University – New Orleans School of Medicine,LA,MD,3.76,509 (74th %-ile),NR,True,New Orleans,Southeast,Urban
Louisiana State University School of Medicine in Shreveport,Louisiana,"November 2, 2026",Yes,2026-11-02,Louisiana State University – Shreveport School of Medicine,Louisiana State University – Shreveport School of Medicine,LA,MD,3.80,508,NR,True,Shreveport,Southeast,Urban
Tulane University School of Medicine,Louisiana,"October 1, 2026",Yes,2026-10-01,Tulane University  School of Medicine,Tulane University  School of Medicine,LA,MD,3.70,510,NR,False,New Orleans,Southeast,Urban
Johns Hopkins University School of Medicine,Maryland,"October 15, 2026",No,2026-10-15,Johns Hopkins University School of Medicine,Johns Hopkins University School of Medicine,MD,MD,3.92,521,NR,False,Baltimore,Mid-Atlantic,Urban
Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,Maryland,"October 15, 2026",Yes,2026-10-15,Uniformed Services University of the Health Sciences F. Edward Hebert School  of Medicine,Uniformed Services University of the Health Sciences F. Edward Hebert School  of Medicine,MD,MD,3.70,510,496,True,Bethesda,Mid-Atlantic,Suburban
University of Maryland School of Medicine,Maryland,"November 2, 2026",No,2026-11-02,University of  Maryland School of Medicine,University of  Maryland School of Medicine,MD,MD,3.84,512,NR,True,Baltimore,Mid-Atlantic,Urban
Boston University Aram V. Chobanian & Edward Avedisian School of Medicine,Massachusetts,"November 2, 2026",Yes,2026-11-02,Boston University School of Medicine,Boston University School of Medicine,MA,MD,3.76,517,NR,False,Boston,Northeast,Urban
Harvard Medical School,Massachusetts,"October 15, 2026",No,2026-10-15,Harvard Medical  School,Harvard Medical  School,MA,MD,3.90,520.48,NR,False,Boston,Northeast,Urban
Tufts University School of Medicine,Massachusetts,"November 2, 2026",Yes,2026-11-02,Tufts University School of Medicine,Tufts University School of Medicine,MA,MD,3.82,514,NR,False,Boston,Northeast,Urban
University of Massachusetts T.H. Chan School of Medicine,Massachusetts,"October 15, 2026",Yes,2026-10-15,University of Massachusetts Medical School,University of Massachusetts Medical School,MA,MD,3.76,511,NR,True,Worcester,Northeast,Urban
Covenant HealthCare College of Medicine at Central Michigan University,Michigan,"November 2, 2026",Yes,2026-11-02,Central Michigan University College of Medicine,Central Michigan University College of Medicine,MI,MD,3.80,506,NR,True,Saginaw,Midwest,Urban
Michigan State University College of Human Medicine,Michigan,"October 15, 2026",Yes,2026-10-15,Michigan State University College of  Human Medicine,Michigan State University College of  Human Medicine,MI,MD,3.7,507,NR,True,Grand Rapids,Midwest,Urban
Oakland University William Beaumont School of Medicine,Michigan,"November 16, 2026",Yes,2026-11-16,Oakland  University William Beaumont School of Medicine,Oakland  University William Beaumont School of Medicine,MI,MD,3.89,510,NR,False,Rochester,Midwest,Suburban
University of Michigan Medical School,Michigan,"September 15, 2026",Yes,2026-09-15,University of Michigan Medical School,University of Michigan Medical School,MI,MD,3.85,516 (92nd %-ile),NR,True,Ann Arbor,Midwest,Urban
Wayne State University School of Medicine,Michigan,"December 15, 2026",Yes,2026-12-15,Wayne  State University School of Medicine,Wayne  State University School of Medicine,MI,MD,3.78,511,NR,True,Detroit,Midwest,Urban
Western Michigan University Homer Stryker M.D. School of Medicine,Michigan,"November 16, 2026",Yes,2026-11-16,Western Michigan University School of  Medicine,Western Michigan University School of  Medicine,MI,MD,3.81,512,497,False,Kalamazoo,Midwest,Urban
Mayo Clinic Alix School of Medicine,Minnesota,"October 1, 2026",Yes,2026-10-01,Mayo Clinic Alix School of Medicine,Mayo Clinic Alix School of Medicine,AZ,MD,3.95,521,508,False,Scottsdale,Southwest,Suburban
Mayo Clinic Alix School of Medicine,Minnesota,"October 1, 2026",Yes,2026-10-01,Mayo Clinic Alix School of Medicine,Mayo Clinic Alix School of Medicine,MN,MD,3.95,521,NR,False,Rochester,Midwest,Urban
University of Minnesota Medical School,Minnesota,"October 1, 2026",Yes,2026-10-01,,,,,,,,,Minneapolis,Midwest,Urban
University of Mississippi School of Medicine,Mississippi,"October 15, 2026",Yes,2026-10-15,University of Mississippi School of Medicine,University of Mississippi School of Medicine,MS,MD,3.80,506,496,True,Jackson,Southeast,Urban
Saint Louis University School of Medicine,Missouri,"November 16, 2026",Yes,2026-11-16,Saint Louis University School of Medicine,Saint Louis University School of Medicine,MO,MD,3.90,514,NR,False,St. Louis,Midwest,Urban
University of Missouri-Columbia School of Medicine,Missouri,"October 15, 2026",Yes,2026-10-15,University of Missouri – Columbia School of Medicine,University of Missouri – Columbia School of Medicine,MO,MD,3.83,509,494,True,Columbia,Midwest,Urban
