source_table,population,academic_year,race_ethnicity,metric,statistic,value
A-18,Applicants,2025-2026,American Indian or Alaska Native,MCAT CPBS,Mean,124.6
A-18,Applicants,2025-2026,Asian,MCAT CPBS,Mean,127.3
A-18,Applicants,2025-2026,Black or African American,MCAT CPBS,Mean,124.1
A-18,Applicants,2025-2026,Hispanic or Latino,MCAT CPBS,Mean,124.8
A-18,Applicants,2025-2026,Middle Eastern or North African,MCAT CPBS,Mean,126.5
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,MCAT CPBS,Mean,125.0
A-18,Applicants,2025-2026,White,MCAT CPBS,Mean,126.7
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,MCAT CPBS,Mean,125.8
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,MCAT CPBS,Mean,126.1
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,MCAT CPBS,Mean,126.9
A-18,Applicants,2025-2026,American Indian or Alaska Native,MCAT CPBS,SD,3.1
A-18,Applicants,2025-2026,Asian,MCAT CPBS,SD,2.9
A-18,Applicants,2025-2026,Black or African American,MCAT CPBS,SD,2.9
A-18,Applicants,2025-2026,Hispanic or Latino,MCAT CPBS,SD,3.0
A-18,Applicants,2025-2026,Middle Eastern or North African,MCAT CPBS,SD,3.0
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,MCAT CPBS,SD,3.1
A-18,Applicants,2025-2026,White,MCAT CPBS,SD,2.7
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,MCAT CPBS,SD,3.0
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,MCAT CPBS,SD,3.0
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,MCAT CPBS,SD,2.8
A-18,Applicants,2025-2026,American Indian or Alaska Native,MCAT CARS,Mean,124.9
A-18,Applicants,2025-2026,Asian,MCAT CARS,Mean,126.0
A-18,Applicants,2025-2026,Black or African American,MCAT CARS,Mean,123.9
A-18,Applicants,2025-2026,Hispanic or Latino,MCAT CARS,Mean,124.2
A-18,Applicants,2025-2026,Middle Eastern or North African,MCAT CARS,Mean,125.0
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,MCAT CARS,Mean,124.4
A-18,Applicants,2025-2026,White,MCAT CARS,Mean,126.4
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,MCAT CARS,Mean,125.0
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,MCAT CARS,Mean,125.7
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,MCAT CARS,Mean,126.4
A-18,Applicants,2025-2026,American Indian or Alaska Native,MCAT CARS,SD,2.6
A-18,Applicants,2025-2026,Asian,MCAT CARS,SD,2.7
A-18,Applicants,2025-2026,Black or African American,MCAT CARS,SD,2.7
A-18,Applicants,2025-2026,Hispanic or Latino,MCAT CARS,SD,2.7
A-18,Applicants,2025-2026,Middle Eastern or North African,MCAT CARS,SD,2.7
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,MCAT CARS,SD,2.6
A-18,Applicants,2025-2026,White,MCAT CARS,SD,2.5
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,MCAT CARS,SD,2.8
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,MCAT CARS,SD,2.7
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,MCAT CARS,SD,2.7
A-18,Applicants,2025-2026,American Indian or Alaska Native,MCAT BBLS,Mean,125.2
A-18,Applicants,2025-2026,Asian,MCAT BBLS,Mean,127.4
A-18,Applicants,2025-2026,Black or African American,MCAT BBLS,Mean,124.5
A-18,Applicants,2025-2026,Hispanic or Latino,MCAT BBLS,Mean,125.1
A-18,Applicants,2025-2026,Middle Eastern or North African,MCAT BBLS,Mean,126.6
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,MCAT BBLS,Mean,125.8
A-18,Applicants,2025-2026,White,MCAT BBLS,Mean,127.0
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,MCAT BBLS,Mean,126.1
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,MCAT BBLS,Mean,126.4
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,MCAT BBLS,Mean,127.1
A-18,Applicants,2025-2026,American Indian or Alaska Native,MCAT BBLS,SD,2.6
A-18,Applicants,2025-2026,Asian,MCAT BBLS,SD,2.8
A-18,Applicants,2025-2026,Black or African American,MCAT BBLS,SD,2.9
A-18,Applicants,2025-2026,Hispanic or Latino,MCAT BBLS,SD,3.0
A-18,Applicants,2025-2026,Middle Eastern or North African,MCAT BBLS,SD,3.0
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,MCAT BBLS,SD,3.3
A-18,Applicants,2025-2026,White,MCAT BBLS,SD,2.6
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,MCAT BBLS,SD,2.9
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,MCAT BBLS,SD,2.9
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,MCAT BBLS,SD,2.8
A-18,Applicants,2025-2026,American Indian or Alaska Native,MCAT PSBB,Mean,125.9
A-18,Applicants,2025-2026,Asian,MCAT PSBB,Mean,128.1
A-18,Applicants,2025-2026,Black or African American,MCAT PSBB,Mean,125.6
A-18,Applicants,2025-2026,Hispanic or Latino,MCAT PSBB,Mean,126.1
A-18,Applicants,2025-2026,Middle Eastern or North African,MCAT PSBB,Mean,127.4
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,MCAT PSBB,Mean,126.2
A-18,Applicants,2025-2026,White,MCAT PSBB,Mean,127.9
A-18,Applicants,2025-2026,Some Other Race or Ethnicity,MCAT PSBB,Mean,127.1
A-18,Applicants,2025-2026,Multiple Race or Ethnicity,MCAT PSBB,Mean,127.3
A-18,Applicants,2025-2026,Unknown Race or Ethnicity,MCAT PSBB,Mean,128.0
A-18,Applicants,2025-2026,American Indian or Alaska Native,MCAT PSBB,SD,3.1
A-18,Applicants,2025-2026,Asian,MCAT PSBB,SD,2.7
A-18,Applicants,2025-2026,Black or African American,MCAT PSBB,SD,3.1
A-18,Applicants,2025-2026,Hispanic or Latino,MCAT PSBB,SD,3.1
A-18,Applicants,2025-2026,Middle Eastern or North African,MCAT PSBB,SD,2.9
A-18,Applicants,2025-2026,Native Hawaiian or Pacific Islander,MCAT PSBB,SD,2.9
A-18,Applicants,2025-2026,White,MCAT PSBB,SD,2.6
