school_name,state_aamc,application_deadline,criminal_background_check,application_deadline_date,shemmassian_school_name,medical_school,state_shemmassian,degree_type,average_gpa,average_mcat,minimum_mcat,is_public
Frederick P. Whiddon College of Medicine at the University of South Alabama,Alabama,"November 2, 2026",Yes,2026-11-02,University of  South Alabama College of Medicine,University of  South Alabama College of Medicine,AL,MD,3.85,508,For out-of-state applicants only: 70th percentile (~507.5),True
University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Alabama,"November 2, 2026",Yes,2026-11-02,University of  Alabama School of Medicine,University of  Alabama School of Medicine,AL,MD,3.87,509.4,494,True
University of Arizona College of Medicine,Arizona,"December 15, 2026",No,2026-12-15,University of  Arizona College of Medicine - Tucson,University of  Arizona College of Medicine - Tucson,AZ,MD,3.74,508,498,True
University of Arizona College of Medicine - Phoenix,Arizona,"November 16, 2026",Yes,2026-11-16,University of  Arizona School of Medicine - Phoenix,University of  Arizona School of Medicine - Phoenix,AZ,MD,3.82,514,495,True
Alice L. Walton School of Medicine,Arkansas,"November 2, 2026",Yes,2026-11-02,,,,,,,,
University of Arkansas for Medical Sciences College of Medicine,Arkansas,"November 2, 2026",Yes,2026-11-02,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,AR,MD,3.85,507,NR,True
California Northstate University College of Medicine,California,"December 15, 2026",Yes,2026-12-15,California Northstate University College of Medicine,California Northstate University College of Medicine,CA,MD,3.83,513.3,497,False
California University of Science and Medicine-School of Medicine,California,"December 1, 2026",Yes,2026-12-01,California University of Science and Medicine,California University of Science and Medicine,CA,MD,3.61,511,NR,False
Charles R. Drew University of Medicine and Science College of Medicine,California,"November 2, 2026",Yes,2026-11-02,,,,,,,,
Kaiser Permanente Bernard J. Tyson School of Medicine,California,"October 1, 2026",Yes,2026-10-01,Kaiser Permanente School of  Medicine,Kaiser Permanente School of  Medicine,CA,MD,3.78,514,NR,False
Keck School of Medicine of the University of Southern California,California,"November 2, 2026",Yes,2026-11-02,University of Southern California Keck School of Medicine,University of Southern California Keck School of Medicine,CA,MD,3.85,517,NR,False
Loma Linda University School of Medicine,California,"November 2, 2026",No,2026-11-02,Loma Linda University School of Medicine,Loma Linda University School of Medicine,CA,MD,3.85,509,NR,False
Stanford University School of Medicine,California,"October 1, 2026",Yes,2026-10-01,Stanford University  School of Medicine,Stanford University  School of Medicine,CA,MD,3.94,518,NR,False
"University of California, Davis, School of Medicine",California,"October 1, 2026",Yes,2026-10-01,University of California – Davis School of Medicine,University of California – Davis School of Medicine,CA,MD,3.72,509,NR,True
"University of California, Irvine, School of Medicine",California,"December 1, 2026",Yes,2026-12-01,University  of California – Irvine School of Medicine,University  of California – Irvine School of Medicine,CA,MD,3.83,516,NR,True
"University of California, Los Angeles David Geffen School of Medicine",California,"October 1, 2026",Yes,2026-10-01,University of California –  Los Angeles David Geffen School of Medicine,University of California –  Los Angeles David Geffen School of Medicine,CA,MD,3.81,516,NR,True
"University of California, Riverside School of Medicine",California,"October 15, 2026",Yes,2026-10-15,University of California – Riverside School of Medicine,University of California – Riverside School of Medicine,CA,MD,3.60,508,NR,True
"University of California, San Diego School of Medicine",California,"October 15, 2026",Yes,2026-10-15,University of California – San Diego School of Medicine,University of California – San Diego School of Medicine,CA,MD,3.83,514.4,NR,True
"University of California, San Francisco, School of Medicine",California,"October 15, 2026",Yes,2026-10-15,University of  California – San Francisco School of Medicine,University of  California – San Francisco School of Medicine,CA,MD,3.87,517,NR,True
University of Colorado School of Medicine,Colorado,"October 15, 2026",Yes,2026-10-15,University of Colorado School of Medicine,University of Colorado School of Medicine,CO,MD,3.7,517,NR,True
Frank H. Netter MD School of Medicine at Quinnipiac University,Connecticut,"December 1, 2026",Yes,2026-12-01,Quinnipiac  University Frank H. Netter MD School of Medicine,Quinnipiac  University Frank H. Netter MD School of Medicine,CT,MD,3.70,511,NR,False
University of Connecticut School of Medicine,Connecticut,"November 16, 2026",Yes,2026-11-16,University of  Connecticut School of Medicine,University of  Connecticut School of Medicine,CT,MD,3.76,513,NR,True
Yale School of Medicine,Connecticut,"October 15, 2026",Yes,2026-10-15,Yale School of  Medicine,Yale School of  Medicine,CT,MD,3.94,521,NR,False
George Washington University School of Medicine & Health Sciences,District of Columbia,"November 2, 2026",Yes,2026-11-02,George Washington University School of Medicine and Health Sciences,George Washington University School of Medicine and Health Sciences,DC,MD,3.88,515,NR,False
Georgetown University School of Medicine,District of Columbia,"November 2, 2026",Yes,2026-11-02,Georgetown University School of Medicine,Georgetown University School of Medicine,DC,MD,3.76,513,NR,False
