medical_school,state,degree_type,average_gpa,average_mcat,minimum_mcat,is_public
University of  Alabama School of Medicine,AL,MD,3.87,509.4,494,True
University of  South Alabama College of Medicine,AL,MD,3.85,508,For out-of-state applicants only: 70th percentile (~507.5),True
Alabama College of Osteopathic  Medicine,AL,DO,3.60,503,NR,False
Edward Via College of Osteopathic Medicine – Auburn Campus,AL,DO,3.76,502,494,False
University of Arkansas for Medical Sciences College of Medicine,AR,MD,3.85,507,NR,True
Arkansas  College of Osteopathic Medicine,AR,DO,3.5+,500+,NR,False
University of  Arizona College of Medicine - Tucson,AZ,MD,3.74,508,498,True
University of  Arizona School of Medicine - Phoenix,AZ,MD,3.82,514,495,True
Mayo Clinic Alix School of Medicine,AZ,MD,3.95,521,508,False
A.T. Still University School of Osteopathic Medicine Arizona (SOMA),AZ,DO,3.53,502,NR,False
Arizona College of Osteopathic Medicine of Midwestern University,AZ,DO,3.58,504,NR,False
California Northstate University College of Medicine,CA,MD,3.83,513.3,497,False
California University of Science and Medicine,CA,MD,3.61,511,NR,False
Drew/UCLA Joint Medical Program Drew  University of Medicine and Science Note: This joint Program  has been discontinued. Drew now has its own MD program.,CA,MD,3.42,NR,NR,False
Loma Linda University School of Medicine,CA,MD,3.85,509,NR,False
University of California – Davis School of Medicine,CA,MD,3.72,509,NR,True
Stanford University  School of Medicine,CA,MD,3.94,518,NR,False
University  of California – Irvine School of Medicine,CA,MD,3.83,516,NR,True
University of California –  Los Angeles David Geffen School of Medicine,CA,MD,3.81,516,NR,True
University of California – Riverside School of Medicine,CA,MD,3.60,508,NR,True
University of California – San Diego School of Medicine,CA,MD,3.83,514.4,NR,True
University of  California – San Francisco School of Medicine,CA,MD,3.87,517,NR,True
University of Southern California Keck School of Medicine,CA,MD,3.85,517,NR,False
Kaiser Permanente School of  Medicine,CA,MD,3.78,514,NR,False
Touro University  California College of Osteopathic Medicine,CA,DO,3.58,506,NR,False
Western  University of Health Sciences College of Osteopathic Medicine of the Pacific,CA,DO,3.82,509,NR,False
California Health Sciences  University College of Osteopathic Medicine,CA,DO,3.45,504.1,498,False
University of Colorado School of Medicine,CO,MD,3.7,517,NR,True
Rocky Vista University College of  Osteopathic Medicine,CO,DO,3.61,506,NR,False
Quinnipiac  University Frank H. Netter MD School of Medicine,CT,MD,3.70,511,NR,False
University of  Connecticut School of Medicine,CT,MD,3.76,513,NR,True
Yale School of  Medicine,CT,MD,3.94,521,NR,False
George Washington University School of Medicine and Health Sciences,DC,MD,3.88,515,NR,False
Georgetown University School of Medicine,DC,MD,3.76,513,NR,False
Howard University College of Medicine,DC,MD,3.61,507,494,False
Florida Atlantic  University Charles E. Schmidt College of Medicine,FL,MD,3.83,513,NR,True
Florida International University Herbert Wertheim College of  Medicine,FL,MD,3.82,510,NR,True
Florida State University College  of Medicine,FL,MD,3.68,507,498,True
University of Central Florida College of Medicine,FL,MD,3.89,514,500,True
University of Florida College of  Medicine,FL,MD,3.86,515,500,True
University of Miami Miller School of Medicine,FL,MD,3.86,516,NR - (510 for 3-year accelerated path),False
University of South Florida Health Morsani College of Medicine,FL,MD,3.96,520,NR,True
Lake Erie  College of Osteopathic Medicine Bradenton Campus,FL,DO,3.71,502,NR,False
Nova  Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,FL,MD,3.75,512,NR,False
Nova Southeastern University Dr. Kiran C. Patel College of Osteopathic  Medicine,FL,DO,3.60,506,NR,False
Emory  University School of Medicine,GA,MD,3.70,514,NR,False
Medical College of Georgia at Augusta University,GA,MD,3.80,512,NR,True
Mercer  University School of Medicine,GA,MD,3.69,503,493–494,False
Morehouse  School of Medicine,GA,MD,3.64,504.1,NR,False
Georgia Campus Philadelphia College of Osteopathic Medicine,GA,DO,NR,503,NR,False
University of Hawaii John A. Burns School of Medicine,HI,MD,3.79,512,NR,True
University of Iowa Carver College of Medicine,IA,MD,3.81,514,NR,True
Des Moines University College of  Osteopathic Medicine,IA,DO,3.71,507,NR,False
Idaho  College of Osteopathic Medicine,ID,DO,3.56,503.65,501,False
Carle Illinois College of  Medicine,IL,MD,3.73,513,498,True
Chicago Medical School at Rosalind Franklin University of Medicine and  Science,IL,MD,3.69,508,510 The school notes most successful applicants have a 510 or above.,False
Loyola  University of Chicago Stritch School of Medicine,IL,MD,3.8,512,NR,False
Northwestern  University The Feinberg School of Medicine,IL,MD,3.93,521,NR,False
Rush Medical College of Rush University,IL,MD,3.72,510,NR,False
Southern  Illinois University School of Medicine,IL,MD,3.7,508,498,True
University of  Chicago Pritzker School of Medicine,IL,MD,3.91,521,NR,False
University of  Illinois College of Medicine,IL,MD,3.82,511,NR,True
Chicago College of Osteopathic Medicine of Midwestern University,IL,DO,3.65,509,NR,False
Indiana University  School of Medicine,IN,MD,3.85,512,NR,True
Marian University College of Osteopathic Medicine,IN,DO,3.76,501,491,False
University of Kansas School of Medicine,KS,MD,3.84,509,NR,True
Kansas College of Osteopathic Medicine,KS,DO,3.0 Minimum for consideration,NR,500,False
University  of Kentucky College of Medicine,KY,MD,3.84,508,495,True
University of Louisville School of Medicine,KY,MD,3.78,507,NR,True
