rank,school_name,state_aamc,application_deadline,criminal_background_check,application_deadline_date,shemmassian_school_name,medical_school,state_shemmassian,degree_type,average_gpa,average_mcat,minimum_mcat,is_public,campus_city,region,setting,school_state,school_state_code,school_degree_type,school_gpa,school_mcat,minimum_mcat_numeric,is_public_bool,school_city,school_region,school_setting,aamc_a1_medical_school,aamc_residency_match_status,aamc_applications_total,aamc_applications_in_state_pct,aamc_applications_out_of_state_pct,aamc_matriculants_total,aamc_matriculants_in_state_pct,aamc_matriculants_out_of_state_pct,aamc_residency_academic_year,academic_score,academic_category,academic_composite_z,gpa_difference,mcat_difference,gpa_position_score,mcat_position_score,below_minimum_mcat,academic_eligibility_status,academic_reasons,academic_warnings,aamc_residency_school_name,applications_out_of_state_pct,matriculants_out_of_state_pct,residency_context,residency_access_category,residency_priority,residency_eligibility_status,residency_reasons,residency_warnings,program_eligibility_status,dealbreaker_status,basic_preference_score,basic_preference_category,preference_components,preference_component_weights,preference_penalty,dealbreaker_conflicts,dealbreaker_verification,geographic_proximity_hops,preference_score_basis,preference_reasons,preference_warnings,preference_verification,mission_fit_score,mission_matches,mission_warnings,eligibility_status,eligibility_reasons,eligibility_verification,data_completeness_score,verification_needed,ranking_basis
1,Brody School of Medicine at East Carolina University,North Carolina,"October 1, 2026",Yes,2026-10-01,East  Carolina University Brody School of Medicine,East  Carolina University Brody School of Medicine,NC,MD,3.77,510,NR,True,Greenville,Southeast,Urban,North Carolina,NC,MD,3.77,510.0,,True,Greenville,Southeast,Urban,East Carolina-Brody,Matched,2267.0,47.5,52.5,91.0,100.0,0.0,2025-2026,,Insufficient Data,,-0.05,,40.1,,False,Eligible,"[""Applicant GPA is -0.05 relative to the school's reported average GPA of 3.77.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",East Carolina-Brody,52.5,0.0,In-state public,In-state,4.0,Eligible,"[""This is a public school in the applicant's state of residency.""]",[],Eligible,No Dealbreaker Conflict,81.2,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 100.0, 'preferred_region': 25.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],0,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", ""School is in the applicant's state of residency."", 'School setting exactly matches the preference: Urban.']",['School is outside the preferred regions: Southeast.'],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
2,University of North Carolina at Chapel Hill School of Medicine,North Carolina,"October 1, 2026",No,2026-10-01,University of North Carolina at  Chapel Hill School of Medicine,University of North Carolina at  Chapel Hill School of Medicine,NC,MD,3.79,512,NR,True,Chapel Hill,Southeast,Suburban,North Carolina,NC,MD,3.79,512.0,,True,Chapel Hill,Southeast,Suburban,North Carolina,Matched,6264.0,18.1,81.9,229.0,83.4,16.6,2025-2026,,Insufficient Data,,-0.07,,36.3,,False,Eligible,"[""Applicant GPA is -0.07 relative to the school's reported average GPA of 3.79.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",North Carolina,81.9,16.6,In-state public,In-state,4.0,Eligible,"[""This is a public school in the applicant's state of residency.""]",[],Eligible,No Dealbreaker Conflict,73.8,Moderate Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 100.0, 'preferred_region': 25.0, 'setting': 70.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],0,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", ""School is in the applicant's state of residency.""]","['School is outside the preferred regions: Southeast.', 'School setting is Suburban, compared with the preferred setting of Urban.']",[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
3,Wake Forest University School of Medicine,North Carolina,"October 15, 2026",Yes,2026-10-15,Wake Forest School of Medicine,Wake Forest School of Medicine,NC,MD,3.83,511,NR,False,Winston-Salem,Southeast,Urban,North Carolina,NC,MD,3.83,511.0,,False,Winston-Salem,Southeast,Urban,Wake Forest,Matched,12800.0,8.0,92.0,194.0,25.3,74.7,2025-2026,,Insufficient Data,,-0.11,,29.1,,False,Eligible,"[""Applicant GPA is -0.11 relative to the school's reported average GPA of 3.83.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Wake Forest,92.0,74.7,In-state,In-state,3.0,Eligible,"[""This school is in the applicant's state of residency.""]",[],Eligible,No Dealbreaker Conflict,81.2,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 100.0, 'preferred_region': 25.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],0,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", ""School is in the applicant's state of residency."", 'School setting exactly matches the preference: Urban.']",['School is outside the preferred regions: Southeast.'],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
4,Duke University School of Medicine,North Carolina,"October 15, 2026",No,2026-10-15,Duke University School of Medicine,Duke University School of Medicine,NC,MD,3.90,519,NR,False,Durham,Southeast,Urban,North Carolina,NC,MD,3.9,519.0,,False,Durham,Southeast,Urban,Duke,Matched,9234.0,7.7,92.3,123.0,15.4,84.6,2025-2026,,Insufficient Data,,-0.18,,18.4,,False,Eligible,"[""Applicant GPA is -0.18 relative to the school's reported average GPA of 3.90.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Duke,92.3,84.6,In-state,In-state,3.0,Eligible,"[""This school is in the applicant's state of residency.""]",[],Eligible,No Dealbreaker Conflict,81.2,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 100.0, 'preferred_region': 25.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],0,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", ""School is in the applicant's state of residency."", 'School setting exactly matches the preference: Urban.']",['School is outside the preferred regions: Southeast.'],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
5,University of Rochester School of Medicine and Dentistry,New York,"October 15, 2026",Yes,2026-10-15,University of Rochester School of Medicine and Dentistry,University of Rochester School of Medicine and Dentistry,NY,MD,3.60,517,NR,False,Rochester,Northeast,Urban,New York,NY,MD,3.6,517.0,,False,Rochester,Northeast,Urban,Rochester,Matched,5891.0,21.8,78.2,103.0,27.2,72.8,2025-2026,,Insufficient Data,,0.12,,72.6,,False,Eligible,"[""Applicant GPA is +0.12 relative to the school's reported average GPA of 3.60.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Rochester,78.2,72.8,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 72.8% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,84.6,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 56.0, 'preferred_region': 100.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],4,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 4 border crossing(s).', 'School is in a preferred region: Northeast.', 'School setting exactly matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
6,Albany Medical College,New York,"November 2, 2026",Yes,2026-11-02,Albany  Medical College,Albany  Medical College,NY,MD,3.80,512,NR,False,Albany,Northeast,Urban,New York,NY,MD,3.8,512.0,,False,Albany,Northeast,Urban,Albany,Matched,14157.0,14.6,85.4,141.0,33.3,66.7,2025-2026,,Insufficient Data,,-0.08,,34.5,,False,Eligible,"[""Applicant GPA is -0.08 relative to the school's reported average GPA of 3.80.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Albany,85.4,66.7,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 66.7% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,84.6,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 56.0, 'preferred_region': 100.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],4,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 4 border crossing(s).', 'School is in a preferred region: Northeast.', 'School setting exactly matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
7,Icahn School of Medicine at Mount Sinai,New York,"October 1, 2026",No,2026-10-01,Icahn School of Medicine at Mount  Sinai,Icahn School of Medicine at Mount  Sinai,NY,MD,3.81,519,NR,False,New York,Northeast,Urban,New York,NY,MD,3.81,519.0,,False,New York,Northeast,Urban,Mount Sinai-Icahn,Matched,9551.0,16.9,83.1,128.0,26.6,73.4,2025-2026,,Insufficient Data,,-0.09,,32.6,,False,Eligible,"[""Applicant GPA is -0.09 relative to the school's reported average GPA of 3.81.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Mount Sinai-Icahn,83.1,73.4,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 73.4% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,84.6,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 56.0, 'preferred_region': 100.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],4,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 4 border crossing(s).', 'School is in a preferred region: Northeast.', 'School setting exactly matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
8,Albert Einstein College of Medicine,New York,"October 15, 2026",Yes,2026-10-15,Albert  Einstein College of Medicine,Albert  Einstein College of Medicine,NY,MD,3.82,516,NR,False,Bronx,Northeast,Urban,New York,NY,MD,3.82,516.0,,False,Bronx,Northeast,Urban,Einstein,Matched,14035.0,15.0,85.0,148.0,47.3,52.7,2025-2026,,Insufficient Data,,-0.1,,30.9,,False,Eligible,"[""Applicant GPA is -0.10 relative to the school's reported average GPA of 3.82.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Einstein,85.0,52.7,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 52.7% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,84.6,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 56.0, 'preferred_region': 100.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],4,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 4 border crossing(s).', 'School is in a preferred region: Northeast.', 'School setting exactly matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
9,Columbia University Vagelos College of Physicians and Surgeons,New York,"October 15, 2026",Yes,2026-10-15,Columbia University College of Physicians and Surgeons,Columbia University College of Physicians and Surgeons,NY,MD,3.85,521,NR,False,New York,Northeast,Urban,New York,NY,MD,3.85,521.0,,False,New York,Northeast,Urban,Columbia-Vagelos,Matched,7677.0,15.3,84.7,138.0,11.6,88.4,2025-2026,,Insufficient Data,,-0.13,,25.8,,False,Eligible,"[""Applicant GPA is -0.13 relative to the school's reported average GPA of 3.85.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Columbia-Vagelos,84.7,88.4,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 88.4% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,84.6,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 56.0, 'preferred_region': 100.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],4,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 4 border crossing(s).', 'School is in a preferred region: Northeast.', 'School setting exactly matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
10,Weill Cornell Medicine,New York,"October 15, 2026",Yes,2026-10-15,Weill Cornell Medical College,Weill Cornell Medical College,NY,MD,3.90,518,NR,False,New York,Northeast,Urban,New York,NY,MD,3.9,518.0,,False,New York,Northeast,Urban,Cornell-Weill,Matched,8599.0,16.6,83.4,106.0,33.0,67.0,2025-2026,,Insufficient Data,,-0.18,,18.4,,False,Eligible,"[""Applicant GPA is -0.18 relative to the school's reported average GPA of 3.90.""]","['Applicant MCAT is missing, so academic competitiveness cannot be classified.']",Cornell-Weill,83.4,67.0,Out-of-state private,Private school,2.0,Eligible,"['The school is private, so state residency is usually less central than at a public school.', 'AAMC A-1 reports 67.0% of matriculants were out of state in 2025-2026.']",[],Eligible,No Dealbreaker Conflict,84.6,Strong Basic Preference Match,"{'degree_type': 100.0, 'geographic_proximity': 56.0, 'preferred_region': 100.0, 'setting': 100.0}","{'degree_type': 0.15, 'geographic_proximity': 0.35, 'preferred_region': 0.25, 'setting': 0.25}",0.0,[],[],4,"Weighted available components: degree type 15%, state-border proximity 35%, preferred region 25%, and setting 25%. Dealbreakers are evaluated separately as eligibility or verification rules and do not reduce this score.","[""Program type matches the applicant's selected options: MD."", 'State-based geographic proximity is approximately 4 border crossing(s).', 'School is in a preferred region: Northeast.', 'School setting exactly matches the preference: Urban.']",[],[],,[],['Mission fit was not scored because curated school mission tags are unavailable.'],Eligible,[],[],100.0,['Mission fit was not scored because curated school mission tags are unavailable.'],"Because the applicant has no MCAT, schools are not assigned an academic competitiveness category. Schools are grouped by the four eligibility statuses, then ordered provisionally by residency context and basic preference score, GPA position, and data completeness. The basic preference score uses only degree type, state-border proximity, preferred region, setting, and explicit dealbreaker penalties."
